Names	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
AADACL3|126767	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.18858919275812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADAT|51166	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.39199293393318	NA	2.31047918397313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AANAT|15	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.0546567518475	NA	NA	NA	NA	NA	NA	NA	NA
AASS|10157	4	NA	NA	NA	NA	1.99188697369127	NA	NA	NA	NA	NA	NA	NA	NA	1.7793772836774	NA	1.78867230574054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.22382082187339	NA	NA	NA	NA	NA	NA
AATK|9625	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.35886913411101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABAT|18	5	1.55784559723065	NA	1.66212587485784	NA	2.29447682242074	NA	NA	NA	NA	NA	NA	NA	1.49833741184229	NA	NA	1.93742312886543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA1|19	7	NA	NA	NA	NA	1.8200412424019	1.18936723650195	NA	NA	NA	NA	NA	NA	NA	NA	1.08332695056081	NA	NA	NA	NA	NA	1.04414052582923	NA	1.18303486881502	1.10131345068728	NA	NA	1.13321529456762	NA	NA	NA	NA	NA	NA
ABCA10|10349	3	NA	NA	NA	NA	NA	NA	2.56058193467742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24130707225352	NA	NA	NA	NA	NA	NA	NA	1.1302370302792	NA	NA	NA	NA	NA	NA
ABCA12|26154	8	NA	NA	1.95265086160222	NA	NA	NA	NA	-1.17297189752815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.08845751437938	NA	1.74136943759367	1.47970981007177	-1.09111548263769	1.67824012569571	-2.22507600744329	NA	NA	NA	NA
ABCA13|154664	7	NA	NA	-4.74769050633816	NA	NA	NA	NA	NA	NA	NA	4.47354184106358	-1.28927290742006	NA	NA	1.9839222296953	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.25367145067105	NA	NA	1.27257387748567	1.61970974470438	NA	NA	NA	NA
ABCA17P|650655	7	NA	NA	NA	NA	NA	NA	NA	1.38562595610009	NA	1.11736759153804	NA	-1.08688488033148	NA	NA	NA	-1.27384135695567	-1.3114836517696	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.61883794752872	NA	NA	NA	NA	NA	-1.54251630763697
ABCA3|21	4	1.78595434552812	NA	NA	NA	NA	NA	NA	NA	NA	2.03483207869735	NA	NA	NA	NA	NA	-1.23492462178974	NA	1.5663019408957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA4|24	6	NA	-1.0003451849217	NA	NA	NA	NA	NA	2.72102851676127	NA	NA	NA	-1.40565131305499	NA	NA	NA	NA	NA	NA	NA	NA	-1.06757329719628	NA	NA	NA	NA	NA	1.3397425876857	NA	NA	NA	-1.32384223657266	NA	NA
ABCA6|23460	19	-2.51446335377248	NA	NA	2.03994427949871	2.55941225130812	2.45382140158615	NA	3.47364694313455	NA	1.94980101408806	-1.24413243073728	NA	NA	2.3797445845313	1.71809466411539	2.03166334503137	1.54544041188902	1.50102969034148	NA	NA	1.33869922623589	1.28694493737334	NA	2.38470446851248	-1.99922931601717	NA	3.40778856400083	NA	NA	1.2337850200952	NA	NA	1.63863788716477
