Gene	LvsH_number	p_value	q_value	TCGA.05.5428.01	TCGA.38.4631.01	TCGA.49.6761.01	TCGA.49.AAR9.01	TCGA.50.6597.01	TCGA.55.8094.01	TCGA.62.A46P.01	TCGA.64.1676.01	TCGA.78.7535.01	TCGA.91.A4BD.01	TCGA.NJ.A4YF.01	TCGA.86.7955.01	TCGA.49.4506.01	TCGA.49.AARQ.01	TCGA.44.5643.01	TCGA.49.4494.01	TCGA.86.8673.01	TCGA.49.6767.01	TCGA.95.8494.01	TCGA.50.6594.01	TCGA.49.4514.01	TCGA.53.A4EZ.01	TCGA.55.7570.01	TCGA.71.6725.01	TCGA.62.A46R.01	TCGA.67.3773.01	TCGA.64.5778.01	TCGA.55.8615.01	TCGA.05.4395.01	TCGA.69.8255.01	TCGA.55.7728.01	TCGA.L9.A443.01	TCGA.78.7147.01	TCGA.49.AAR2.01	TCGA.55.8514.01	TCGA.86.8672.01	TCGA.55.7903.01	TCGA.55.A491.01	TCGA.97.7937.01	TCGA.50.5066.01	TCGA.78.8640.01	TCGA.78.7166.01	TCGA.MP.A4TC.01	TCGA.55.7910.01	TCGA.64.5775.01	TCGA.64.5774.01	TCGA.62.8402.01	TCGA.62.A471.01	TCGA.97.8175.01	TCGA.75.6214.01	TCGA.64.1677.01	TCGA.86.8585.01	TCGA.78.7542.01	TCGA.55.6968.01	TCGA.38.4632.01	TCGA.05.4418.01	TCGA.55.8620.01	TCGA.44.7660.01	TCGA.05.4390.01	TCGA.95.7944.01	TCGA.91.A4BC.01	TCGA.49.AAR3.01	TCGA.MP.A4TE.01	TCGA.NJ.A4YP.01	TCGA.J2.A4AG.01	TCGA.NJ.A4YG.01	TCGA.55.1596.01	TCGA.49.6742.01	TCGA.35.4122.01	TCGA.49.4512.01	TCGA.38.4625.01	TCGA.MP.A4TF.01	TCGA.44.A4SS.01	TCGA.55.A493.01	TCGA.55.5899.01	TCGA.35.4123.01	TCGA.91.6836.01	TCGA.55.A494.01	TCGA.73.7499.01	TCGA.86.7713.01	TCGA.49.4505.01	TCGA.49.4488.01	TCGA.62.A46U.01	TCGA.49.AARN.01	TCGA.L9.A50W.01	TCGA.L9.A444.01	TCGA.78.7540.01	TCGA.55.7911.01	TCGA.50.5068.01	TCGA.MP.A4T6.01	TCGA.44.7659.01	TCGA.50.5946.01	TCGA.97.A4M0.01	TCGA.55.7727.01	TCGA.J2.A4AE.01	TCGA.73.4666.01	TCGA.MP.A4T7.01	TCGA.95.A4VK.01	TCGA.55.8511.01	TCGA.44.A47B.01	TCGA.L4.A4E5.01	TCGA.62.A46Y.01	TCGA.49.AAR4.01	TCGA.MN.A4N5.01	TCGA.38.A44F.01	TCGA.44.A47G.01	TCGA.05.4244.01	TCGA.86.A456.01	TCGA.50.6592.01	TCGA.05.4425.01	TCGA.73.4670.01	TCGA.62.A472.01	TCGA.78.8660.01	TCGA.L9.A8F4.01	TCGA.75.6205.01	TCGA.62.A46V.01	TCGA.95.A4VN.01	TCGA.55.8302.01	TCGA.L9.A5IP.01	TCGA.50.5044.01	TCGA.05.5429.01	TCGA.71.8520.01	TCGA.55.6712.01	TCGA.75.5146.01	TCGA.MP.A4SV.01	TCGA.91.8499.01	TCGA.55.6969.01	TCGA.49.4507.01	TCGA.95.7948.01	TCGA.62.8394.01	TCGA.05.5425.01	TCGA.MP.A4SW.01	TCGA.49.AAQV.01	TCGA.75.6207.01	TCGA.86.8279.01	TCGA.50.5933.01	TCGA.55.7725.01	TCGA.78.7539.01	TCGA.93.A4JN.01	TCGA.75.5125.01	TCGA.05.5715.01	TCGA.73.4668.01	TCGA.44.2662.01	TCGA.05.4250.01	TCGA.MP.A4T9.01	TCGA.86.8054.01	TCGA.78.7150.01	TCGA.91.6847.01	TCGA.69.8253.01	TCGA.62.8399.01	TCGA.44.8117.01	TCGA.49.4490.01	TCGA.86.7701.01	TCGA.75.5122.01	TCGA.MP.A4TA.01	TCGA.55.8203.01	TCGA.05.4420.01	TCGA.55.8085.01	TCGA.44.2668.01	TCGA.05.5423.01	TCGA.97.A4LX.01	TCGA.67.6215.01	TCGA.55.A4DG.01	TCGA.83.5908.01	TCGA.44.A479.01	TCGA.05.4398.01	TCGA.93.A4JQ.01	TCGA.55.8510.01	TCGA.MP.A4T4.01	TCGA.49.6743.01	TCGA.49.4510.01	TCGA.05.4249.01	TCGA.99.8028.01	TCGA.50.5935.01	TCGA.69.7974.01	TCGA.50.5072.01	TCGA.50.5045.01	TCGA.99.8033.01	TCGA.50.5055.01	TCGA.35.5375.01	TCGA.44.8119.01	TCGA.95.8039.01	TCGA.55.6984.01	TCGA.55.A492.01	TCGA.78.7152.01	TCGA.86.8359.01	TCGA.64.1680.01	TCGA.78.7159.01	TCGA.NJ.A55O.01	TCGA.73.4662.01	TCGA.55.6979.01	TCGA.55.8505.01	TCGA.50.6591.01	TCGA.99.8032.01	TCGA.49.4487.01	TCGA.55.A48Z.01	TCGA.38.4628.01	TCGA.44.2666.01	TCGA.53.7813.01	TCGA.44.6145.01	TCGA.55.6981.01	TCGA.93.A4JO.01	TCGA.05.4389.01	TCGA.55.8090.01	TCGA.75.5147.01	TCGA.55.1595.01	TCGA.75.5126.01	TCGA.44.6779.01	TCGA.49.4486.01	TCGA.55.8205.01	TCGA.86.7954.01	TCGA.95.A4VP.01	TCGA.38.4626.01	TCGA.L4.A4E6.01	TCGA.62.A470.01	TCGA.55.7283.01	TCGA.44.3396.01	TCGA.50.5936.01	TCGA.55.8614.01	TCGA.NJ.A7XG.01	TCGA.80.5611.01	TCGA.78.7145.01	TCGA.86.6562.01	TCGA.55.8208.01	TCGA.05.4426.01	TCGA.55.7724.01	TCGA.69.7761.01	TCGA.55.6975.01	TCGA.49.AARO.01	TCGA.97.7554.01	TCGA.55.7227.01	TCGA.97.A4M7.01	TCGA.62.8398.01	TCGA.55.A48Y.01	TCGA.55.6972.01	TCGA.44.3398.01	TCGA.69.7760.01	TCGA.99.8025.01	TCGA.97.7938.01	TCGA.55.A48X.01	TCGA.05.4403.01	TCGA.MN.A4N1.01	TCGA.50.6595.01	TCGA.67.3772.01	TCGA.49.6745.01	TCGA.49.4501.01	TCGA.44.7672.01	TCGA.50.5941.01	TCGA.NJ.A4YI.01	TCGA.44.8120.01	TCGA.91.8496.01	TCGA.75.7027.01	TCGA.78.7149.01	TCGA.78.7158.01	TCGA.86.A4P7.01	TCGA.55.7576.01	TCGA.97.A4M1.01	TCGA.73.4658.01	TCGA.91.6848.01	TCGA.78.8655.01	TCGA.64.5815.01	TCGA.49.6744.01	TCGA.55.8616.01	TCGA.05.4433.01	TCGA.44.A4SU.01	TCGA.44.3919.01	TCGA.86.8671.01	TCGA.55.8301.01	TCGA.64.1681.01	TCGA.67.4679.01	TCGA.67.3770.01	TCGA.MP.A4TK.01	TCGA.97.8547.01	TCGA.MP.A4TI.01	TCGA.55.7914.01	TCGA.78.7537.01	TCGA.97.A4M3.01	TCGA.55.6986.01	TCGA.55.6970.01	TCGA.55.7815.01	TCGA.86.7714.01	TCGA.05.4405.01	TCGA.97.A4M6.01	TCGA.55.8087.01	TCGA.69.8254.01	TCGA.L9.A743.01	TCGA.38.6178.01	TCGA.50.5932.01	TCGA.50.6673.01	TCGA.55.6985.01	TCGA.69.7980.01	TCGA.55.8299.01	TCGA.50.5931.01	TCGA.99.AA5R.01	TCGA.91.6828.01	TCGA.80.5607.01	TCGA.69.7978.01	TCGA.S2.AA1A.01	TCGA.55.8204.01	TCGA.55.7726.01	TCGA.50.6593.01	TCGA.69.7765.01	TCGA.55.1594.01	TCGA.86.8074.01	TCGA.49.AAR0.01	TCGA.05.4434.01	TCGA.78.7154.01	TCGA.62.8397.01	TCGA.78.7148.01	TCGA.55.8512.01	TCGA.97.A4M2.01	TCGA.55.7284.01	TCGA.86.8056.01	TCGA.55.8619.01	TCGA.55.8097.01	TCGA.55.7913.01	TCGA.86.8674.01	TCGA.MP.A4TJ.01	TCGA.91.6829.01	TCGA.55.8096.01	TCGA.55.7574.01	TCGA.64.5779.01	TCGA.73.4675.01	TCGA.97.7941.01	TCGA.55.6642.01	TCGA.55.6980.01	TCGA.44.2657.01	TCGA.69.A59K.01	TCGA.67.6217.01	TCGA.93.7348.01	TCGA.44.6775.01	TCGA.05.4384.01	TCGA.05.4430.01	TCGA.55.8513.01	TCGA.97.8171.01	TCGA.MP.A4SY.01	TCGA.38.7271.01	TCGA.05.4417.01	TCGA.44.A47A.01	TCGA.97.A4M5.01	TCGA.86.8076.01	TCGA.55.6982.01	TCGA.93.7347.01	TCGA.55.A57B.01	TCGA.50.8457.01	TCGA.NJ.A55A.01	TCGA.55.7573.01	TCGA.55.6978.01	TCGA.69.7763.01	TCGA.95.7562.01	TCGA.35.3615.01	TCGA.O1.A52J.01	TCGA.55.8621.01	TCGA.75.7030.01	TCGA.44.6146.01	TCGA.44.6774.01	TCGA.97.8179.01	TCGA.44.5645.01	TCGA.86.8075.01	TCGA.86.8668.01	TCGA.78.7156.01	TCGA.44.7661.01	TCGA.99.7458.01	TCGA.78.7162.01	TCGA.64.1679.01	TCGA.55.8092.01	TCGA.50.7109.01	TCGA.44.2665.01	TCGA.86.A4P8.01	TCGA.55.8206.01	TCGA.44.2655.01	TCGA.97.7553.01	TCGA.05.4432.01	TCGA.MP.A4TH.01	TCGA.69.7973.01	TCGA.86.8280.01	TCGA.97.7546.01	TCGA.91.8497.01	TCGA.69.7764.01	TCGA.50.5049.01	TCGA.97.7552.01	TCGA.86.7953.01	TCGA.78.7633.01	TCGA.78.7160.01	TCGA.78.8648.01	TCGA.93.8067.01	TCGA.97.8552.01	TCGA.44.6777.01	TCGA.50.5942.01	TCGA.50.8459.01	TCGA.NJ.A55R.01	TCGA.J2.A4AD.01	TCGA.91.6830.01	TCGA.50.5939.01	TCGA.05.4402.01	TCGA.55.1592.01	TCGA.86.8055.01	TCGA.97.8177.01	TCGA.75.6206.01	TCGA.67.3774.01	TCGA.62.8395.01	TCGA.75.7025.01	TCGA.86.8281.01	TCGA.05.4415.01	TCGA.MP.A4T8.01	TCGA.55.8207.01	TCGA.86.8669.01	TCGA.80.5608.01	TCGA.73.7498.01	TCGA.78.7153.01	TCGA.44.6778.01	TCGA.50.5051.01	TCGA.55.8091.01	TCGA.55.7816.01	TCGA.55.6983.01	TCGA.97.8174.01	TCGA.73.4677.01	TCGA.MP.A4TD.01	TCGA.49.AARR.01	TCGA.05.4422.01	TCGA.55.A4DF.01	TCGA.62.A46S.01	TCGA.55.8508.01	TCGA.55.6987.01	TCGA.97.8172.01	TCGA.78.7161.01	TCGA.78.7163.01	TCGA.91.6831.01	TCGA.50.8460.01	TCGA.91.6840.01	TCGA.86.8278.01	TCGA.91.7771.01	TCGA.73.4659.01	TCGA.73.4676.01	TCGA.J2.8192.01	TCGA.55.6971.01	TCGA.97.8176.01	TCGA.MP.A5C7.01	TCGA.78.7167.01	TCGA.50.5944.01	TCGA.75.6203.01	TCGA.75.7031.01	TCGA.78.7536.01	TCGA.44.6776.01	TCGA.86.7711.01	TCGA.J2.8194.01	TCGA.4B.A93V.01	TCGA.44.7671.01	TCGA.91.6849.01	TCGA.91.6835.01	TCGA.67.6216.01	TCGA.75.6211.01	TCGA.97.7547.01	TCGA.38.4627.01	TCGA.95.7947.01	TCGA.55.6543.01	TCGA.78.7146.01	TCGA.75.6212.01	TCGA.44.6148.01	TCGA.05.4424.01	TCGA.93.A4JP.01	TCGA.55.7995.01
Exp	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0.3012	0.398	0.5618	0.5634	0.5679	0.5865	0.5917	0.6373	0.7042	0.7651	0.7869	0.8715	0.9361	1.0004	1.0277	1.0379	1.0695	1.0738	1.1096	1.1113	1.1231	1.1737	1.2374	1.2903	1.386	1.4948	1.5881	1.6071	1.7422	1.7505	1.7833	1.8198	1.8519	1.8564	1.8718	1.9707	2.046	2.087	2.1259	2.1882	2.2056	2.2311	2.2896	2.294	2.3265	2.3813	2.5234	2.5547	2.5622	2.611	2.6132	2.6432	2.7947	2.8141	2.8868	2.9603	2.9828	3.0151	3.0746	3.0977	3.2626	3.3231	3.3933	3.4291	3.5129	3.5289	3.5476	3.581	3.6073	3.6486	3.6691	3.6991	3.7313	3.7514	3.7965	3.9768	4.2289	4.2754	4.3916	4.4843	4.5031	4.562	4.5872	4.7281	4.779	4.8523	4.8804	4.8867	4.9261	5.0057	5.0125	5.0441	5.1181	5.137	5.1784	5.2361	5.3231	5.5659	5.596	5.7401	5.7915	5.8331	5.8557	5.9322	5.9553	6.0213	6.0917	6.135	6.1412	6.1872	6.1999	6.2738	6.3785	6.413	6.4983	6.554	6.5721	6.5789	6.6535	6.7873	6.8306	6.8886	7.033	7.1111	7.1437	7.3529	7.3638	7.4813	7.732	7.8079	7.8721	7.9002	7.9582	7.965	7.9927	8.0321	8.2248	8.2856	8.3207	8.3827	8.4246	8.4299	8.462	8.4829	8.4926	8.6774	8.6987	8.7342	8.7912	8.7982	8.9382	8.9662	9.0124	9.0806	9.1344	9.1543	9.1799	9.1832	9.2241	9.2593	9.3367	9.4746	9.5496	9.6992	9.6998	9.7293	9.7656	9.9668	9.9889	9.9954	10.0193	10.0548	10.1768	10.2136	10.3281	10.4634	10.4683	10.5018	10.5491	10.5704	10.607	10.7527	10.9514	10.952	11.0524	11.0619	11.2606	11.3052	11.3708	11.4035	11.5063	11.745	11.7683	11.7959	11.9028	11.9427	11.9546	11.9696	12.0256	12.0419	12.0561	12.2165	12.2362	12.3153	12.5313	12.9783	13.1579	13.2013	13.2799	13.3779	13.3842	13.3994	13.9247	13.9311	14.0281	14.0313	14.2498	14.4134	14.5073	14.5128	14.6111	14.6377	14.7059	14.8402	14.9893	14.9906	14.995	15.1057	15.1515	15.2905	15.3734	15.4341	15.4494	15.7248	15.852	16.0094	16.0256	16.1128	16.2599	16.2626	16.5026	16.5426	16.5975	16.6034	16.6183	16.6422	16.6858	16.7495	17.0994	17.282	17.3116	17.3319	17.3554	17.3729	17.561	17.6333	17.6344	17.7103	17.788	17.8571	18.3259	18.3847	18.4519	18.4908	18.5449	18.7152	18.8953	18.9528	19.0381	19.7368	19.8789	20.1028	20.2443	20.4245	20.7743	21.0608	21.197	21.3124	21.6418	21.7408	21.963	22.096	22.2584	22.7273	22.7828	22.8648	22.9318	23.0687	23.0701	23.0917	23.0961	23.1918	23.5883	23.7977	23.9656	24.4084	24.8175	24.9934	25.1203	25.5267	25.5565	26.6759	26.7909	26.8218	26.9747	26.9815	27.0742	27.3619	27.4428	27.7833	27.8232	27.881	28.1412	28.1782	28.2935	28.8591	28.9053	28.997	29.0598	29.2781	29.3219	29.6651	29.6736	30.6137	30.7379	31.1314	31.1335	31.218	31.407	32.7422	33.1874	33.411	33.4979	33.7328	34.0939	34.4275	34.5845	34.8751	35.4578	37.6868	38.2775	38.5697	39.5833	39.7112	39.9628	39.969	40.7344	40.8513	40.9226	41.0448	41.5365	42.3736	42.4442	42.6582	42.7068	42.7136	43.1689	43.2999	43.4141	43.5064	43.7537	43.8419	44.2804	45.6681	46.892	47.4948	47.6584	48.4085	48.5491	49.2936	49.3389	49.5202	51.1041	51.1841	52.9801	53.0488	53.656	53.7021	54.8308	55.7458	56.4352	56.705	58.1495	59.3522	59.5428	59.5799	59.7527	59.786	60.0351	60.0904	60.8926	61.2813	61.7778	64.252	64.2935	66.1626	66.3182	68.6836	69.3892	71.7005	72.8118	73.5253	73.9785	75.1773	75.2857	76.3282	77.8709	79.602	82.4962	82.7554	84.7682	85.7648	86.1582	86.5308	86.713	87.6487	87.9799	88.5998	90.9251	95.6764	97.1429	99.3671	99.7361	102.112	103.582	104.058	111.63	111.739	125.019	129.298	134.409	138.444	139.368	143.32	148.714	168.385	181.174	181.313	190.519	192.721	209.073	215.779	215.98	217.888	218.506	247.264	255.659	266.238	305.052	555.257	678.973
Group	128 | 149	NA	NA	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
ATM	10 | 9	0.63689916620118	0.783875896862991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation;Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	Missense_Mutation	NA	NA	NA	NA	NA	NA	Nonsense_Mutation;Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del;Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Ins;Nonsense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	In_Frame_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Splice_Site	NA	NA	NA	NA	NA	NA	Nonsense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	Splice_Site	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAT3	33 | 15	0.000735684966794826	0.0299364012022661	Missense_Mutation	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation;Missense_Mutation;Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	Nonsense_Mutation	Missense_Mutation	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Nonsense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation;Nonsense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	Missense_Mutation;Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	Missense_Mutation	Missense_Mutation;Splice_Site	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation;Missense_Mutation	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation;Nonsense_Mutation	NA	NA	NA	NA	NA	NA	Nonsense_Mutation;Nonsense_Mutation	NA	Missense_Mutation;Missense_Mutation	Frame_Shift_Del;Missense_Mutation	NA	NA	Nonsense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation;Nonsense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation;Missense_Mutation;Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Nonsense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA
