Gene	LvsH_number	p_value	q_value	TCGA.4P.AA8J.01	TCGA.BA.4076.01	TCGA.BA.6870.01	TCGA.BA.A6D8.01	TCGA.BA.A6DA.01	TCGA.BB.7870.01	TCGA.BB.A6UO.01	TCGA.C9.A480.01	TCGA.CN.5365.01	TCGA.CN.A49B.01	TCGA.CN.A63U.01	TCGA.CN.A63W.01	TCGA.CQ.6225.01	TCGA.CQ.A4CH.01	TCGA.CR.7385.01	TCGA.CV.5966.01	TCGA.CV.5973.01	TCGA.CV.5977.01	TCGA.CV.6937.01	TCGA.CV.7180.01	TCGA.CV.7432.01	TCGA.CV.A45Q.01	TCGA.CV.A45X.01	TCGA.CV.A461.01	TCGA.CV.A6JD.01	TCGA.CV.A6JM.01	TCGA.CV.A6JN.01	TCGA.CV.A6K1.01	TCGA.CV.A6K2.01	TCGA.D6.A4ZB.01	TCGA.D6.A6EK.01	TCGA.D6.A6EN.01	TCGA.D6.A6EQ.01	TCGA.D6.A6ES.01	TCGA.DQ.7588.01	TCGA.F7.A50J.01	TCGA.F7.A61S.01	TCGA.F7.A61W.01	TCGA.HD.A633.01	TCGA.HD.A6I0.01	TCGA.IQ.A61E.01	TCGA.IQ.A61G.01	TCGA.IQ.A61I.01	TCGA.IQ.A6SH.01	TCGA.KU.A66T.01	TCGA.KU.A6H7.01	TCGA.MT.A67D.01	TCGA.P3.A5Q5.01	TCGA.P3.A6SW.01	TCGA.P3.A6T0.01	TCGA.QK.A6IH.01	TCGA.QK.A6II.01	TCGA.QK.A6V9.01	TCGA.QK.A8ZA.01	TCGA.QK.AA3K.01	TCGA.T2.A6WZ.01	TCGA.TN.A7HL.01	TCGA.UF.A719.01	TCGA.UF.A7JF.01	TCGA.BA.5152.01	TCGA.CQ.7068.01	TCGA.CV.7407.01	TCGA.CV.6003.01	TCGA.CQ.A4CG.01	TCGA.CN.6995.01	TCGA.CN.4730.01	TCGA.CV.6952.01	TCGA.CQ.A4CI.01	TCGA.BA.A6DJ.01	TCGA.CV.A45U.01	TCGA.UF.A71E.01	TCGA.BB.A5HY.01	TCGA.CQ.7065.01	TCGA.BB.4224.01	TCGA.CV.5979.01	TCGA.CQ.5327.01	TCGA.CV.A6JU.01	TCGA.BB.4227.01	TCGA.BA.7269.01	TCGA.T2.A6WX.01	TCGA.CV.A465.01	TCGA.MT.A51W.01	TCGA.CV.7427.01	TCGA.CV.5442.01	TCGA.MZ.A5BI.01	TCGA.MT.A67F.01	TCGA.CV.A463.01	TCGA.C9.A47Z.01	TCGA.CN.6011.01	TCGA.F7.A622.01	TCGA.RS.A6TP.01	TCGA.QK.A6IG.01	TCGA.BA.6868.01	TCGA.BA.6872.01	TCGA.D6.A6EM.01	TCGA.CV.7253.01	TCGA.CN.6988.01	TCGA.BB.8601.01	TCGA.CV.6938.01	TCGA.IQ.A6SG.01	TCGA.CV.A6JT.01	TCGA.BB.A6UM.01	TCGA.UF.A7JV.01	TCGA.CR.6493.01	TCGA.CV.6433.01	TCGA.CV.6441.01	TCGA.BA.A6DL.01	TCGA.HD.7229.01	TCGA.CN.A49C.01	TCGA.P3.A6T5.01	TCGA.BA.A4IF.01	TCGA.CV.A45R.01	TCGA.P3.A6T7.01	TCGA.F7.A620.01	TCGA.P3.A5Q6.01	TCGA.MT.A67A.01	TCGA.CV.A6JZ.01	TCGA.HD.7832.01	TCGA.CX.A4AQ.01	TCGA.CN.6998.01	TCGA.BA.A6DE.01	TCGA.CQ.6220.01	TCGA.CV.A45P.01	TCGA.UF.A7JK.01	TCGA.CN.A63V.01	TCGA.CV.6436.01	TCGA.UF.A71B.01	TCGA.BA.4074.01	TCGA.HD.8634.01	TCGA.D6.8569.01	TCGA.D6.A74Q.01	TCGA.CV.A45W.01	TCGA.QK.A64Z.01	TCGA.H7.8501.01	TCGA.BA.A4IG.01	TCGA.CN.A499.01	TCGA.CV.A6JE.01	TCGA.CV.6953.01	TCGA.MZ.A7D7.01	TCGA.UF.A7JT.01	TCGA.CV.5439.01	TCGA.QK.A8Z7.01	TCGA.CV.A6JY.01	TCGA.KU.A66S.01	TCGA.BA.A4II.01	TCGA.F7.A50I.01	TCGA.CN.A642.01	TCGA.CV.6960.01	TCGA.QK.A6IJ.01	TCGA.CN.A498.01	TCGA.CV.A45T.01	TCGA.MT.A51X.01	TCGA.D6.A6EO.01	TCGA.CV.7434.01	TCGA.P3.A6T4.01	TCGA.BB.A5HZ.01	TCGA.F7.A61V.01	TCGA.T3.A92N.01	TCGA.BA.6869.01	TCGA.CN.A6UY.01	TCGA.CQ.A4CE.01	TCGA.P3.A6T3.01	TCGA.CV.5976.01	TCGA.CN.A6V7.01	TCGA.F7.A623.01	TCGA.CQ.6223.01	TCGA.CV.7236.01	TCGA.T3.A92M.01	TCGA.CR.6473.01	TCGA.D6.A4Z9.01	TCGA.CR.5248.01	TCGA.QK.AA3J.01	TCGA.CQ.5331.01	TCGA.P3.A6SX.01	TCGA.IQ.A61H.01	TCGA.CV.A6JO.01	TCGA.CV.6954.01	TCGA.QK.A8Z8.01	TCGA.BA.5149.01	TCGA.CN.A641.01	TCGA.BA.A6DD.01	TCGA.CV.7095.01	TCGA.CV.6951.01	TCGA.P3.A6T2.01	TCGA.UF.A7JC.01	TCGA.CV.6945.01	TCGA.CN.6020.01	TCGA.IQ.7632.01	TCGA.CV.A45O.01	TCGA.CN.6023.01	TCGA.MZ.A6I9.01	TCGA.CR.6480.01	TCGA.CQ.7071.01	TCGA.CV.7440.01	TCGA.P3.A5QF.01	TCGA.CV.7183.01	TCGA.CN.4741.01	TCGA.RS.A6TO.01	TCGA.UF.A7JO.01	TCGA.CQ.6229.01	TCGA.CV.7089.01	TCGA.CR.6491.01	TCGA.P3.A6T6.01	TCGA.CV.6936.01	TCGA.CQ.5333.01	TCGA.CV.7252.01	TCGA.CV.5432.01	TCGA.CV.6962.01	TCGA.DQ.7591.01	TCGA.CV.6933.01	TCGA.CX.7086.01	TCGA.CN.A6V6.01	TCGA.CQ.A4C9.01	TCGA.H7.A76A.01	TCGA.CQ.A4CD.01	TCGA.CV.7413.01	TCGA.BA.5556.01	TCGA.CV.7250.01	TCGA.CV.6956.01	TCGA.CV.A468.01	TCGA.CV.7255.01	TCGA.CN.6013.01	TCGA.F7.A50G.01	TCGA.CN.A63T.01	TCGA.UF.A7JJ.01	TCGA.CQ.A4C6.01	TCGA.CV.7425.01	TCGA.CQ.7063.01	TCGA.CV.A460.01	TCGA.CQ.6218.01	TCGA.CV.5978.01	TCGA.UF.A7JS.01	TCGA.CQ.5323.01	TCGA.BB.4217.01	TCGA.HD.A634.01	TCGA.CV.7430.01	TCGA.CR.6471.01	TCGA.UF.A71D.01	TCGA.CR.6492.01	TCGA.CV.7411.01	TCGA.CN.A49A.01	TCGA.CV.7422.01	TCGA.D6.6823.01	TCGA.UF.A7JA.01	TCGA.CN.5374.01	TCGA.CR.7401.01	TCGA.BB.A5HU.01	TCGA.UF.A7JH.01	TCGA.P3.A5QA.01	TCGA.CV.5435.01	TCGA.CR.7373.01	TCGA.CV.7423.01	TCGA.QK.A6IF.01	TCGA.D6.6517.01	TCGA.IQ.A61O.01	TCGA.H7.A6C4.01	TCGA.H7.7774.01	TCGA.BA.6871.01	TCGA.CN.5369.01	TCGA.CN.A6V1.01	TCGA.CV.5441.01	TCGA.CV.7100.01	TCGA.CN.6024.01	TCGA.D6.A6EP.01	TCGA.BA.A8YP.01	TCGA.CN.5364.01	TCGA.CQ.6219.01	TCGA.CV.7415.01	TCGA.CN.4731.01	TCGA.CN.4726.01	TCGA.CR.7404.01	TCGA.WA.A7GZ.01	TCGA.DQ.5630.01	TCGA.UF.A71A.01	TCGA.CN.A497.01	TCGA.BA.A6DI.01	TCGA.CV.7424.01	TCGA.HD.7753.01	TCGA.CQ.7072.01	TCGA.CV.7248.01	TCGA.BA.6873.01	TCGA.CV.7238.01	TCGA.CV.7410.01	TCGA.CQ.5329.01	TCGA.DQ.5624.01	TCGA.CV.5970.01	TCGA.T2.A6X2.01	TCGA.QK.A652.01	TCGA.IQ.7630.01	TCGA.HD.A4C1.01	TCGA.CV.7429.01	TCGA.CV.A464.01	TCGA.BA.5558.01	TCGA.CN.5367.01	TCGA.CV.6940.01	TCGA.D6.6825.01	TCGA.DQ.7592.01	TCGA.CN.A6V3.01	TCGA.P3.A6T8.01	TCGA.CV.5436.01	TCGA.TN.A7HJ.01	TCGA.CR.6478.01	TCGA.CV.A45Z.01	TCGA.CV.7235.01	TCGA.BA.A6DB.01	TCGA.CQ.5324.01	TCGA.F7.8489.01	TCGA.DQ.5631.01	TCGA.DQ.5629.01	TCGA.CR.7379.01	TCGA.CV.6950.01	TCGA.CR.7383.01	TCGA.CN.6994.01	TCGA.CV.7433.01	TCGA.IQ.A61J.01	TCGA.CR.6484.01	TCGA.CV.6942.01	TCGA.CR.6477.01	TCGA.CR.6487.01	TCGA.CQ.7069.01	TCGA.CN.4734.01	TCGA.CN.6021.01	TCGA.CV.7091.01	TCGA.UF.A7JD.01	TCGA.CN.4725.01	TCGA.CN.5366.01	TCGA.CN.4729.01	TCGA.IQ.7631.01	TCGA.F7.8298.01	TCGA.CV.7242.01	TCGA.CR.7395.01	TCGA.CV.6941.01	TCGA.CR.7369.01	TCGA.CQ.A4CB.01	TCGA.CV.A45V.01	TCGA.CV.7247.01	TCGA.CV.7437.01	TCGA.CV.7097.01	TCGA.BA.5153.01	TCGA.QK.A8ZB.01	TCGA.CV.A6K0.01	TCGA.CV.5440.01	TCGA.CR.7372.01	TCGA.CV.7438.01	TCGA.CV.7418.01	TCGA.BA.5557.01	TCGA.CN.5361.01	TCGA.CV.A45Y.01	TCGA.TN.A7HI.01	TCGA.CQ.5332.01	TCGA.CR.7390.01	TCGA.QK.A6VC.01	TCGA.CX.7219.01	TCGA.CQ.5325.01	TCGA.CR.6481.01	TCGA.CR.7364.01	TCGA.HD.A6HZ.01	TCGA.CR.5247.01	TCGA.CV.7446.01	TCGA.CQ.6224.01	TCGA.BA.5151.01	TCGA.CN.5373.01	TCGA.CV.7104.01	TCGA.BB.8596.01	TCGA.CN.6996.01	TCGA.CV.7435.01	TCGA.CQ.6227.01	TCGA.UF.A7J9.01	TCGA.CQ.5326.01	TCGA.CV.6943.01	TCGA.BA.A6DG.01	TCGA.CR.7368.01	TCGA.CV.7178.01	TCGA.CN.4739.01	TCGA.CV.6959.01	TCGA.CV.7261.01	TCGA.CR.6488.01	TCGA.WA.A7H4.01	TCGA.CR.5250.01	TCGA.CV.5434.01	TCGA.CR.7397.01	TCGA.HD.8314.01	TCGA.CR.7367.01	TCGA.CV.7102.01	TCGA.CN.4727.01	TCGA.CV.7416.01	TCGA.D6.8568.01	TCGA.CV.7101.01	TCGA.CR.7394.01	TCGA.CR.7365.01	TCGA.CN.6989.01	TCGA.BA.5555.01	TCGA.CN.5363.01	TCGA.CR.7380.01	TCGA.CV.6935.01	TCGA.D6.6515.01	TCGA.CN.4733.01	TCGA.CN.6018.01	TCGA.CQ.6222.01	TCGA.QK.A8Z9.01	TCGA.CQ.5330.01	TCGA.CN.5358.01	TCGA.CN.4728.01	TCGA.CR.7370.01	TCGA.DQ.5625.01	TCGA.CR.6470.01	TCGA.CN.5370.01	TCGA.CN.4742.01	TCGA.MT.A7BN.01	TCGA.CN.5355.01	TCGA.CV.7090.01	TCGA.CR.7398.01	TCGA.CR.7391.01	TCGA.CR.7392.01	TCGA.CR.5249.01	TCGA.CR.6482.01	TCGA.D6.6827.01	TCGA.HD.8635.01	TCGA.CQ.5334.01	TCGA.CR.7371.01	TCGA.CV.7254.01	TCGA.CX.7085.01	TCGA.F7.7848.01	TCGA.KU.A6H8.01	TCGA.BA.4078.01	TCGA.CR.7388.01	TCGA.CN.6012.01	TCGA.UF.A718.01	TCGA.CN.6019.01	TCGA.CN.6022.01	TCGA.CN.4736.01	TCGA.P3.A5QE.01	TCGA.CV.7263.01	TCGA.CN.4737.01	TCGA.CR.7382.01	TCGA.CN.6016.01	TCGA.CN.4738.01	TCGA.CV.7243.01	TCGA.QK.A6VB.01	TCGA.CR.7389.01	TCGA.CN.5359.01	TCGA.CR.7386.01	TCGA.CR.7377.01	TCGA.DQ.7596.01	TCGA.UP.A6WW.01	TCGA.CV.7414.01	TCGA.CV.7177.01	TCGA.CV.7421.01	TCGA.CV.5444.01	TCGA.HD.7831.01	TCGA.CV.7103.01	TCGA.HD.8224.01	TCGA.CQ.6228.01	TCGA.T2.A6X0.01	TCGA.BA.A4IH.01	TCGA.CN.5360.01	TCGA.CR.6474.01	TCGA.CR.7376.01	TCGA.CR.7399.01	TCGA.CV.7099.01	TCGA.D6.6826.01	TCGA.CN.5356.01	TCGA.CV.6934.01	TCGA.CN.4740.01	TCGA.CR.5243.01	TCGA.CN.6992.01	TCGA.CN.6017.01	TCGA.CV.5971.01	TCGA.CV.6955.01	TCGA.DQ.7593.01	TCGA.CR.6467.01	TCGA.CR.7374.01	TCGA.CV.6948.01	TCGA.CN.4735.01	TCGA.CN.6997.01	TCGA.D6.6824.01	TCGA.CV.6939.01	TCGA.CV.7406.01	TCGA.HD.7754.01	TCGA.CV.5430.01	TCGA.CR.6472.01	TCGA.CV.5443.01	TCGA.BB.4223.01	TCGA.BB.4228.01	TCGA.BB.4225.01	TCGA.BA.5559.01
Exp	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3026	0.3373	0.3701	0.399	0.4039	0.4144	0.4189	0.4265	0.4279	0.4329	0.4409	0.4478	0.4483	0.4566	0.4581	0.4726	0.4806	0.49	0.4949	0.4991	0.5099	0.5157	0.5163	0.5195	0.5238	0.5379	0.5549	0.5571	0.5659	0.5675	0.5774	0.5885	0.591	0.5999	0.6143	0.616	0.6314	0.6349	0.645	0.7057	0.707	0.7077	0.7348	0.769	0.7695	0.8204	0.8693	0.8879	0.8898	0.9109	0.9271	0.9355	0.9625	0.9753	0.9815	0.9872	1.0091	1.0257	1.0523	1.0616	1.0651	1.0687	1.0743	1.0842	1.1117	1.1217	1.1217	1.1385	1.1561	1.1848	1.2005	1.2016	1.2363	1.2538	1.2594	1.2616	1.2648	1.2864	1.2897	1.292	1.2987	1.3005	1.3211	1.3223	1.337	1.3381	1.3831	1.3929	1.3958	1.4104	1.4272	1.47	1.4897	1.5348	1.5408	1.5683	1.5974	1.6097	1.6322	1.6347	1.6538	1.7094	1.7136	1.7166	1.7587	1.8013	1.8025	1.8175	1.8234	1.8267	1.8921	1.9541	1.9698	1.978	1.9936	2.0063	2.0171	2.0343	2.0458	2.0534	2.0559	2.0568	2.1033	2.1395	2.1524	2.1552	2.173	2.1901	2.1906	2.2506	2.264	2.2725	2.3087	2.3188	2.3247	2.331	2.3474	2.3874	2.4	2.4007	2.419	2.4242	2.4322	2.4418	2.4459	2.446	2.4592	2.5141	2.537	2.5379	2.5425	2.5482	2.5547	2.5694	2.579	2.592	2.635	2.6991	2.7045	2.7199	2.7218	2.7281	2.7404	2.764	2.773	2.8274	2.8342	2.849	2.9007	2.9369	2.9623	2.9869	2.9895	2.9978	3.0372	3.0769	3.093	3.125	3.1546	3.1715	3.1881	3.2396	3.2544	3.3001	3.3333	3.4331	3.436	3.4767	3.5587	3.5625	3.6748	3.7303	3.82	3.8993	3.9897	4.0201	4.0635	4.0816	4.1801	4.1841	4.2119	4.2155	4.2553	4.3418	4.4108	4.477	4.5003	4.5075	4.6278	4.6318	4.6384	4.7472	4.7516	4.8288	4.9043	4.931	5.0589	5.0761	5.0899	5.0926	5.0976	5.102	5.2738	5.3461	5.4113	5.4645	5.5339	5.5575	5.5777	5.6596	5.6974	5.7922	6.0409	6.0827	6.177	6.2735	6.3141	6.3172	6.3605	6.4664	6.5524	6.593	6.714	6.7698	6.8004	6.9224	7.0816	7.0964	7.1242	7.1267	7.1979	7.2142	7.2261	7.2576	7.3473	7.3937	7.5221	7.6032	7.6282	7.7438	7.8025	7.8676	8	8.0153	8.0233	8.088	8.1589	8.2267	8.3123	8.4306	8.6035	8.6643	8.7553	8.911	9.1799	9.2593	9.5181	9.7216	9.8262	9.8847	9.9867	10.0471	10.3037	10.3638	10.5634	10.7399	10.8923	11.0229	11.0254	11.0359	11.259	11.4767	11.4804	11.5644	11.6539	11.7785	11.923	12.0409	12.0608	12.3056	12.4412	12.5417	12.931	12.9754	13.1579	13.27	13.3843	13.4025	13.476	13.6119	13.6162	13.6336	13.8317	13.913	14.1932	14.2864	14.401	14.4053	14.4231	14.4743	14.6459	14.756	14.9174	15.209	15.2168	15.3491	15.5879	15.7274	15.8333	16.1212	16.2264	16.7418	16.8013	16.8451	17.4148	17.4939	17.502	17.7778	17.9889	17.9895	18.009	18.1509	18.7234	18.7815	18.9229	18.9723	19.5789	19.6093	19.8511	20	20.0118	20.3163	20.7668	20.7755	21.1243	21.2054	21.6437	21.7823	22.0463	22.1705	22.404	22.7415	23.084	23.7499	24.5631	24.5732	25.9319	25.9587	25.9656	26.5256	26.6667	27.1829	27.6972	28.0126	28.4939	29.2775	29.9587	29.9728	30.024	30.8809	31.407	31.6027	32.0963	32.2066	32.6347	34.1582	34.2497	35.3357	37.5094	39	39.2666	40.522	41.9374	42.9668	42.9838	44.6117	45.0592	45.14	46.1086	46.9764	47.8074	48.4322	50.1428	54.7718	55.2276	56.4706	60.0696	62.3053	63.5666	63.6261	71.4286	73.8926	82.8083	89.8237	92.4658	93.6521	97.0313	123.681	146.034	151.828	198.021	204.705	211.195	323.411	405.649	591.304	625.96
Group	152 | 145	NA	NA	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
