Gene	LvsH_number	p_value	q_value	TCGA.A5.A0GN.01	TCGA.BS.A0V4.01	TCGA.D1.A3DG.01	TCGA.PG.A6IB.01	TCGA.B5.A5OE.01	TCGA.AX.A3FZ.01	TCGA.AX.A3G6.01	TCGA.EO.A3KW.01	TCGA.SL.A6J9.01	TCGA.AP.A0LE.01	TCGA.AJ.A3TW.01	TCGA.AX.A2IN.01	TCGA.AX.A2H4.01	TCGA.EY.A1GO.01	TCGA.DI.A2QT.01	TCGA.AP.A1E4.01	TCGA.EY.A1GS.01	TCGA.FI.A2EY.01	TCGA.EY.A3QX.01	TCGA.A5.A0GH.01	TCGA.EY.A210.01	TCGA.A5.A1OH.01	TCGA.AP.A0LD.01	TCGA.AX.A2HH.01	TCGA.AP.A05A.01	TCGA.KP.A3W1.01	TCGA.JU.AAVI.01	TCGA.DF.A2KS.01	TCGA.A5.A2K2.01	TCGA.AJ.A3BF.01	TCGA.BS.A0TE.01	TCGA.BS.A0WQ.01	TCGA.QF.A5YT.01	TCGA.A5.A0G5.01	TCGA.B5.A11X.01	TCGA.AP.A0LI.01	TCGA.B5.A11G.01	TCGA.FI.A2EW.01	TCGA.H5.A2HR.01	TCGA.E6.A1LZ.01	TCGA.AX.A1C8.01	TCGA.BK.A0CC.01	TCGA.AX.A1C7.01	TCGA.FI.A2CX.01	TCGA.AX.A0IW.01	TCGA.KP.A3VZ.01	TCGA.EY.A1GT.01	TCGA.AX.A062.01	TCGA.A5.A0GW.01	TCGA.KP.A3W0.01	TCGA.FI.A2EX.01	TCGA.AJ.A3BI.01	TCGA.AX.A3G7.01	TCGA.AJ.A3BK.01	TCGA.EY.A2ON.01	TCGA.AX.A1CN.01	TCGA.EY.A1GV.01	TCGA.EO.A3L0.01	TCGA.B5.A11L.01	TCGA.AJ.A3EM.01	TCGA.AP.A0L9.01	TCGA.2E.A9G8.01	TCGA.EY.A4KR.01	TCGA.BS.A0V8.01	TCGA.B5.A11P.01	TCGA.AX.A2H2.01	TCGA.D1.A1O8.01	TCGA.E6.A8L9.01	TCGA.EY.A72D.01	TCGA.D1.A168.01	TCGA.EY.A1GL.01	TCGA.QS.A744.01	TCGA.A5.A0GV.01	TCGA.D1.A0ZS.01	TCGA.AX.A3GB.01	TCGA.D1.A160.01	TCGA.AP.A05H.01	TCGA.AX.A1CF.01	TCGA.5S.A9Q8.01	TCGA.D1.A17A.01	TCGA.BS.A0TG.01	TCGA.QS.A5YR.01	TCGA.BG.A2AE.01	TCGA.BS.A0T9.01	TCGA.B5.A5OD.01	TCGA.A5.A0GQ.01	TCGA.AJ.A3NG.01	TCGA.AP.A0LF.01	TCGA.DI.A2QU.01	TCGA.FI.A3PX.01	TCGA.AP.A052.01	TCGA.EO.A1Y5.01	TCGA.BS.A0TD.01	TCGA.BS.A0UT.01	TCGA.EY.A2OQ.01	TCGA.K6.A3WQ.01	TCGA.D1.A16I.01	TCGA.B5.A0K6.01	TCGA.AP.A1DM.01	TCGA.BK.A0CB.01	TCGA.AX.A1CA.01	TCGA.B5.A3FD.01	TCGA.AP.A05N.01	TCGA.B5.A3FB.01	TCGA.B5.A1MV.01	TCGA.BG.A18C.01	TCGA.D1.A3DH.01	TCGA.BS.A0U5.01	TCGA.DF.A2L0.01	TCGA.EY.A1GP.01	TCGA.DI.A1C3.01	TCGA.QS.A8F1.01	TCGA.BS.A0U8.01	TCGA.SJ.A6ZJ.01	TCGA.BK.A139.01	TCGA.AP.A0LP.01	TCGA.D1.A17F.01	TCGA.B5.A0JZ.01	TCGA.B5.A1MU.01	TCGA.A5.A0R9.01	TCGA.AP.A05P.01	TCGA.AP.A1E3.01	TCGA.A5.A0R8.01	TCGA.A5.A3LO.01	TCGA.B5.A0JV.01	TCGA.D1.A3DA.01	TCGA.D1.A17M.01	TCGA.D1.A1NW.01	TCGA.A5.A0R7.01	TCGA.AX.A1CK.01	TCGA.B5.A0K2.01	TCGA.AJ.A3EJ.01	TCGA.AX.A2IO.01	TCGA.EY.A547.01	TCGA.AJ.A2QM.01	TCGA.AX.A3G1.01	TCGA.AP.A0L8.01	TCGA.D1.A17S.01	TCGA.BG.A0MQ.01	TCGA.A5.A0GI.01	TCGA.AX.A1CI.01	TCGA.DI.A1NN.01	TCGA.EY.A1GM.01	TCGA.BS.A0V6.01	TCGA.D1.A1NX.01	TCGA.KP.A3W3.01	TCGA.BG.A0W1.01	TCGA.D1.A17L.01	TCGA.BG.A0M9.01	TCGA.D1.A2G6.01	TCGA.AX.A0IU.01	TCGA.AP.A0LT.01	TCGA.A5.A3LP.01	TCGA.A5.A0GA.01	TCGA.BG.A0MU.01	TCGA.AP.A1DP.01	TCGA.EY.A214.01	TCGA.D1.A16S.01	TCGA.AJ.A3BD.01	TCGA.PG.A916.01	TCGA.AX.A05W.01	TCGA.A5.A0VQ.01	TCGA.AX.A06H.01	TCGA.PG.A7D5.01	TCGA.EO.A1Y7.01	TCGA.A5.A0GJ.01	TCGA.BS.A0TI.01	TCGA.AX.A064.01	TCGA.EO.A2CH.01	TCGA.B5.A3F9.01	TCGA.BS.A0UM.01	TCGA.A5.A1OG.01	TCGA.BG.A0M3.01	TCGA.BG.A0W2.01	TCGA.AJ.A3I9.01	TCGA.D1.A15Z.01	TCGA.D1.A1O5.01	TCGA.AJ.A23M.01	TCGA.KP.A3W4.01	TCGA.B5.A0K7.01	TCGA.B5.A11U.01	TCGA.B5.A0K3.01	TCGA.BG.A0M0.01	TCGA.AP.A0LV.01	TCGA.AX.A1CJ.01	TCGA.BS.A0TA.01	TCGA.D1.A3JQ.01	TCGA.PG.A914.01	TCGA.AP.A5FX.01	TCGA.EY.A1H0.01	TCGA.D1.A1O0.01	TCGA.D1.A163.01	TCGA.DI.A2QY.01	TCGA.AX.A0IS.01	TCGA.BG.A0VT.01	TCGA.AP.A0LL.01	TCGA.DI.A1BY.01	TCGA.B5.A121.01	TCGA.D1.A16G.01	TCGA.BG.A0MC.01	TCGA.BG.A18B.01	TCGA.A5.A0G9.01	TCGA.BS.A0V7.01	TCGA.B5.A11Q.01	TCGA.AX.A3FV.01	TCGA.B5.A11V.01	TCGA.BS.A0VI.01	TCGA.BG.A0VW.01	TCGA.AX.A3G4.01	TCGA.BG.A0M4.01	TCGA.D1.A0ZV.01	TCGA.AX.A3FX.01	TCGA.D1.A16Q.01	TCGA.D1.A1NS.01	TCGA.FI.A3PV.01	TCGA.EO.A3KU.01	TCGA.B5.A3S1.01	TCGA.FI.A2D4.01	TCGA.AP.A0LS.01	TCGA.AP.A05J.01	TCGA.DF.A2KR.01	TCGA.D1.A16R.01	TCGA.A5.A0RA.01	TCGA.B5.A3FH.01	TCGA.B5.A0K0.01	TCGA.EY.A2OP.01	TCGA.AX.A05S.01	TCGA.BG.A3EW.01	TCGA.BS.A0U7.01	TCGA.A5.A2K4.01	TCGA.BG.A0M2.01	TCGA.D1.A16B.01	TCGA.FI.A2F8.01	TCGA.AP.A0LJ.01	TCGA.AX.A2H7.01	TCGA.AJ.A3OL.01	TCGA.D1.A16O.01	TCGA.AX.A3FW.01	TCGA.A5.A1OJ.01	TCGA.AJ.A3IA.01	TCGA.A5.A0GM.01	TCGA.AW.A1PO.01	TCGA.BG.A0MK.01	TCGA.AP.A0LN.01	TCGA.B5.A0JR.01	TCGA.BK.A26L.01	TCGA.B5.A0K4.01	TCGA.AJ.A8CV.01	TCGA.EY.A1GC.01	TCGA.BG.A0VX.01	TCGA.D1.A161.01	TCGA.BK.A0C9.01	TCGA.EY.A54A.01	TCGA.D1.A17T.01	TCGA.A5.A0VO.01	TCGA.A5.A0GE.01	TCGA.PG.A915.01	TCGA.BS.A0U9.01	TCGA.BG.A0LW.01	TCGA.BG.A0MA.01	TCGA.AP.A0LG.01	TCGA.D1.A101.01	TCGA.EO.A22Y.01	TCGA.DI.A0WH.01	TCGA.BG.A0MO.01	TCGA.BG.A0VV.01	TCGA.BG.A0RY.01	TCGA.D1.A16J.01	TCGA.B5.A11O.01	TCGA.BS.A0UA.01	TCGA.BG.A0M6.01	TCGA.BG.A0MT.01	TCGA.AP.A05D.01	TCGA.B5.A11W.01	TCGA.AP.A1DQ.01	TCGA.AP.A0LO.01	TCGA.BG.A3PP.01	TCGA.D1.A17K.01	TCGA.AX.A2H5.01	TCGA.D1.A0ZN.01	TCGA.B5.A0JU.01	TCGA.5B.A90C.01	TCGA.EY.A1GF.01	TCGA.D1.A1O7.01	TCGA.EO.A1Y8.01	TCGA.EO.A2CG.01	TCGA.D1.A0ZP.01	TCGA.EO.A3B1.01	TCGA.D1.A17N.01	TCGA.DI.A1NO.01	TCGA.B5.A1N2.01	TCGA.A5.A0G3.01	TCGA.D1.A0ZU.01	TCGA.AP.A1E1.01	TCGA.D1.A16D.01	TCGA.D1.A0ZQ.01	TCGA.EY.A1GE.01	TCGA.EY.A1GQ.01	TCGA.AJ.A2QL.01	TCGA.B5.A1MS.01	TCGA.B5.A0JS.01	TCGA.EY.A1GW.01	TCGA.B5.A1MZ.01	TCGA.AX.A2HK.01	TCGA.FI.A2F9.01	TCGA.D1.A2G7.01	TCGA.EY.A1GH.01	TCGA.B5.A1MY.01	TCGA.AX.A05Y.01	TCGA.BG.A186.01	TCGA.AX.A06B.01	TCGA.EY.A3L3.01	TCGA.D1.A1NU.01	TCGA.A5.A7WK.01	TCGA.B5.A0JX.01	TCGA.D1.A17U.01	TCGA.D1.A176.01	TCGA.AJ.A2QK.01	TCGA.FI.A2EU.01	TCGA.EC.A1NJ.01	TCGA.B5.A11F.01	TCGA.AX.A06J.01	TCGA.AX.A05T.01	TCGA.AJ.A23N.01	TCGA.AJ.A3NF.01	TCGA.B5.A11Z.01	TCGA.D1.A169.01	TCGA.EY.A2OO.01	TCGA.D1.A16F.01	TCGA.BG.A0YV.01	TCGA.D1.A17H.01	TCGA.EY.A212.01	TCGA.B5.A11I.01	TCGA.D1.A17D.01	TCGA.D1.A0ZO.01	TCGA.D1.A15W.01	TCGA.AX.A06L.01	TCGA.BG.A0MG.01	TCGA.BG.A0MI.01	TCGA.D1.A0ZR.01	TCGA.B5.A0K8.01	TCGA.BG.A0VZ.01	TCGA.D1.A17R.01	TCGA.B5.A0K1.01	TCGA.D1.A17C.01	TCGA.AJ.A5DV.01	TCGA.A5.A0R6.01	TCGA.D1.A15V.01	TCGA.EO.A3AS.01	TCGA.EY.A1GX.01	TCGA.BK.A4ZD.01	TCGA.BK.A0CA.01	TCGA.AX.A3GI.01	TCGA.A5.A0GU.01	TCGA.D1.A165.01	TCGA.AP.A0LH.01	TCGA.D1.A102.01	TCGA.A5.A0GX.01	TCGA.BK.A56F.01	TCGA.B5.A0JN.01	TCGA.BG.A0LX.01	TCGA.PG.A5BC.01	TCGA.BS.A0UL.01	TCGA.FI.A2D2.01	TCGA.A5.AB3J.01	TCGA.D1.A16E.01	TCGA.D1.A16V.01	TCGA.B5.A11R.01	TCGA.BG.A0YU.01	TCGA.B5.A11J.01	TCGA.AX.A05U.01	TCGA.B5.A11M.01	TCGA.B5.A0JT.01	TCGA.BG.A0M7.01	TCGA.AX.A1CC.01	TCGA.A5.A1OK.01	TCGA.FI.A2CY.01	TCGA.BK.A13C.01	TCGA.D1.A2G5.01	TCGA.AJ.A6NU.01	TCGA.EY.A1GR.01	TCGA.BK.A6W4.01	TCGA.D1.A16N.01	TCGA.B5.A11S.01	TCGA.D1.A0ZZ.01	TCGA.AJ.A3QS.01	TCGA.BG.A187.01	TCGA.AJ.A2QN.01	TCGA.BG.A18A.01	TCGA.D1.A17B.01	TCGA.4E.A92E.01
Exp	NA	NA	NA	-0.0520187338948874	0	0	0	0.2973	0.3312	0.9212	1.0393	1.0512	1.0567248202906	1.2898	1.3212	1.4265	1.6199	1.8405	1.88030694727192	1.88583877038286	2	2.0979	2.12542011889203	2.1768	2.2263	2.33126532210906	2.4929	2.56305457225698	2.6254	3.0166	3.02503826354458	3.0322	3.5093	3.52784030536296	3.9435894760628	4.8035	4.83521620510308	5.25400879209402	5.37016679719408	5.5416609822521	5.85302751640447	6.0606	6.12667478535698	6.52591742779678	6.95762988015176	7.2215	7.36266991662113	7.46966070870153	7.4725	7.54255328359361	7.85493570253499	8.24289451995405	8.382	8.95532343447488	8.9571	10.1892	10.6103	10.7207	10.9292396349088	11.1117260295367	11.4803	12.017930146399	12.1998	12.2560499880849	12.3775	12.5165	12.8474472636978	12.9080402917751	12.9318792147746	13.0667757201462	13.1332	13.2578	13.6922795935385	13.7795	14.0888	14.3178826378067	14.5679384059793	15.3156	15.8705805294494	15.8894049955798	16.2078479769135	17.2117	17.3191855896024	17.7858819194005	18.0134	18.5429946165558	19.0319435914933	19.2762	19.4067274520095	19.88	20.0071272231149	20.353843312297	20.372	20.5832402151888	20.8373797688016	20.9646592556058	21.6253160344491	21.9393	22.0105	22.1334225597128	22.2547756442689	22.6818220284148	22.9593206142317	23.0807969089651	23.1301	23.3365430874817	23.6941	23.8205979774333	24.0737336825894	24.081	24.2362603457174	25.3411	25.4487	25.7985	26.7296	27.2202928038699	27.2917	27.5908029718611	27.7470565420761	27.9939805143184	29.1996764846248	29.2365005963949	29.3058570237406	29.6258883944221	30.0530941087255	30.5110410427544	31.0717	31.3042450564249	31.4749	31.774722298058	32.5882264574676	32.6559694453296	33.074258245006	33.3002861807161	33.5418	33.9282072255756	33.9603	34.1305	35.5872	35.9390973010035	36.3063385737975	36.9733122910364	37.0549354810596	37.2083736923074	37.8358533772147	38.4946386497668	39.6536641988614	39.8114200541438	40	40.226247534106	40.457138302653	41.0196967138697	41.6449712182387	42.4227694638428	43.093753757641	43.7245	43.729303313946	43.9594126378011	44.4527438496247	44.8910726823999	45.6428856678776	46.6909	46.8102	46.9738	47.0290423013213	47.3522926875733	48.714	49.0956	49.3049629587657	49.4578374561101	50.3067926263888	51.0415339145883	51.189	52.5998452422197	54.1888589204556	54.2540311963287	54.5219805613119	54.5382	54.6821036223406	54.8705906383008	56.2181272316684	58.557	58.5930739527359	58.620888160125	58.9019437778553	59.2437399189476	59.2958175133718	59.4743647572742	59.656890231356	59.6751	59.9294	60.7315	61.6148894887351	61.8176906147505	61.9471920006279	62.5337	62.838558571289	62.9219248963994	63.3107718014672	63.6672022540943	64.2927511291953	65.1706866249514	65.263036032779	66.8060120943778	69.0157501624187	69.1589	69.5489930230281	70.2668	70.3365183319949	70.7835651664496	71.0914131406369	71.9041	71.9917072068869	72.0541657184445	72.5216	72.5493917341127	74.4054371126715	75.3525	77.0919	78.6143	79.3795976103881	79.4357122987149	80.2250572063136	80.6369	80.8752840691166	81.9238309690479	82.094	82.1584245695243	82.1791	82.6638294480373	82.7608	83.4704007453882	83.603	85.4479102885437	86.0749527048603	86.7331332276192	87.8915772413984	88.185782752293	88.8275	89.3442413803698	89.5698	89.6569711969427	91.0712	91.6642712281202	92.0482259236354	92.7694	93.0978303457789	93.6757	93.7889701575461	93.8602814232501	94.7381	95.3849413574523	96.2395619283376	99.0993155639577	99.7687807794344	100.329	100.582440628553	100.643131795538	101.062679391688	101.878	102.319427074615	104.727704390304	105.895971113691	107.941131602832	108.500891172796	109.149	109.315418856038	111.556499283453	111.807716334224	112.817780382914	113.298177918535	114.240452559892	114.921847727591	118.354367586698	118.512354713268	118.809011976243	119.253979681975	119.458464443457	119.96395217085	121.705	121.856651431633	124.682261818397	124.871716784254	127.471958696532	128.116	132.657225036845	132.879828795812	133.388994612218	133.601942802078	135.353558210975	135.417	136.013294033029	136.514419877344	140.468269478987	140.588245867601	145.328439010565	146.238770063962	147.381830530882	150.305472463327	150.756946790285	151.739454654774	154.015613318624	156.075	158.120684335735	162.660520322972	167.297425622591	168.099491850513	170.742985208354	171.515139869073	176.93990987575	179.287458700986	181.364034713844	184.124463692998	186.035412235419	186.947	187.501170397204	190.67	190.942494826841	193.520554277795	196.017073924665	197.777378800341	198.162717654897	200.680255758288	200.787468520991	200.870274611184	201.868270663129	206.518	207.08	209.616463863824	211.426616023853	214.185	219.403514787744	224.510723572588	227.106829476675	227.106829476675	227.939623981466	235.579990521834	235.800052467862	241.569415759341	243.39968146809	244.857677978796	246.691096490807	253.85441342711	254.371438138971	255.622667655337	260.019581289801	260.28713487374	260.449576354886	261.547	278.409122251577	281.33896829677	291.092	291.406	291.751	296.636988285362	300.188	300.488678040547	303.233541861855	303.925341454706	306.158377821428	317.504918954052	321.805	327.75	328.466808032356	336.539	336.666657535798	338.794549132049	361.631	369.637523185558	381.305590775335	385.031	387.694787291604	399.579356496926	402.868469181326	409.919697389055	410.147658834856	417.501978514926	427.098537365889	456.775079633137	463.325933346375	464.702681053574	486.6674394397	517.473	521.512804914208	562.248	563.374779150512	578.916902797143	698.724530629301	701.677	725.853138029721	729.528736665121	805.754539148386	843.249142151765	853.825
Group	112 | 121	NA	NA	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
CHD4	17 | 19	1	1	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	In_Frame_Del	Frame_Shift_Ins;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation;Nonsense_Mutation;In_Frame_Del	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Ins	NA	NA	NA	NA
TP53	57 | 48	0.0889392170752203	0.989448789961826	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	Missense_Mutation	Frame_Shift_Del	NA	Nonsense_Mutation	Frame_Shift_Del	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	Missense_Mutation	Frame_Shift_Del	Missense_Mutation	In_Frame_Del	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Nonsense_Mutation	Splice_Site	Missense_Mutation	NA	Nonsense_Mutation	NA	Missense_Mutation	Frame_Shift_Del	Missense_Mutation	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	Frame_Shift_Del	Missense_Mutation	NA	Frame_Shift_Del	NA	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	In_Frame_Del	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	Splice_Site	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	NA	NA	Frame_Shift_Ins	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	Frame_Shift_Del	NA	NA	In_Frame_Del	Splice_Site	Missense_Mutation	Missense_Mutation	Frame_Shift_Del	Missense_Mutation	NA	NA	Missense_Mutation	NA	Nonsense_Mutation	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	Frame_Shift_Ins	NA	Missense_Mutation	NA	NA	NA	Nonsense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	Frame_Shift_Del	NA	NA	In_Frame_Ins	Nonsense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Splice_Site	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	Frame_Shift_Del	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	Nonsense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	Frame_Shift_Del	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	Frame_Shift_Del	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	NA	NA	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	NA	NA	Nonsense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	Missense_Mutation;Missense_Mutation	NA	Frame_Shift_Ins	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	Frame_Shift_Del;Nonsense_Mutation	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	Missense_Mutation	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation;Frame_Shift_Del	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	NA	NA	Frame_Shift_Del	Missense_Mutation	NA	Missense_Mutation	NA	In_Frame_Del	Frame_Shift_Del	NA	NA	NA	NA	NA
