Gene	LvsH_number	p_value	q_value	TCGA.B0.5702.01	TCGA.DV.A4VZ.01	TCGA.B4.5832.01	TCGA.G6.A8L7.01	TCGA.AK.3440.01	TCGA.AK.3443.01	TCGA.AK.3453.01	TCGA.B0.4698.01	TCGA.CJ.6027.01	TCGA.B0.5098.01	TCGA.B0.4842.01	TCGA.G6.A8L6.01	TCGA.AK.3451.01	TCGA.B0.5084.01	TCGA.CJ.5681.01	TCGA.A3.3374.01	TCGA.B0.4815.01	TCGA.BP.5169.01	TCGA.AK.3427.01	TCGA.B8.5551.01	TCGA.A3.3383.01	TCGA.B0.5100.01	TCGA.A3.3346.01	TCGA.CJ.4900.01	TCGA.B0.5109.01	TCGA.B0.4821.01	TCGA.MM.A84U.01	TCGA.B0.5092.01	TCGA.MM.A564.01	TCGA.B0.5094.01	TCGA.B0.5117.01	TCGA.B8.4143.01	TCGA.G6.A5PC.01	TCGA.A3.3378.01	TCGA.B0.5400.01	TCGA.DV.A4VX.01	TCGA.AK.3426.01	TCGA.BP.4770.01	TCGA.CJ.4638.01	TCGA.CJ.6033.01	TCGA.BP.4167.01	TCGA.B0.5088.01	TCGA.CW.6090.01	TCGA.BP.5175.01	TCGA.CJ.4882.01	TCGA.BP.5001.01	TCGA.BP.4981.01	TCGA.BP.4992.01	TCGA.B0.4811.01	TCGA.G6.A8L8.01	TCGA.BP.5191.01	TCGA.B0.5085.01	TCGA.B0.4700.01	TCGA.BP.5185.01	TCGA.6D.AA2E.01	TCGA.CJ.5677.01	TCGA.B8.4153.01	TCGA.BP.4968.01	TCGA.B8.A54I.01	TCGA.3Z.A93Z.01	TCGA.B0.4810.01	TCGA.B0.5075.01	TCGA.BP.4971.01	TCGA.B0.5696.01	TCGA.B0.4706.01	TCGA.BP.4985.01	TCGA.DV.5565.01	TCGA.CJ.4636.01	TCGA.BP.5196.01	TCGA.CJ.4869.01	TCGA.B0.5083.01	TCGA.B0.5107.01	TCGA.BP.5010.01	TCGA.BP.5000.01	TCGA.BP.5170.01	TCGA.MM.A563.01	TCGA.CZ.5469.01	TCGA.AK.3458.01	TCGA.A3.3365.01	TCGA.BP.4760.01	TCGA.CJ.4912.01	TCGA.BP.5173.01	TCGA.B0.5095.01	TCGA.CJ.4637.01	TCGA.BP.4989.01	TCGA.AK.3429.01	TCGA.CJ.5676.01	TCGA.B0.5121.01	TCGA.CJ.5689.01	TCGA.BP.5176.01	TCGA.A3.3380.01	TCGA.B2.4099.01	TCGA.T7.A92I.01	TCGA.B0.4945.01	TCGA.BP.4177.01	TCGA.B0.5096.01	TCGA.CJ.4916.01	TCGA.B8.A7U6.01	TCGA.CJ.4923.01	TCGA.MW.A4EC.01	TCGA.B8.5162.01	TCGA.BP.5178.01	TCGA.CZ.5459.01	TCGA.A3.A6NI.01	TCGA.CJ.4918.01	TCGA.A3.A8OV.01	TCGA.B0.5080.01	TCGA.B0.5108.01	TCGA.B0.5081.01	TCGA.BP.5201.01	TCGA.B0.5694.01	TCGA.CJ.5678.01	TCGA.B0.5707.01	TCGA.B0.5706.01	TCGA.BP.4974.01	TCGA.CW.6087.01	TCGA.BP.5174.01	TCGA.BP.5168.01	TCGA.B0.4712.01	TCGA.A3.3373.01	TCGA.B0.5106.01	TCGA.CJ.5679.01	TCGA.BP.5192.01	TCGA.CJ.4641.01	TCGA.BP.5177.01	TCGA.A3.A8OU.01	TCGA.B0.5097.01	TCGA.CJ.4902.01	TCGA.CJ.5684.01	TCGA.BP.4993.01	TCGA.BP.4960.01	TCGA.CJ.6031.01	TCGA.BP.5007.01	TCGA.AK.3455.01	TCGA.B8.A54J.01	TCGA.CJ.6030.01	TCGA.A3.3308.01	TCGA.B8.4154.01	TCGA.DV.5566.01	TCGA.CJ.5683.01	TCGA.CJ.4901.01	TCGA.B0.5698.01	TCGA.B0.4818.01	TCGA.B0.5077.01	TCGA.B0.5399.01	TCGA.CJ.5672.01	TCGA.CZ.5989.01	TCGA.DV.A4W0.01	TCGA.B8.4146.01	TCGA.BP.4795.01	TCGA.CJ.5675.01	TCGA.AK.3444.01	TCGA.B8.5163.01	TCGA.B0.5692.01	TCGA.A3.A8OW.01	TCGA.BP.4983.01	TCGA.B8.A8YJ.01	TCGA.B0.4827.01	TCGA.B4.5843.01	TCGA.A3.3316.01	TCGA.CZ.5470.01	TCGA.CZ.5457.01	TCGA.A3.3357.01	TCGA.B0.5102.01	TCGA.BP.5198.01	TCGA.B8.4151.01	TCGA.CJ.5682.01	TCGA.AK.3436.01	TCGA.B0.4823.01	TCGA.DV.5567.01	TCGA.B8.A54G.01	TCGA.A3.A6NJ.01	TCGA.B0.5697.01	TCGA.B8.A54D.01	TCGA.CZ.5988.01	TCGA.BP.5200.01	TCGA.B0.5115.01	TCGA.CZ.4856.01	TCGA.CZ.5452.01	TCGA.B8.4619.01	TCGA.B0.4816.01	TCGA.BP.4964.01	TCGA.A3.3387.01	TCGA.BP.4962.01	TCGA.CJ.5671.01	TCGA.CZ.4859.01	TCGA.BP.4782.01	TCGA.CZ.5454.01	TCGA.CZ.5468.01	TCGA.B0.5690.01	TCGA.CZ.5460.01	TCGA.B8.A54H.01	TCGA.B0.4852.01	TCGA.B0.5099.01	TCGA.CZ.5467.01	TCGA.CZ.5462.01	TCGA.BP.5008.01	TCGA.CJ.4908.01	TCGA.A3.A8CQ.01	TCGA.BP.5182.01	TCGA.A3.3313.01	TCGA.BP.5190.01	TCGA.BP.5180.01	TCGA.B8.5552.01	TCGA.BP.5184.01	TCGA.CJ.4640.01	TCGA.BP.4801.01	TCGA.B2.5633.01	TCGA.CZ.4864.01	TCGA.A3.3349.01	TCGA.A3.3358.01	TCGA.A3.3326.01	TCGA.A3.A8OX.01	TCGA.BP.5183.01	TCGA.CJ.4644.01	TCGA.B0.5812.01	TCGA.CW.6093.01	TCGA.CW.6097.01	TCGA.B0.5120.01	TCGA.CZ.5987.01	TCGA.B0.5693.01	TCGA.CZ.4866.01	TCGA.B0.5104.01	TCGA.B2.5635.01	TCGA.BP.4999.01	TCGA.BP.4161.01	TCGA.CJ.4920.01	TCGA.BP.4162.01	TCGA.B4.5844.01	TCGA.B4.5834.01	TCGA.B0.5710.01	TCGA.B8.4620.01	TCGA.CZ.5465.01	TCGA.BP.5202.01	TCGA.A3.3363.01	TCGA.CJ.4899.01	TCGA.BP.4972.01	TCGA.B4.5838.01	TCGA.A3.3376.01	TCGA.BP.4164.01	TCGA.A3.3362.01	TCGA.B8.5550.01	TCGA.BP.4970.01	TCGA.B0.5703.01	TCGA.B8.5546.01	TCGA.B4.5836.01	TCGA.BP.4961.01	TCGA.B2.4101.01	TCGA.BP.5189.01	TCGA.GK.A6C7.01	TCGA.CZ.5466.01	TCGA.EU.5904.01	TCGA.AS.3778.01	TCGA.CZ.5453.01	TCGA.B0.5713.01	TCGA.BP.5187.01	TCGA.B0.5709.01	TCGA.CJ.6028.01	TCGA.B0.5701.01	TCGA.EU.5905.01	TCGA.B2.A4SR.01	TCGA.CJ.4639.01	TCGA.BP.5186.01	TCGA.CJ.5686.01	TCGA.B8.A54E.01	TCGA.CJ.6032.01	TCGA.CJ.4904.01	TCGA.A3.3382.01	TCGA.CZ.5461.01	TCGA.AS.3777.01	TCGA.B0.5695.01	TCGA.BP.5195.01	TCGA.BP.4963.01	TCGA.B0.5699.01	TCGA.BP.4965.01	TCGA.A3.3347.01	TCGA.B0.4710.01	TCGA.B4.5835.01	TCGA.B8.A54F.01	TCGA.B0.5712.01	TCGA.CZ.4863.01	TCGA.BP.4998.01	TCGA.BP.4977.01	TCGA.CZ.5463.01	TCGA.B0.5116.01	TCGA.CZ.5451.01	TCGA.B2.4098.01	TCGA.A3.3323.01	TCGA.CZ.5455.01	TCGA.B8.5545.01	TCGA.BP.5194.01	TCGA.A3.A6NN.01	TCGA.CJ.4643.01	TCGA.B0.5113.01	TCGA.B0.5402.01	TCGA.CW.5587.01	TCGA.A3.3311.01	TCGA.CJ.4903.01	TCGA.EU.5906.01	TCGA.B0.5691.01	TCGA.B0.5110.01	TCGA.B0.5711.01	TCGA.A3.3367.01	TCGA.BP.5004.01	TCGA.A3.3331.01	TCGA.B0.5705.01	TCGA.B8.5553.01	TCGA.B8.4148.01	TCGA.BP.4991.01	TCGA.AK.3465.01	TCGA.B2.4102.01	TCGA.B2.3923.01	TCGA.A3.3322.01	TCGA.B0.5119.01	TCGA.BP.4982.01	TCGA.A3.3370.01	TCGA.CJ.4905.01	TCGA.CJ.5680.01	TCGA.B2.5639.01	TCGA.CW.5580.01	TCGA.CZ.5984.01	TCGA.BP.4163.01	TCGA.B8.5165.01	TCGA.A3.3319.01	TCGA.CZ.5458.01	TCGA.CW.5581.01	TCGA.CZ.5986.01	TCGA.BP.4975.01	TCGA.BP.4973.01	TCGA.CJ.4907.01	TCGA.CZ.4853.01	TCGA.AK.3456.01	TCGA.CZ.5982.01	TCGA.BP.4994.01	TCGA.CW.5591.01	TCGA.B8.4621.01	TCGA.EU.5907.01	TCGA.CJ.4634.01	TCGA.A3.3317.01	TCGA.B8.5549.01	TCGA.A3.3320.01	TCGA.B8.5158.01	TCGA.B4.5377.01	TCGA.CZ.5985.01	TCGA.B8.5159.01	TCGA.B2.5641.01	TCGA.B8.5164.01	TCGA.BP.4987.01	TCGA.A3.3385.01	TCGA.CW.5583.01	TCGA.CW.5585.01	TCGA.BP.4967.01	TCGA.CZ.5456.01
Exp	NA	NA	NA	0	0.5184	0.7136	1.0183	1.6821	2.3034	2.342	2.4512	2.5783	2.7229	3.7482	4.1124	4.4671	4.6688	5.0412	5.453	5.5094	6.2578	6.3468	6.8587	7.5269	8.9166	9.6848	10.5208	10.568	10.6242	11.831	11.9522	12.5707	12.746	12.8626	12.9032	13.228	13.4228	13.8923	14.4336	14.886	14.8949	15.331	16.3225	17.4944	17.5506	18.22	19.2696	19.8151	20.3373	20.7469	21.092	22.6465	22.6848	25.3461	26.5087	27.7811	27.8578	28.0626	30.3541	30.472	31.0939	33.0012	33.2466	33.6307	34.7854	35.4346	36.3377	36.61	37.6699	37.7938	38.8095	39.0656	40.2802	41.4193	42.0361	42.7969	42.9864	43.021	45.2261	46.314	47.073	47.1538	47.3545	47.626	47.6575	49.4552	50.9773	52.2687	52.8951	53.3643	54.3664	59.689	60.1626	60.2507	60.2822	62.5187	64.3933	64.9573	65.0669	67.2846	67.3547	67.6329	68.0677	70.9921	71.1563	72.2627	72.537	72.8251	72.8613	72.9087	73.1707	74.101	74.1748	75.4498	76.6807	76.8492	76.9231	76.943	77.0878	77.1114	78.3456	81.0216	81.2487	82.9454	83.965	84.2623	85.8995	88.2187	88.9882	89.5038	90.9592	93.0701	94.583	95.4487	96.5683	96.9337	97.493	98.7141	98.8014	99.0939	100.671	102.603	103.324	103.952	104.651	106.274	108.36	109.094	109.719	111.708	113.848	114.395	118.152	120.182	123.865	124.273	124.331	124.659	126.437	128.079	132.417	132.922	133.333	134.152	135.67	136.136	136.226	137.649	139.163	140.255	140.814	141.216	142.171	142.789	143.257	143.405	144.653	146.848	147.831	148.069	148.98	151.8	151.876	152.398	152.786	153.646	154.22	155.979	157.692	158.748	159.624	161.021	162.435	162.709	163.741	164.573	167.9	172.061	176.183	176.649	177.222	177.588	178.583	178.737	180.184	181.783	182.926	182.96	183.286	186.648	186.893	187.936	188.107	191.158	193.962	195.843	197.907	199.616	199.951	200.321	206.972	207.308	208.648	209.915	210.406	212.28	212.361	213.128	213.16	213.356	214.573	218.692	219.484	220.017	221.71	222.689	222.719	223.046	223.293	224.064	224.428	224.94	226.131	226.321	227.647	229.846	231.456	234.765	235.96	236.214	237.267	239.304	240.308	241.31	243.263	244.083	245.295	248.204	250.909	252.893	253.247	253.987	254.404	254.556	256.432	258.722	259.362	260.237	267.68	267.912	269.479	270.159	270.416	277.735	282.388	284.734	290.62	292.91	301.862	303.669	303.835	305.099	305.479	306.783	307.293	312.228	313.376	316.09	316.772	318.9	320.482	321.221	322.981	333.334	335.758	340.892	341.529	342.167	342.194	342.838	343.99	346.425	350.935	351.091	352.879	357.586	358.733	361.741	364.062	364.45	371.895	374.075	374.361	380.121	384.649	385.027	386.176	391.456	396.618	398.328	409.033	415.594	418.677	419.645	422.691	429.702	442.356	453.404	457.393	461.004	469.42	479.47	479.862	486.6	491.844	498.798	500	504.95	514.14	521.538	522.192	524.336	538.168	571.884	571.927	578.387	601.635	619.556	656.455	656.507	675.426	687.814	701.857	806.096	860.555	861.973
Group	100 | 119	NA	NA	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
VHL	47 | 55	1	1	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	Splice_Site	Frame_Shift_Ins	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	Nonsense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	Frame_Shift_Ins	Nonsense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	Nonsense_Mutation	NA	Missense_Mutation	Frame_Shift_Ins	Missense_Mutation	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	Frame_Shift_Ins	Splice_Site	Nonsense_Mutation	NA	Missense_Mutation	In_Frame_Del;Missense_Mutation	Nonsense_Mutation	NA	Missense_Mutation	Frame_Shift_Del	NA	Frame_Shift_Ins	Frame_Shift_Ins	Missense_Mutation	Frame_Shift_Del	NA	Missense_Mutation	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	Splice_Site	NA	NA	In_Frame_Del	NA	NA	Frame_Shift_Del	NA	Splice_Site	Frame_Shift_Del	Frame_Shift_Del	NA	Nonsense_Mutation	NA	NA	Nonsense_Mutation	Missense_Mutation	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	Splice_Site	NA	NA	Frame_Shift_Del	Missense_Mutation	Frame_Shift_Del	Missense_Mutation	Frame_Shift_Ins	Splice_Site	NA	Nonsense_Mutation	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	Missense_Mutation	Nonsense_Mutation	Nonsense_Mutation	NA	Frame_Shift_Del	NA	Missense_Mutation	NA	Missense_Mutation	Frame_Shift_Del	Missense_Mutation	Frame_Shift_Del	Missense_Mutation	NA	NA	Frame_Shift_Del	NA	Missense_Mutation	Frame_Shift_Del	Nonsense_Mutation	NA	NA	NA	NA	Frame_Shift_Ins	Missense_Mutation	NA	Nonstop_Mutation	Frame_Shift_Del	NA	NA	NA	NA	Nonsense_Mutation	Missense_Mutation	Frame_Shift_Ins	NA	NA	NA	Missense_Mutation	Missense_Mutation	Frame_Shift_Del	Missense_Mutation	NA	NA	Nonsense_Mutation	Frame_Shift_Del	NA	NA	NA	Frame_Shift_Del	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	Splice_Site	NA	NA	NA	Missense_Mutation	NA	Frame_Shift_Ins	NA	Frame_Shift_Ins	NA	NA	NA	NA	Nonsense_Mutation	Missense_Mutation	Splice_Site	Frame_Shift_Del	NA	NA	NA	Frame_Shift_Del	NA	Missense_Mutation	NA	NA	Nonsense_Mutation	NA	Frame_Shift_Del	NA	NA	NA	NA	Frame_Shift_Del	NA	Nonsense_Mutation	Missense_Mutation;Missense_Mutation	Frame_Shift_Del	Nonsense_Mutation	Nonsense_Mutation	Frame_Shift_Del	NA	NA	Missense_Mutation	Frame_Shift_Ins	NA	NA	Frame_Shift_Del;Frame_Shift_Del	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	Frame_Shift_Del	NA	NA	NA	NA	NA	Splice_Site	Nonsense_Mutation	Splice_Site	NA	Splice_Site	Missense_Mutation	NA	Nonsense_Mutation	NA	Splice_Site	NA	NA	NA	Missense_Mutation	Frame_Shift_Ins	Nonsense_Mutation	Splice_Site	Missense_Mutation	Frame_Shift_Del	NA	NA	Frame_Shift_Del	NA	NA	Splice_Site	Frame_Shift_Del	NA	Missense_Mutation;Missense_Mutation	Frame_Shift_Ins	Missense_Mutation	NA	NA	Nonsense_Mutation	Missense_Mutation	Frame_Shift_Del	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Splice_Site	Nonsense_Mutation	Frame_Shift_Del	NA	Missense_Mutation	Frame_Shift_Del	Frame_Shift_Del	NA	Frame_Shift_Del	Frame_Shift_Ins	NA	Missense_Mutation	Missense_Mutation	NA	Frame_Shift_Ins	In_Frame_Del	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	Frame_Shift_Del	Splice_Site;Splice_Site	Missense_Mutation	Frame_Shift_Ins	NA	Splice_Site	NA	Missense_Mutation	NA	Splice_Site	NA	NA	NA	Missense_Mutation	NA	Frame_Shift_Del	NA	Nonsense_Mutation	NA	NA	Frame_Shift_Ins	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	Frame_Shift_Ins	Nonsense_Mutation	NA	NA	NA	NA	Frame_Shift_Del	NA	Missense_Mutation	NA
TTN	22 | 14	0.0459020951007466	0.183608380402986	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	Nonsense_Mutation;Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Splice_Site	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation;Missense_Mutation	NA	Nonsense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	Missense_Mutation	Nonsense_Mutation;Missense_Mutation;Missense_Mutation	Frame_Shift_Del;Frame_Shift_Del	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation;Missense_Mutation	NA	Nonsense_Mutation	NA	Missense_Mutation;Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation;Frame_Shift_Del	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Nonsense_Mutation	NA	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Nonsense_Mutation;Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA
SETD2	13 | 13	0.678639419407935	0.775587907894783	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Frame_Shift_Del	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	Splice_Site	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	NA	NA	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	In_Frame_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	Nonsense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del;Nonsense_Mutation;Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Ins	Missense_Mutation	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	Frame_Shift_Del	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Splice_Site	Nonsense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Splice_Site	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Ins	Frame_Shift_Del	NA	NA	NA	NA	Frame_Shift_Del;Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Frame_Shift_Del;Missense_Mutation	Nonsense_Mutation	NA	NA	Missense_Mutation	Nonsense_Mutation;Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	Missense_Mutation	NA	NA	NA	NA	NA	Frame_Shift_Ins;Splice_Site	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del;Frame_Shift_Del	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation
