Gene	LvsH_number	p_value	q_value	TCGA.FG.A6J1.01	TCGA.HT.A4DS.01	TCGA.QH.A65X.01	TCGA.HW.A5KJ.01	TCGA.DB.A64L.01	TCGA.DB.5274.01	TCGA.E1.5304.01	TCGA.HT.A74K.01	TCGA.E1.A7YS.01	TCGA.VW.A7QS.01	TCGA.S9.A6WH.01	TCGA.F6.A8O3.01	TCGA.FG.A6IZ.01	TCGA.HT.A61C.01	TCGA.DB.A64Q.01	TCGA.DB.A64V.01	TCGA.RY.A83Y.01	TCGA.S9.A6WP.01	TCGA.HT.A4DV.01	TCGA.QH.A65R.01	TCGA.DH.A7UR.01	TCGA.FG.A87N.01	TCGA.HW.7487.01	TCGA.DB.A64U.01	TCGA.TM.A84G.01	TCGA.VM.A8CB.01	TCGA.FG.A6J3.01	TCGA.S9.A6UB.01	TCGA.HT.A61A.01	TCGA.R8.A6MO.01	TCGA.S9.A6TX.01	TCGA.DU.A7T6.01	TCGA.VM.A8C9.01	TCGA.FG.A4MT.01	TCGA.HT.A5R9.01	TCGA.TQ.A7RQ.01	TCGA.FG.5964.01	TCGA.TM.A7C5.01	TCGA.S9.A7IS.01	TCGA.TQ.A7RU.01	TCGA.DH.5144.01	TCGA.DU.7294.01	TCGA.DB.A4XH.01	TCGA.S9.A6TY.01	TCGA.DH.A66F.01	TCGA.S9.A7R1.01	TCGA.CS.5394.01	TCGA.S9.A6TW.01	TCGA.DU.A6S3.01	TCGA.DU.6410.01	TCGA.TM.A84J.01	TCGA.E1.A7YO.01	TCGA.HT.7603.01	TCGA.QH.A65Z.01	TCGA.S9.A7QY.01	TCGA.DH.5140.01	TCGA.CS.6669.01	TCGA.WY.A859.01	TCGA.QH.A6CY.01	TCGA.P5.A730.01	TCGA.P5.A5F0.01	TCGA.DU.5874.01	TCGA.DB.A64P.01	TCGA.DU.A7TC.01	TCGA.P5.A77W.01	TCGA.S9.A6WI.01	TCGA.HT.7856.01	TCGA.WY.A858.01	TCGA.DU.6394.01	TCGA.FG.A60L.01	TCGA.RY.A83Z.01	TCGA.FG.A4MX.01	TCGA.DB.A4XG.01	TCGA.CS.5390.01	TCGA.DU.7300.01	TCGA.HT.8558.01	TCGA.HT.8105.01	TCGA.DU.8168.01	TCGA.QH.A6X8.01	TCGA.RY.A847.01	TCGA.HT.7481.01	TCGA.S9.A7J0.01	TCGA.CS.6668.01	TCGA.QH.A6CZ.01	TCGA.WY.A85E.01	TCGA.TM.A84Q.01	TCGA.DB.A75K.01	TCGA.DU.7302.01	TCGA.DB.A75L.01	TCGA.DU.A7TG.01	TCGA.DB.5278.01	TCGA.DU.A7TB.01	TCGA.QH.A6X4.01	TCGA.P5.A5ET.01	TCGA.HT.A74H.01	TCGA.RY.A840.01	TCGA.EZ.7264.01	TCGA.S9.A6WD.01	TCGA.FG.A710.01	TCGA.WY.A85A.01	TCGA.DB.A4XA.01	TCGA.P5.A5F6.01	TCGA.IK.8125.01	TCGA.DH.5141.01	TCGA.DU.A5TS.01	TCGA.FG.A713.01	TCGA.HT.7476.01	TCGA.QH.A65V.01	TCGA.TM.A84R.01	TCGA.HT.A615.01	TCGA.S9.A7J2.01	TCGA.DU.A6S8.01	TCGA.HT.8012.01	TCGA.DB.A64W.01	TCGA.TM.A84M.01	TCGA.DU.7009.01	TCGA.DU.7018.01	TCGA.DU.A76L.01	TCGA.E1.A7YY.01	TCGA.DU.A5TU.01	TCGA.VM.A8CF.01	TCGA.HW.8322.01	TCGA.S9.A7QZ.01	TCGA.DU.7019.01	TCGA.DU.6400.01	TCGA.TQ.A7RS.01	TCGA.R8.A6ML.01	TCGA.FG.A4MW.01	TCGA.HT.7606.01	TCGA.DH.A7UU.01	TCGA.S9.A89V.01	TCGA.HT.A614.01	TCGA.HT.7692.01	TCGA.QH.A6CV.01	TCGA.HT.7688.01	TCGA.S9.A7J1.01	TCGA.HT.7620.01	TCGA.HW.7486.01	TCGA.E1.A7Z2.01	TCGA.S9.A6WL.01	TCGA.E1.5319.01	TCGA.HT.7677.01	TCGA.HT.8011.01	TCGA.P5.A781.01	TCGA.DU.A76K.01	TCGA.HT.7616.01	TCGA.RY.A843.01	TCGA.QH.A6X5.01	TCGA.S9.A7QW.01	TCGA.DB.5275.01	TCGA.DB.A64R.01	TCGA.VV.A829.01	TCGA.DU.A5TP.01	TCGA.HT.8015.01	TCGA.DB.A64X.01	TCGA.DU.A6S2.01	TCGA.DU.8162.01	TCGA.E1.5311.01	TCGA.QH.A86X.01	TCGA.P5.A780.01	TCGA.E1.5322.01	TCGA.HT.8113.01	TCGA.DU.8164.01	TCGA.E1.5318.01	TCGA.DU.6397.01	TCGA.S9.A6WE.01	TCGA.HT.7467.01	TCGA.FG.A70Y.01	TCGA.HT.7681.01	TCGA.HT.7607.01	TCGA.FG.8189.01	TCGA.FG.8181.01	TCGA.TQ.A7RH.01	TCGA.TQ.A7RV.01	TCGA.KT.A74X.01	TCGA.HT.7877.01	TCGA.VM.A8CA.01	TCGA.TM.A84B.01	TCGA.P5.A72W.01	TCGA.HT.A74L.01	TCGA.QH.A6CU.01	TCGA.DU.5849.01	TCGA.W9.A837.01	TCGA.P5.A5EY.01	TCGA.S9.A7IQ.01	TCGA.S9.A7R2.01	TCGA.HT.A616.01	TCGA.CS.6670.01	TCGA.HT.8010.01	TCGA.FG.7638.01	TCGA.E1.A7Z3.01	TCGA.HT.A617.01	TCGA.FG.7637.01	TCGA.HT.7695.01	TCGA.S9.A6TV.01	TCGA.WY.A85C.01	TCGA.DU.6393.01	TCGA.HT.7605.01	TCGA.QH.A6XC.01	TCGA.WY.A85D.01	TCGA.P5.A737.01	TCGA.DB.A64S.01	TCGA.HT.7687.01	TCGA.HT.A61B.01	TCGA.S9.A7J3.01	TCGA.DU.8167.01	TCGA.CS.4944.01	TCGA.TQ.A7RM.01	TCGA.P5.A5EX.01	TCGA.FG.5963.01	TCGA.P5.A5F4.01	TCGA.VM.A8C8.01	TCGA.FG.7636.01	TCGA.DH.A7US.01	TCGA.E1.A7YM.01	TCGA.HT.7475.01	TCGA.FG.A60K.01	TCGA.S9.A6UA.01	TCGA.S9.A6TS.01	TCGA.DU.A6S6.01	TCGA.P5.A77X.01	TCGA.HT.7694.01	TCGA.TQ.A7RN.01	TCGA.P5.A735.01	TCGA.FG.A711.01	TCGA.RY.A83X.01	TCGA.E1.A7YQ.01	TCGA.S9.A6U5.01	TCGA.TQ.A7RO.01	TCGA.HT.8109.01	TCGA.DH.A7UT.01	TCGA.HT.7874.01	TCGA.E1.A7YK.01	TCGA.QH.A65S.01	TCGA.DU.A76O.01	TCGA.E1.A7YU.01	TCGA.E1.A7YL.01	TCGA.DH.A66B.01	TCGA.HT.8018.01	TCGA.TQ.A7RG.01	TCGA.DB.5277.01	TCGA.HT.7684.01	TCGA.HT.8107.01	TCGA.VM.A8CE.01	TCGA.DU.A5TR.01	TCGA.FG.7641.01	TCGA.HW.A5KK.01	TCGA.CS.4943.01	TCGA.HT.A5R7.01	TCGA.WY.A85B.01	TCGA.DU.A5TY.01	TCGA.VW.A8FI.01	TCGA.P5.A5EV.01	TCGA.DU.7299.01	TCGA.FG.5962.01	TCGA.P5.A5EU.01	TCGA.S9.A7IY.01	TCGA.HW.7491.01	TCGA.DU.7309.01	TCGA.DU.5870.01	TCGA.HT.A74O.01	TCGA.DB.5270.01	TCGA.FG.6688.01	TCGA.HT.A5RB.01	TCGA.HT.A618.01	TCGA.FG.8185.01	TCGA.HT.7857.01	TCGA.S9.A6WN.01	TCGA.E1.A7YI.01	TCGA.TM.A84I.01	TCGA.DH.A669.01	TCGA.HW.7495.01	TCGA.FG.8187.01	TCGA.QH.A6X9.01	TCGA.TM.A7C4.01	TCGA.DB.A75M.01	TCGA.HT.7676.01	TCGA.S9.A6U6.01	TCGA.FG.7643.01	TCGA.TM.A84S.01	TCGA.TM.A84F.01	TCGA.HT.7610.01	TCGA.HT.7691.01	TCGA.DB.A4XE.01	TCGA.HT.A74J.01	TCGA.DU.A7TD.01	TCGA.E1.A7YD.01	TCGA.HT.7483.01	TCGA.HT.7471.01	TCGA.HT.7880.01	TCGA.DB.A64O.01	TCGA.S9.A6WQ.01	TCGA.DU.A76R.01	TCGA.HT.7470.01	TCGA.DU.7298.01	TCGA.FG.6692.01	TCGA.DB.A4XC.01	TCGA.P5.A5F1.01	TCGA.DB.A75P.01	TCGA.DU.7008.01	TCGA.S9.A89Z.01	TCGA.HW.7489.01	TCGA.S9.A6WM.01	TCGA.HT.8564.01	TCGA.TM.A7CA.01	TCGA.HT.7902.01	TCGA.E1.5305.01	TCGA.QH.A6CS.01	TCGA.HT.7881.01	TCGA.DU.5851.01	TCGA.S9.A6U8.01	TCGA.CS.5393.01	TCGA.E1.A7YV.01	TCGA.E1.A7YE.01	TCGA.DH.A7UV.01	TCGA.RY.A845.01	TCGA.DU.6408.01	TCGA.TQ.A7RI.01	TCGA.HT.7480.01	TCGA.DH.5142.01	TCGA.P5.A5F2.01	TCGA.HW.7490.01	TCGA.FG.A4MY.01	TCGA.HT.7468.01	TCGA.TM.A84T.01	TCGA.S9.A7IX.01	TCGA.P5.A5EZ.01	TCGA.HT.7882.01	TCGA.S9.A6U0.01	TCGA.HT.7478.01	TCGA.TM.A84O.01	TCGA.FG.7634.01	TCGA.DB.5273.01	TCGA.TM.A7CF.01	TCGA.DH.A66D.01	TCGA.E1.A7YN.01	TCGA.CS.6665.01	TCGA.E1.A7YH.01	TCGA.S9.A6U9.01	TCGA.HT.7875.01	TCGA.S9.A6WG.01	TCGA.R8.A6MK.01	TCGA.DU.A5TW.01	TCGA.E1.A7Z4.01	TCGA.DU.A5TT.01	TCGA.QH.A6XA.01	TCGA.KT.A7W1.01	TCGA.HT.7477.01	TCGA.HT.7601.01	TCGA.CS.4942.01	TCGA.HT.8111.01	TCGA.DU.7290.01	TCGA.FG.A70Z.01	TCGA.TM.A84L.01	TCGA.FG.8186.01	TCGA.P5.A731.01	TCGA.DU.6396.01	TCGA.CS.6290.01	TCGA.TQ.A7RF.01	TCGA.DH.A66G.01	TCGA.CS.6188.01	TCGA.HW.A5KL.01	TCGA.HW.A5KM.01	TCGA.S9.A7R4.01	TCGA.WH.A86K.01	TCGA.QH.A6CW.01	TCGA.FG.A4MU.01	TCGA.DU.6402.01	TCGA.P5.A72U.01	TCGA.CS.5396.01	TCGA.P5.A72Z.01	TCGA.S9.A6U1.01	TCGA.VM.A8CH.01	TCGA.HT.7602.01	TCGA.S9.A7IZ.01	TCGA.DU.6403.01	TCGA.QH.A6CX.01	TCGA.DU.7011.01	TCGA.TQ.A7RP.01	TCGA.DB.A75O.01	TCGA.HT.7884.01	TCGA.S9.A6U2.01	TCGA.HT.8108.01	TCGA.HT.8106.01	TCGA.FG.5965.01	TCGA.TQ.A8XE.01	TCGA.HT.A5RC.01	TCGA.TM.A7C3.01	TCGA.HT.7879.01	TCGA.DU.A7T8.01	TCGA.HT.7608.01	TCGA.HT.8110.01	TCGA.CS.6667.01	TCGA.P5.A736.01	TCGA.FG.A60J.01	TCGA.HT.7693.01	TCGA.FG.6690.01	TCGA.DB.A4X9.01	TCGA.FG.6689.01	TCGA.HT.7690.01	TCGA.DU.6395.01	TCGA.FG.8191.01	TCGA.P5.A733.01	TCGA.HT.7482.01	TCGA.S9.A7QX.01	TCGA.CS.6186.01	TCGA.HT.7609.01	TCGA.TQ.A7RK.01	TCGA.TQ.A7RJ.01	TCGA.DU.5872.01	TCGA.TM.A84C.01	TCGA.E1.A7YW.01	TCGA.R8.A6YH.01	TCGA.DU.7292.01	TCGA.DB.5279.01	TCGA.HT.7855.01	TCGA.FG.A87Q.01	TCGA.S9.A7R8.01	TCGA.S9.A6TU.01	TCGA.DU.8166.01	TCGA.HT.A5R5.01	TCGA.E1.5303.01	TCGA.CS.5395.01	TCGA.DU.6399.01	TCGA.HT.7474.01	TCGA.DU.A7TA.01	TCGA.TM.A84H.01	TCGA.DB.A4XB.01	TCGA.DB.A4XD.01	TCGA.DU.6404.01	TCGA.HW.8319.01	TCGA.DU.7013.01	TCGA.S9.A7R3.01	TCGA.TQ.A7RR.01	TCGA.FG.8188.01	TCGA.HT.7689.01	TCGA.S9.A6TZ.01	TCGA.DB.5276.01	TCGA.DU.5852.01	TCGA.HT.8563.01	TCGA.DU.7012.01	TCGA.E1.5302.01	TCGA.DU.6542.01	TCGA.HT.7479.01	TCGA.DU.A6S7.01	TCGA.VM.A8CD.01	TCGA.DU.5853.01	TCGA.HT.8013.01	TCGA.DU.6406.01	TCGA.DU.A7TJ.01	TCGA.FG.6691.01	TCGA.HT.7472.01	TCGA.DU.5854.01	TCGA.P5.A72X.01	TCGA.DU.7304.01	TCGA.HT.7854.01	TCGA.CS.4941.01	TCGA.FG.8182.01	TCGA.HW.8321.01	TCGA.DU.7010.01	TCGA.DU.7006.01	TCGA.S9.A6WO.01	TCGA.HT.7858.01	TCGA.DU.7015.01	TCGA.QH.A6X3.01	TCGA.TQ.A7RW.01	TCGA.DB.5281.01	TCGA.S9.A7R7.01	TCGA.HT.7604.01	TCGA.HT.7686.01	TCGA.P5.A5EW.01	TCGA.CS.6666.01	TCGA.F6.A8O4.01	TCGA.HT.7469.01	TCGA.HT.A5RA.01	TCGA.HT.8104.01	TCGA.DB.A4XF.01	TCGA.DH.5143.01	TCGA.DU.7306.01	TCGA.DU.8163.01	TCGA.DU.5871.01	TCGA.DU.6407.01	TCGA.IK.7675.01	TCGA.FN.7833.01	TCGA.DU.5847.01	TCGA.QH.A870.01	TCGA.E1.5307.01	TCGA.HT.7485.01	TCGA.DU.7007.01	TCGA.CS.4938.01	TCGA.E1.A7Z6.01	TCGA.HW.8320.01	TCGA.HT.7473.01	TCGA.VV.A86M.01	TCGA.DU.6401.01	TCGA.DU.8165.01	TCGA.HT.8114.01	TCGA.E1.A7YJ.01	TCGA.DU.8161.01	TCGA.DU.5855.01	TCGA.DB.5280.01	TCGA.DU.7301.01	TCGA.HT.7680.01	TCGA.HT.7873.01	TCGA.DU.6405.01	TCGA.HT.7860.01	TCGA.DU.8158.01	TCGA.HT.7611.01	TCGA.CS.5397.01
Exp	NA	NA	NA	0	0	0	0.4973	0.9281	1.1494	1.7595	1.771	1.8248	1.927	2.0669	2.1598	2.1598	2.3567	2.4615	2.5898	3.1234	3.1328	3.2	3.3167	3.5545	3.8541	4.0641	4.2194	4.5472	4.7399	4.7955	4.8023	4.84	4.8825	4.916	5.0026	5.0939	5.2407	5.409	5.5592	5.733	5.767	5.8108	5.9072	6.0203	6.0342	6.0715	6.0926	6.1524	6.2273	6.3566	6.389	6.5065	6.6143	6.675	6.7375	6.8101	6.9961	7.1249	7.453	7.7378	7.7532	7.8748	8.0798	8.1319	8.1514	8.4246	8.5938	8.6376	8.6957	8.9183	8.9707	9.2501	9.312	9.5346	10.0402	10.458	10.5888	10.5899	10.6279	10.855	11.0212	11.1166	11.4371	11.5263	11.8211	11.9301	11.957	12.0983	12.1655	12.1775	12.2699	12.3678	12.5373	12.7063	13.0105	13.0418	13.0435	13.0538	13.3612	13.4238	13.5524	13.6986	13.7239	13.8045	13.8889	13.89	13.9163	14.2614	14.6615	14.8515	15.2164	15.2274	15.2737	15.6205	15.7895	15.9375	15.9858	16.1357	16.226	16.2338	16.2632	16.3997	16.5044	16.6163	16.6472	16.8521	16.972	16.977	17.0484	17.1036	17.1851	17.284	17.8183	17.9497	18.0465	18.2648	18.2737	18.3073	18.3979	18.4405	18.8344	18.8699	19.3868	19.6787	19.8135	20.0391	20.2593	20.6936	20.805	21.1214	21.548	21.582	21.6613	21.8023	22.0318	22.1675	22.1779	22.1914	22.2618	22.2992	22.5396	22.7128	23.0289	23.1364	23.2272	23.4261	23.6901	23.7199	23.8258	24.1665	24.2881	24.4524	24.5791	24.6238	24.7447	24.7808	24.821	24.9677	25.4579	25.5449	25.6198	25.8228	25.828	26.1547	26.1645	26.393	26.5306	26.5487	26.6731	26.9393	27.0575	27.2479	27.32	27.336	28.1008	28.3715	28.4183	28.8283	29.0151	29.1952	29.2013	29.7904	30.0789	30.0863	30.4818	30.4992	31.0835	31.6433	31.6832	31.7741	31.7763	31.9504	32.1163	32.3168	32.7145	32.8372	33.0912	33.5004	34.6592	34.72	35.2138	35.2734	35.4236	35.4871	35.5205	35.5496	35.6178	36.4035	36.6209	37.0508	37.1308	37.5566	37.8233	38.1282	39.2091	40.0695	40.3917	40.5017	40.8842	41.0591	41.3224	41.5082	41.8153	42.12	42.6675	42.8954	43.2346	43.2373	44.6363	44.8191	45.3243	45.4817	45.611	45.9972	46.4839	46.6989	47.1218	47.3016	47.8343	48.6436	49.0068	50.1781	51.9717	52.0846	52.506	52.87	53.2119	53.5245	54.4034	54.8278	55.3237	55.5739	55.6854	56.2916	56.4083	56.6038	56.8362	56.9343	56.9648	57.2229	57.7675	59.1008	59.8436	59.9684	59.9769	60.9049	61.2872	61.4453	61.8245	61.9946	62.2963	62.5	62.5	63.1026	63.6583	63.7346	64.8735	65.3109	66.6715	67.007	67.4352	67.6239	68.0272	68.8995	70.3348	70.5645	70.6123	70.7286	70.7304	70.7582	71.3921	71.7914	71.8623	72.1171	72.2211	72.5048	72.5842	75.0764	75.5192	75.8369	76.3454	76.4177	76.8186	76.927	77.1908	77.7089	78.8035	78.8132	79.0283	79.269	79.5791	79.646	80	80.7114	81.1463	81.6411	81.6975	81.7901	83.0126	83.3757	83.6916	83.8554	84.4215	84.9705	86.9912	87.1258	87.5209	87.6816	87.7897	87.8578	87.9038	87.9511	88.2353	88.7553	88.9877	89.6021	90.1192	90.2592	91.9947	92.5493	93.1114	93.4116	93.5291	94.3942	94.4477	94.4927	94.9831	95.5529	95.5994	95.7272	97.1978	97.7823	97.8603	101.558	101.634	102.794	103.126	103.445	104.774	106.294	106.891	108.761	109.677	109.862	110.27	114.553	114.861	116.317	116.398	116.418	117.985	118.037	118.438	118.571	119.572	121.91	122.924	123.931	124.979	126.082	126.761	127.207	127.801	127.926	127.954	128.545	130.621	131.227	131.269	131.518	131.902	132.45	132.547	134.078	136.442	136.599	137.017	140.334	140.344	140.508	140.716	141.165	145.952	147.255	149.249	153.286	153.344	159.46	161.986	162.133	162.763	163.002	163.586	163.659	164.264	165.46	165.972	167.739	168.17	175.746	176.792	177.255	177.447	177.682	177.873	177.885	178.856	180.934	182.357	183.306	184.328	184.816	185.125	185.892	186.763	191.887	194.713	196.334	199.371	202.208	203.715	204.224	204.641	205.798	208.022	214.121	214.984	215.536	216.04	218.299	221.293	225.698	226.691	226.869	227.484	230.567	230.581	231.121	231.536	235.35	239.662	241.3	244.689	251.884	254.024	254.623	257.048	259.157	265.198	266.495	266.983	269.256	275.645	301.505	322.281	323.839	324.777	329.363	339.715	344.452	349.647	352.3	363.513	366.348	368.841	385.848	394.113	400.754	434.078	455.767	542.62	543.347
Group	152 | 153	NA	NA	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
