Gene	LvsH_number	p_value	q_value	TCGA.C5.A1ME.01	TCGA.C5.A2LT.01	TCGA.C5.A7UE.01	TCGA.C5.A907.01	TCGA.DS.A7WI.01	TCGA.EA.A5O9.01	TCGA.EA.A78R.01	TCGA.EK.A2PG.01	TCGA.EK.A2RB.01	TCGA.EK.A2RK.01	TCGA.EK.A2RN.01	TCGA.EK.A3GJ.01	TCGA.IR.A3LL.01	TCGA.JW.A5VG.01	TCGA.JW.A5VK.01	TCGA.JW.A852.01	TCGA.JX.A5QV.01	TCGA.Q1.A5R2.01	TCGA.Q1.A6DT.01	TCGA.RA.A741.01	TCGA.VS.A953.01	TCGA.VS.A957.01	TCGA.VS.A9UD.01	TCGA.VS.A9UO.01	TCGA.VS.A9UR.01	TCGA.VS.A9UU.01	TCGA.ZJ.A8QR.01	TCGA.C5.A1M8.01	TCGA.EK.A3GM.01	TCGA.EK.A3GN.01	TCGA.ZJ.AAXU.01	TCGA.EK.A2H0.01	TCGA.Q1.A5R3.01	TCGA.VS.A8QA.01	TCGA.C5.A1MN.01	TCGA.EA.A3Y4.01	TCGA.VS.A8EH.01	TCGA.FU.A23K.01	TCGA.EK.A2IP.01	TCGA.EA.A5FO.01	TCGA.VS.A8Q9.01	TCGA.MA.AA3Z.01	TCGA.C5.A1M9.01	TCGA.VS.A954.01	TCGA.C5.A8YR.01	TCGA.DG.A2KH.01	TCGA.C5.A7X3.01	TCGA.VS.A9UH.01	TCGA.VS.A8Q8.01	TCGA.FU.A3EO.01	TCGA.EK.A2GZ.01	TCGA.C5.A1MQ.01	TCGA.EA.A1QT.01	TCGA.JX.A3Q8.01	TCGA.C5.A2LV.01	TCGA.C5.A7UI.01	TCGA.MY.A913.01	TCGA.C5.A8XI.01	TCGA.JW.A5VH.01	TCGA.FU.A2QG.01	TCGA.VS.A8EC.01	TCGA.LP.A5U2.01	TCGA.ZJ.AAXT.01	TCGA.MU.A8JM.01	TCGA.VS.A9V4.01	TCGA.VS.A94X.01	TCGA.EX.A69M.01	TCGA.C5.A7CO.01	TCGA.FU.A3HY.01	TCGA.VS.A9UY.01	TCGA.EK.A2RL.01	TCGA.Q1.A5R1.01	TCGA.MA.AA3W.01	TCGA.C5.A2LY.01	TCGA.UC.A7PI.01	TCGA.IR.A3LI.01	TCGA.VS.A94Y.01	TCGA.C5.A1BE.01	TCGA.DS.A0VK.01	TCGA.EK.A2H1.01	TCGA.VS.A8EL.01	TCGA.FU.A3WB.01	TCGA.VS.A8EB.01	TCGA.EK.A2RA.01	TCGA.VS.A8QF.01	TCGA.EK.A2PI.01	TCGA.FU.A5XV.01	TCGA.EA.A43B.01	TCGA.ZJ.AAXI.01	TCGA.EK.A2RJ.01	TCGA.VS.A8EI.01	TCGA.C5.A1BN.01	TCGA.EK.A2PM.01	TCGA.IR.A3LC.01	TCGA.C5.A1MF.01	TCGA.C5.A0TN.01	TCGA.DS.A5RQ.01	TCGA.EA.A6QX.01	TCGA.DG.A2KK.01	TCGA.VS.A8QC.01	TCGA.ZJ.AAXJ.01	TCGA.VS.A8QH.01	TCGA.VS.A9UV.01	TCGA.GH.A9DA.01	TCGA.Q1.A73S.01	TCGA.EK.A2RE.01	TCGA.C5.A1BK.01	TCGA.UC.A7PD.01	TCGA.Q1.A73Q.01	TCGA.C5.A1BL.01	TCGA.VS.A9UB.01	TCGA.JW.A69B.01	TCGA.C5.A2M1.01	TCGA.WL.A834.01	TCGA.C5.A7CH.01	TCGA.ZJ.AAXB.01	TCGA.JW.A5VJ.01	TCGA.C5.A7UC.01	TCGA.EK.A2R8.01	TCGA.EX.A69L.01	TCGA.C5.A1M7.01	TCGA.JW.A5VI.01	TCGA.C5.A8XK.01	TCGA.DS.A1OA.01	TCGA.LP.A7HU.01	TCGA.DS.A3LQ.01	TCGA.C5.A8YQ.01	TCGA.DG.A2KJ.01	TCGA.VS.AA62.01	TCGA.R2.A69V.01	TCGA.EK.A2RM.01	TCGA.BI.A0VR.01	TCGA.VS.A9UT.01	TCGA.EK.A2PL.01	TCGA.C5.A7UH.01	TCGA.VS.A950.01	TCGA.Q1.A6DV.01	TCGA.ZJ.AB0I.01	TCGA.EK.A2PK.01	TCGA.ZJ.AAXA.01	TCGA.IR.A3LB.01	TCGA.C5.A7CL.01	TCGA.ZJ.AAXN.01	TCGA.VS.A9U6.01	TCGA.DR.A0ZL.01	TCGA.C5.A2LX.01	TCGA.VS.A9V1.01	TCGA.ZJ.AAX4.01	TCGA.EA.A5ZE.01	TCGA.C5.A7X5.01	TCGA.EA.A5ZD.01	TCGA.LP.A5U3.01	TCGA.C5.A1M5.01	TCGA.LP.A4AV.01	TCGA.MA.AA3Y.01	TCGA.DS.A0VN.01	TCGA.C5.A8XH.01	TCGA.DS.A0VL.01	TCGA.HM.A3JK.01	TCGA.EA.A3QE.01	TCGA.VS.A9UJ.01	TCGA.Q1.A6DW.01	TCGA.FU.A23L.01	TCGA.EK.A2RO.01	TCGA.EA.A3QD.01	TCGA.VS.A9V2.01	TCGA.ZJ.AB0H.01	TCGA.JX.A3PZ.01	TCGA.C5.A7CG.01	TCGA.VS.A9V0.01	TCGA.C5.A1BF.01	TCGA.VS.A9U5.01	TCGA.FU.A770.01	TCGA.VS.A8EG.01	TCGA.EK.A2R9.01	TCGA.MA.AA3X.01	TCGA.C5.A1BI.01	TCGA.HM.A3JJ.01	TCGA.EX.A8YF.01	TCGA.LP.A4AX.01	TCGA.EX.A3L1.01	TCGA.LP.A4AU.01	TCGA.C5.A1MK.01	TCGA.EA.A3HT.01	TCGA.C5.A1BM.01	TCGA.C5.A7CK.01	TCGA.C5.A7CM.01	TCGA.DG.A2KL.01	TCGA.EX.A1H6.01	TCGA.C5.A1MH.01	TCGA.VS.A9V3.01	TCGA.VS.A8EJ.01	TCGA.EK.A2R7.01	TCGA.BI.A0VS.01	TCGA.EA.A3HQ.01	TCGA.IR.A3LF.01	TCGA.VS.A9V5.01	TCGA.VS.A9UI.01	TCGA.VS.A952.01	TCGA.EA.A1QS.01	TCGA.IR.A3L7.01	TCGA.C5.A1BJ.01	TCGA.C5.A8ZZ.01	TCGA.FU.A40J.01	TCGA.MA.AA42.01	TCGA.Q1.A73P.01	TCGA.XS.A8TJ.01	TCGA.EA.A411.01	TCGA.VS.A9UZ.01	TCGA.C5.A7X8.01	TCGA.ZX.AA5X.01	TCGA.C5.A1MJ.01	TCGA.DS.A0VM.01	TCGA.4J.AA1J.01	TCGA.EA.A97N.01	TCGA.ZJ.AAXD.01	TCGA.EX.A1H5.01	TCGA.FU.A3YQ.01	TCGA.PN.A8MA.01	TCGA.C5.A7CJ.01	TCGA.FU.A3TQ.01	TCGA.MA.AA43.01	TCGA.DG.A2KM.01	TCGA.EK.A2RC.01	TCGA.VS.A9UC.01	TCGA.C5.A3HF.01	TCGA.DS.A7WH.01	TCGA.LP.A4AW.01	TCGA.MU.A5YI.01	TCGA.MA.AA41.01	TCGA.C5.A1ML.01	TCGA.VS.A9UL.01	TCGA.UC.A7PG.01	TCGA.FU.A3NI.01	TCGA.C5.A2M2.01	TCGA.C5.A7XC.01	TCGA.VS.A959.01	TCGA.HG.A2PA.01	TCGA.VS.A9U7.01	TCGA.VS.A9UQ.01	TCGA.C5.A2LS.01	TCGA.EA.A439.01	TCGA.JW.AAVH.01	TCGA.FU.A3TX.01	TCGA.C5.A1M6.01	TCGA.Q1.A73R.01	TCGA.EA.A5ZF.01	TCGA.ZJ.AAXF.01	TCGA.EA.A3HR.01	TCGA.BI.A20A.01	TCGA.VS.A8QM.01	TCGA.ZJ.AAX8.01	TCGA.VS.A9UP.01	TCGA.C5.A1MI.01	TCGA.ZJ.A8QO.01	TCGA.C5.A8XJ.01	TCGA.C5.A1MP.01	TCGA.DS.A7WF.01	TCGA.UC.A7PF.01	TCGA.HM.A6W2.01	TCGA.VS.A94W.01	TCGA.VS.A9UM.01	TCGA.C5.A8YT.01
TP53	6 | 4	0.745969892367256	0.988109726407918	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Nonsense_Mutation	NA	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA
USH2A	7 | 8	0.791722669713685	0.988109726407918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MUC17	5 | 5	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIK3CA	21 | 24	0.59821240850747	0.988109726407918	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation;Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation;Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA
FAT1	9 | 4	0.246779930331512	0.686344795913104	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	Missense_Mutation;Nonsense_Mutation	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	Frame_Shift_Ins;Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR98	5 | 6	0.763992298652012	0.988109726407918	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DST	4 | 6	0.531417436596358	0.979509916012167	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Ins	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOTCH1	6 | 2	0.276647353561361	0.686344795913104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation;Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	Nonsense_Mutation	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Frame_Shift_Ins	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA
HUWE1	7 | 4	0.534278136006637	0.979509916012167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Frame_Shift_Ins	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	In_Frame_Del	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Splice_Site	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Splice_Site	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RYR2	14 | 3	0.00860536488926704	0.189318027563875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation;Nonsense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
