Gene	LvsH_number	p_value	q_value	TCGA.4Z.AA81.01	TCGA.BT.A3PJ.01	TCGA.BT.A42E.01	TCGA.BT.A42F.01	TCGA.C4.A0EZ.01	TCGA.CF.A3MG.01	TCGA.CF.A47T.01	TCGA.CF.A8HX.01	TCGA.DK.A6AV.01	TCGA.DK.AA6L.01	TCGA.DK.AA6Q.01	TCGA.DK.AA74.01	TCGA.E5.A2PC.01	TCGA.FD.A43Y.01	TCGA.FD.A5C1.01	TCGA.FD.A6TD.01	TCGA.FJ.A3Z9.01	TCGA.G2.A2EJ.01	TCGA.G2.A3IB.01	TCGA.GU.A764.01	TCGA.K4.A4AC.01	TCGA.PQ.A6FI.01	TCGA.UY.A8OB.01	TCGA.UY.A8OC.01	TCGA.XF.A8HB.01	TCGA.XF.A9T6.01	TCGA.XF.AAMH.01	TCGA.YF.AA3L.01	TCGA.ZF.A9RD.01	TCGA.ZF.AA4V.01	TCGA.G2.A2EF.01	TCGA.DK.A2I6.01	TCGA.DK.A6B5.01	TCGA.DK.A3IM.01	TCGA.FD.A3SS.01	TCGA.FD.A3B6.01	TCGA.BT.A20X.01	TCGA.E7.A7DV.01	TCGA.GV.A40E.01	TCGA.HQ.A5ND.01	TCGA.YC.A9TC.01	TCGA.GC.A3RC.01	TCGA.UY.A78M.01	TCGA.K4.A5RH.01	TCGA.XF.A9SM.01	TCGA.E7.A541.01	TCGA.XF.A9SJ.01	TCGA.FD.A62N.01	TCGA.XF.A9SZ.01	TCGA.G2.A2EL.01	TCGA.G2.AA3C.01	TCGA.E5.A4TZ.01	TCGA.4Z.AA7Q.01	TCGA.C4.A0F0.01	TCGA.XF.A9SU.01	TCGA.CF.A8HY.01	TCGA.ZF.AA53.01	TCGA.FD.A5BT.01	TCGA.ZF.A9R7.01	TCGA.YF.AA3M.01	TCGA.LC.A66R.01	TCGA.XF.A9SX.01	TCGA.XF.A8HD.01	TCGA.G2.AA3B.01	TCGA.G2.A2ES.01	TCGA.FD.A5BY.01	TCGA.UY.A78L.01	TCGA.FJ.A871.01	TCGA.ZF.A9RF.01	TCGA.FD.A3SO.01	TCGA.DK.A2I2.01	TCGA.H4.A2HQ.01	TCGA.XF.AAN5.01	TCGA.XF.A9SV.01	TCGA.GV.A3QF.01	TCGA.4Z.AA80.01	TCGA.ZF.AA5H.01	TCGA.GV.A6ZA.01	TCGA.CF.A5UA.01	TCGA.4Z.AA84.01	TCGA.GC.A6I1.01	TCGA.FD.A62O.01	TCGA.C4.A0F1.01	TCGA.FD.A62P.01	TCGA.XF.A9SP.01	TCGA.PQ.A6FN.01	TCGA.UY.A78O.01	TCGA.FD.A43X.01	TCGA.HQ.A2OF.01	TCGA.FD.A3N5.01	TCGA.BT.A20V.01	TCGA.ZF.AA4W.01	TCGA.H4.A2HO.01	TCGA.ZF.AA58.01	TCGA.E7.A5KE.01	TCGA.DK.A3IK.01	TCGA.5N.A9KI.01	TCGA.4Z.AA83.01	TCGA.DK.AA6M.01	TCGA.BL.A3JM.01	TCGA.2F.A9KQ.01	TCGA.CF.A3MI.01	TCGA.XF.A8HE.01	TCGA.S5.A6DX.01	TCGA.CF.A9FF.01	TCGA.XF.AAMZ.01	TCGA.CF.A9FH.01	TCGA.XF.A9T5.01	TCGA.FD.A3N6.01	TCGA.CF.A47S.01	TCGA.DK.A2I1.01	TCGA.XF.A9T8.01	TCGA.GC.A3YS.01	TCGA.XF.A9T2.01	TCGA.XF.AAMQ.01	TCGA.4Z.AA86.01	TCGA.GD.A6C6.01	TCGA.2F.A9KP.01	TCGA.XF.AAN2.01	TCGA.XF.A9T3.01	TCGA.GU.A766.01	TCGA.UY.A9PB.01	TCGA.FD.A3B5.01	TCGA.FD.A3SN.01	TCGA.ZF.AA51.01	TCGA.GU.A762.01	TCGA.UY.A9PH.01	TCGA.ZF.AA5N.01	TCGA.FD.A6TF.01	TCGA.BT.A2LD.01	TCGA.E7.A3X6.01	TCGA.FD.A6TH.01	TCGA.BT.A20N.01	TCGA.XF.A9SK.01	TCGA.KQ.A41P.01	TCGA.2F.A9KT.01	TCGA.E5.A4U1.01	TCGA.E7.A97P.01	TCGA.4Z.AA82.01	TCGA.XF.A9SY.01	TCGA.E7.A8O7.01	TCGA.FD.A5BU.01	TCGA.CU.A3YL.01	TCGA.4Z.AA7W.01	TCGA.DK.AA6R.01	TCGA.CU.A3KJ.01	TCGA.FD.A6TK.01	TCGA.FT.A61P.01	TCGA.DK.AA6T.01	TCGA.CF.A1HS.01	TCGA.GC.A3WC.01	TCGA.BT.A3PK.01	TCGA.UY.A9PF.01	TCGA.DK.A3WX.01	TCGA.KQ.A41O.01	TCGA.BT.A3PH.01	TCGA.GC.A3I6.01	TCGA.GV.A3JV.01	TCGA.BT.A20O.01	TCGA.BL.A0C8.01	TCGA.BT.A2LA.01	TCGA.XF.A9SW.01	TCGA.CF.A3MF.01	TCGA.XF.A9T4.01	TCGA.ZF.A9R0.01	TCGA.LT.A8JT.01	TCGA.ZF.A9RM.01	TCGA.ZF.AA4N.01	TCGA.UY.A78P.01	TCGA.DK.A3WY.01	TCGA.DK.A3IN.01	TCGA.FD.A5BX.01	TCGA.XF.AAMT.01	TCGA.GV.A3QK.01	TCGA.G2.A3IE.01	TCGA.E7.A4XJ.01	TCGA.FD.A3B4.01	TCGA.DK.A3IT.01	TCGA.CU.A0YR.01	TCGA.CU.A0YN.01	TCGA.5N.A9KM.01	TCGA.E7.A97Q.01	TCGA.FD.A5BS.01	TCGA.FD.A3B3.01	TCGA.XF.AAN8.01	TCGA.FD.A5C0.01	TCGA.CF.A7I0.01	TCGA.XF.A9SL.01	TCGA.FD.A6TA.01	TCGA.2F.A9KW.01	TCGA.ZF.A9RL.01	TCGA.DK.A1A5.01	TCGA.CF.A47V.01	TCGA.UY.A9PE.01	TCGA.XF.A9SH.01	TCGA.FD.A43N.01	TCGA.GU.A42Q.01	TCGA.FD.A6TB.01	TCGA.E7.A677.01	TCGA.GC.A3RD.01	TCGA.E7.A85H.01	TCGA.4Z.AA7S.01	TCGA.BT.A20T.01	TCGA.GV.A3QG.01	TCGA.CF.A47W.01	TCGA.DK.AA6W.01	TCGA.BL.A13J.01	TCGA.XF.AAMX.01	TCGA.ZF.AA52.01	TCGA.XF.AAMY.01	TCGA.BT.A0S7.01	TCGA.XF.AAME.01	TCGA.FD.A3B7.01	TCGA.E7.A519.01	TCGA.GC.A4ZW.01	TCGA.DK.A6B2.01	TCGA.FD.A5BV.01	TCGA.XF.A9SI.01	TCGA.XF.AAN1.01	TCGA.GU.AATP.01	TCGA.YC.A8S6.01	TCGA.ZF.AA56.01	TCGA.XF.A9ST.01	TCGA.FD.A5BZ.01	TCGA.GU.AATO.01	TCGA.CF.A3MH.01	TCGA.XF.AAN4.01	TCGA.DK.A1A7.01	TCGA.FD.A3SQ.01	TCGA.FD.A43U.01	TCGA.DK.AA75.01	TCGA.XF.AAN3.01	TCGA.FD.A62S.01	TCGA.4Z.AA7Y.01	TCGA.XF.A8HC.01	TCGA.DK.A2HX.01	TCGA.K4.A4AB.01	TCGA.BT.A20P.01	TCGA.G2.A2EC.01	TCGA.ZF.AA4R.01	TCGA.S5.AA26.01	TCGA.BT.A20J.01	TCGA.DK.A3IU.01	TCGA.DK.A1AG.01	TCGA.FJ.A3ZF.01	TCGA.K4.A3WS.01	TCGA.UY.A78N.01	TCGA.GU.A767.01	TCGA.ZF.AA54.01	TCGA.FD.A3SP.01	TCGA.FD.A6TG.01	TCGA.BT.A42C.01	TCGA.BL.A13I.01	TCGA.GD.A3OS.01	TCGA.G2.AA3F.01	TCGA.XF.AAMW.01	TCGA.K4.AAQO.01	TCGA.ZF.AA5P.01	TCGA.DK.A6B0.01	TCGA.XF.A8HF.01	TCGA.UY.A9PD.01	TCGA.CF.A5U8.01	TCGA.K4.A83P.01	TCGA.CU.A5W6.01	TCGA.E7.A678.01	TCGA.XF.A8HH.01	TCGA.4Z.AA87.01	TCGA.UY.A8OD.01	TCGA.FD.A3B8.01	TCGA.XF.AAN0.01	TCGA.DK.A6B1.01	TCGA.GU.A763.01	TCGA.FJ.A3Z7.01	TCGA.CF.A47Y.01	TCGA.BL.A5ZZ.01	TCGA.BT.A20W.01	TCGA.GV.A3JW.01	TCGA.R3.A69X.01	TCGA.G2.AA3D.01	TCGA.K4.A6MB.01	TCGA.LT.A5Z6.01	TCGA.CF.A1HR.01	TCGA.ZF.A9RN.01	TCGA.E7.A4IJ.01	TCGA.DK.A3IL.01	TCGA.K4.A6FZ.01	TCGA.FD.A3SL.01	TCGA.HQ.A5NE.01	TCGA.E7.A7DU.01	TCGA.XF.AAMR.01	TCGA.SY.A9G0.01	TCGA.FD.A5BR.01	TCGA.GC.A6I3.01	TCGA.GV.A40G.01	TCGA.GD.A3OQ.01	TCGA.E7.A7PW.01	TCGA.ZF.A9R2.01	TCGA.G2.A2EK.01	TCGA.GU.AATQ.01	TCGA.DK.A3IQ.01	TCGA.FD.A3SM.01	TCGA.DK.AA71.01	TCGA.GC.A3OO.01	TCGA.FD.A6TI.01	TCGA.XF.AAMJ.01	TCGA.BT.A20R.01	TCGA.FT.A3EE.01	TCGA.DK.A1AF.01	TCGA.XF.A8HG.01	TCGA.ZF.AA4U.01	TCGA.ZF.AA4T.01	TCGA.DK.AA6S.01	TCGA.FD.A3SR.01	TCGA.CU.A72E.01	TCGA.GD.A76B.01	TCGA.BT.A0YX.01	TCGA.GU.A42P.01	TCGA.E7.A6MD.01	TCGA.KQ.A41Q.01	TCGA.GD.A2C5.01	TCGA.XF.AAML.01	TCGA.4Z.AA7M.01	TCGA.FD.A3NA.01	TCGA.HQ.A2OE.01	TCGA.FJ.A3ZE.01	TCGA.DK.AA77.01	TCGA.4Z.AA7O.01	TCGA.UY.A9PA.01	TCGA.K4.A3WU.01	TCGA.DK.AA6X.01	TCGA.DK.A3IS.01	TCGA.ZF.AA4X.01	TCGA.DK.AA76.01	TCGA.E7.A6ME.01	TCGA.DK.A3IV.01	TCGA.ZF.A9R9.01	TCGA.K4.A3WV.01	TCGA.C4.A0F7.01	TCGA.E7.A3Y1.01	TCGA.CF.A9FM.01	TCGA.FD.A43P.01	TCGA.ZF.A9R1.01	TCGA.CF.A27C.01	TCGA.CF.A9FL.01	TCGA.4Z.AA7R.01	TCGA.ZF.A9R3.01	TCGA.DK.A1AE.01	TCGA.FD.A3SJ.01	TCGA.KQ.A41S.01	TCGA.GV.A3JZ.01	TCGA.4Z.AA7N.01	TCGA.C4.A0F6.01	TCGA.4Z.AA89.01	TCGA.FD.A6TE.01	TCGA.DK.AA6U.01	TCGA.CF.A47X.01	TCGA.XF.AAN7.01	TCGA.ZF.A9RE.01	TCGA.K4.A5RJ.01	TCGA.G2.A3VY.01	TCGA.GU.A42R.01	TCGA.CU.A0YO.01	TCGA.K4.A5RI.01	TCGA.BT.A20U.01	TCGA.GD.A3OP.01	TCGA.ZF.A9R4.01	TCGA.BT.A20Q.01	TCGA.DK.A1A3.01	TCGA.GV.A3QH.01	TCGA.2F.A9KR.01	TCGA.GC.A3BM.01	TCGA.DK.A1AA.01	TCGA.GC.A3RB.01	TCGA.GV.A3JX.01	TCGA.ZF.A9R5.01	TCGA.DK.AA6P.01	TCGA.XF.A8HI.01	TCGA.DK.A1AD.01	TCGA.2F.A9KO.01	TCGA.DK.A3X2.01	TCGA.DK.A1AB.01	TCGA.E7.A5KF.01	TCGA.CU.A3QU.01	TCGA.E7.A6MF.01	TCGA.GV.A3QI.01
Exp	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2615	0.2935	0.3381	0.3423	0.3436	0.3783	0.3878	0.3919	0.4011	0.4494	0.4616	0.4686	0.4764	0.4824	0.4873	0.4921	0.5165	0.5325	0.5685	0.6112	0.6271	0.6336	0.6623	0.6636	0.6789	0.6817	0.6887	0.7018	0.7129	0.7215	0.7257	0.7286	0.7294	0.7368	0.7485	0.8324	0.8358	0.8643	0.8669	0.8842	0.9099	0.912	0.9461	0.9497	0.9534	0.9685	0.9705	0.9737	0.994	1.0418	1.0493	1.0511	1.072	1.0922	1.0928	1.1192	1.1474	1.1769	1.2255	1.226	1.2353	1.2365	1.2525	1.2648	1.2658	1.286	1.3029	1.3201	1.3489	1.3688	1.3908	1.4067	1.4495	1.5564	1.6367	1.6964	1.7278	1.7422	1.7428	1.7839	1.7998	1.8563	1.8727	1.885	1.9749	2.0087	2.0507	2.0807	2.0822	2.1209	2.1883	2.2042	2.2124	2.2212	2.2607	2.392	2.437	2.454	2.4901	2.4925	2.537	2.597	2.7086	2.7307	2.7956	2.8265	2.8739	2.886	2.947	2.978	3.0222	3.1966	3.2558	3.2771	3.3385	3.3663	3.4338	3.4517	3.4722	3.5864	3.599	3.6017	3.6364	3.6774	3.7766	3.8435	3.9255	4.0018	4.045	4.084	4.114	4.1537	4.2384	4.2403	4.37	4.4903	4.6548	4.6976	4.6979	4.7109	4.8598	5.2632	5.4645	5.6285	5.7294	5.8576	5.8882	5.9148	6.0506	6.3095	6.3107	6.3278	6.4635	6.6365	6.6477	6.8576	6.9085	6.9112	7.109	7.3306	7.5882	7.6287	7.7679	8.1301	8.2797	8.3732	8.6562	8.8899	9.0121	9.2412	9.4451	9.6097	9.6153	9.8071	9.9057	10.4044	10.4112	10.582	10.6007	10.617	10.6707	10.791	11.0497	11.0664	11.5929	11.7253	12.0482	12.2011	12.4654	13.1772	13.3623	13.6745	13.9579	14.0515	14.4535	14.4636	14.651	14.6744	14.76	15.3023	15.5251	15.8604	15.8803	16.0624	16.5849	16.6223	17.2373	18.1668	18.437	19.1972	19.4379	19.536	19.6229	19.8621	20.5438	21.1335	21.3759	21.4547	21.7611	21.8197	22.2402	22.6702	23.0583	23.212	23.4502	24.3185	24.4885	25.5698	25.5699	26.0919	26.2959	27.4841	28.4779	28.5974	29.3542	29.7483	29.9985	30.2283	30.4326	31.5103	31.7062	32.0548	32.4755	32.7022	33.9183	35.1662	35.2734	37.3085	37.7691	38.1569	38.4416	38.6988	39.3663	40.0219	40.6544	41.6534	42.1901	42.205	42.3654	42.7222	43.5931	44.3139	44.4708	44.7859	45.1297	47.6911	48.5099	49.0821	50.3145	51.2821	52.2353	54.0373	54.4385	56.3481	56.4808	56.7837	57.6586	59.2523	59.4454	60.2219	60.7386	60.9526	61.343	62.4743	65.2629	65.4408	68.0811	68.8442	70.732	71.1786	72.2362	77.342	77.6377	81.5431	82.0777	82.4149	83.1255	86.2069	88.3015	92.6217	93.4183	94.047	94.8027	95.8292	97.6082	98.1595	98.4406	102.444	102.804	110.433	111.456	111.584	112.081	112.407	114.375	118.916	125.383	127.127	131.531	132.635	137.9	140.467	140.502	144.48	156.591	159.173	162.299	164.624	168.272	186.782	186.808	190.451	192.946	193.889	195.636	198.656	217.31	218.358	219.341	230.784	248.14	251.983	270.277	283.513	284.332	299.194	299.903	308.366	327.114	327.875	341.083	354.51	364.85	407.933	452.178
Group	120 | 118	NA	NA	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
CUBN	15 | 12	0.68367376807616	1	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation;Missense_Mutation;Nonsense_Mutation;Missense_Mutation	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Splice_Site	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Del	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA
ATM	15 | 15	1	1	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frame_Shift_Ins	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Splice_Site	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	Splice_Site	NA	NA	NA	NA	Missense_Mutation	Splice_Site	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	Nonsense_Mutation;Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation;Nonsense_Mutation	In_Frame_Del	NA	NA	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	In_Frame_Del	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation;Missense_Mutation;Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	Nonsense_Mutation	NA	NA	NA
MUC5B	11 | 8	0.633754381137394	1	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA
