Gene	LvsH_number	p_value	q_value	TCGA.22.4599.01	TCGA.33.4583.01	TCGA.39.5016.01	TCGA.39.5036.01	TCGA.39.5037.01	TCGA.43.2576.01	TCGA.43.A474.01	TCGA.58.8387.01	TCGA.63.A5MY.01	TCGA.77.7465.01	TCGA.85.A4JC.01	TCGA.85.A4QQ.01	TCGA.85.A4QR.01	TCGA.MF.A522.01	TCGA.NC.A5HG.01	TCGA.NC.A5HM.01	TCGA.NC.A5HN.01	TCGA.NC.A5HR.01	TCGA.39.5011.01	TCGA.18.3410.01	TCGA.22.5481.01	TCGA.94.7033.01	TCGA.37.4132.01	TCGA.85.8354.01	TCGA.37.4135.01	TCGA.NK.A5CT.01	TCGA.18.3421.01	TCGA.66.2771.01	TCGA.33.AASI.01	TCGA.33.4589.01	TCGA.NK.A7XE.01	TCGA.37.A5EL.01	TCGA.NC.A5HK.01	TCGA.51.4080.01	TCGA.6A.AB49.01	TCGA.77.7140.01	TCGA.56.7580.01	TCGA.85.8584.01	TCGA.37.3789.01	TCGA.66.2766.01	TCGA.51.4079.01	TCGA.43.7658.01	TCGA.33.4582.01	TCGA.NC.A5HO.01	TCGA.66.2778.01	TCGA.56.A4ZK.01	TCGA.33.AASD.01	TCGA.77.8143.01	TCGA.77.8144.01	TCGA.22.5482.01	TCGA.33.AASJ.01	TCGA.63.A5MU.01	TCGA.22.A5C4.01	TCGA.77.8153.01	TCGA.79.5596.01	TCGA.22.5471.01	TCGA.66.2759.01	TCGA.85.A510.01	TCGA.18.3416.01	TCGA.58.A46M.01	TCGA.63.7021.01	TCGA.18.3415.01	TCGA.43.7656.01	TCGA.33.4538.01	TCGA.77.8150.01	TCGA.56.7579.01	TCGA.77.A5GB.01	TCGA.NK.A5CR.01	TCGA.60.2722.01	TCGA.58.A46N.01	TCGA.NC.A5HT.01	TCGA.21.1075.01	TCGA.56.8629.01	TCGA.63.A5MR.01	TCGA.NC.A5HF.01	TCGA.77.8140.01	TCGA.37.5819.01	TCGA.66.2756.01	TCGA.39.5029.01	TCGA.66.2768.01	TCGA.60.2720.01	TCGA.LA.A446.01	TCGA.34.A5IX.01	TCGA.37.4141.01	TCGA.33.4586.01	TCGA.56.7730.01	TCGA.77.7139.01	TCGA.85.8479.01	TCGA.18.5592.01	TCGA.98.A538.01	TCGA.66.2744.01	TCGA.33.AASL.01	TCGA.18.4721.01	TCGA.85.A513.01	TCGA.85.A512.01	TCGA.33.6738.01	TCGA.63.A5MH.01	TCGA.77.A5G3.01	TCGA.37.A5EN.01	TCGA.O2.A52W.01	TCGA.77.A5G8.01	TCGA.LA.A7SW.01	TCGA.58.A46K.01	TCGA.85.8277.01	TCGA.18.3414.01	TCGA.22.1012.01	TCGA.56.7221.01	TCGA.85.8580.01	TCGA.85.A4PA.01	TCGA.94.A5I4.01	TCGA.63.A5MG.01	TCGA.66.2794.01	TCGA.L3.A524.01	TCGA.63.7023.01	TCGA.94.A4VJ.01	TCGA.56.7823.01	TCGA.60.2726.01	TCGA.94.8035.01	TCGA.77.6845.01	TCGA.90.A59Q.01	TCGA.58.A46J.01	TCGA.43.A475.01	TCGA.77.A5G7.01	TCGA.70.6723.01	TCGA.33.AAS8.01	TCGA.22.4613.01	TCGA.52.7810.01	TCGA.77.8009.01	TCGA.52.7811.01	TCGA.O2.A52N.01	TCGA.98.A539.01	TCGA.77.8148.01	TCGA.66.2755.01	TCGA.22.0944.01	TCGA.46.3768.01	TCGA.43.7657.01	TCGA.51.4081.01	TCGA.NC.A5HL.01	TCGA.66.2769.01	TCGA.43.2578.01	TCGA.66.2767.01	TCGA.43.A56V.01	TCGA.77.8154.01	TCGA.85.6798.01	TCGA.85.8070.01	TCGA.O2.A5IB.01	TCGA.NC.A5HQ.01	TCGA.85.8666.01	TCGA.66.2765.01	TCGA.77.8156.01	TCGA.33.4532.01	TCGA.77.8130.01	TCGA.66.2758.01	TCGA.66.2757.01	TCGA.66.2773.01	TCGA.63.A5MW.01	TCGA.46.6025.01	TCGA.68.7757.01	TCGA.22.5483.01	TCGA.66.2792.01	TCGA.63.5131.01	TCGA.66.2754.01	TCGA.22.4607.01	TCGA.33.4587.01	TCGA.52.7809.01	TCGA.90.7766.01	TCGA.77.A5G1.01	TCGA.22.5479.01	TCGA.21.5787.01	TCGA.21.5786.01	TCGA.21.1082.01	TCGA.58.8391.01	TCGA.37.3783.01	TCGA.22.5473.01	TCGA.85.A5B5.01	TCGA.92.7341.01	TCGA.68.7756.01	TCGA.63.A5MJ.01	TCGA.63.A5MT.01	TCGA.52.7812.01	TCGA.NK.A5CX.01	TCGA.66.2795.01	TCGA.85.6560.01	TCGA.56.7223.01	TCGA.22.4601.01	TCGA.43.5670.01	TCGA.66.2780.01	TCGA.34.5929.01	TCGA.NC.A5HP.01	TCGA.33.4547.01	TCGA.66.2782.01	TCGA.85.8481.01	TCGA.85.8052.01	TCGA.85.A53L.01	TCGA.43.6771.01	TCGA.39.5021.01	TCGA.22.5492.01	TCGA.56.7222.01	TCGA.22.5491.01	TCGA.94.A5I6.01	TCGA.21.1071.01	TCGA.92.8064.01	TCGA.O2.A52V.01	TCGA.18.3412.01	TCGA.33.A4WN.01	TCGA.66.2742.01	TCGA.98.A53J.01	TCGA.66.2727.01	TCGA.18.3407.01	TCGA.34.5231.01	TCGA.56.8201.01	TCGA.85.7950.01	TCGA.77.8133.01	TCGA.56.A4BY.01	TCGA.L3.A4E7.01	TCGA.63.A5ML.01	TCGA.98.A53B.01	TCGA.85.A50M.01	TCGA.66.2777.01	TCGA.85.7698.01	TCGA.63.7020.01	TCGA.85.A4CN.01	TCGA.18.3411.01	TCGA.63.A5MB.01	TCGA.39.5040.01	TCGA.56.5898.01	TCGA.22.5472.01	TCGA.85.8351.01	TCGA.60.2713.01	TCGA.98.8022.01	TCGA.77.8128.01	TCGA.92.8063.01	TCGA.85.7710.01	TCGA.98.8020.01	TCGA.56.6546.01	TCGA.85.8072.01	TCGA.98.A53A.01	TCGA.85.7697.01	TCGA.56.8308.01	TCGA.56.A49D.01	TCGA.21.1076.01	TCGA.46.3765.01	TCGA.56.A4BW.01	TCGA.43.A56U.01	TCGA.37.4129.01	TCGA.58.A46L.01	TCGA.63.5128.01	TCGA.90.A4EE.01	TCGA.52.7622.01	TCGA.56.8304.01	TCGA.21.1081.01	TCGA.34.5236.01	TCGA.77.8138.01	TCGA.43.3394.01	TCGA.J1.A4AH.01	TCGA.22.0940.01	TCGA.66.2783.01	TCGA.46.6026.01	TCGA.18.3408.01	TCGA.85.A4JB.01	TCGA.21.5784.01	TCGA.60.2723.01	TCGA.66.2734.01	TCGA.56.A5DS.01	TCGA.77.8007.01	TCGA.70.6722.01	TCGA.39.5039.01	TCGA.39.5019.01	TCGA.60.2725.01	TCGA.77.8136.01	TCGA.XC.AA0X.01	TCGA.66.2791.01	TCGA.63.A5M9.01	TCGA.39.5024.01	TCGA.77.7335.01	TCGA.22.5485.01	TCGA.60.2695.01	TCGA.56.7582.01	TCGA.NC.A5HJ.01	TCGA.66.2788.01	TCGA.39.5028.01	TCGA.77.7338.01	TCGA.22.1011.01	TCGA.60.2703.01	TCGA.39.5031.01	TCGA.56.7822.01	TCGA.56.8622.01	TCGA.77.7141.01	TCGA.77.8131.01	TCGA.66.2770.01	TCGA.60.2724.01	TCGA.34.5241.01	TCGA.34.8456.01	TCGA.85.8355.01	TCGA.58.8386.01	TCGA.85.A511.01	TCGA.56.8305.01	TCGA.98.8023.01	TCGA.63.A5MN.01	TCGA.60.2716.01	TCGA.34.5240.01	TCGA.96.8169.01	TCGA.98.A53I.01	TCGA.85.7696.01	TCGA.34.5234.01	TCGA.22.1002.01	TCGA.85.7699.01	TCGA.85.8276.01	TCGA.60.2708.01	TCGA.66.2787.01	TCGA.85.8287.01	TCGA.58.8393.01	TCGA.21.5782.01	TCGA.34.8454.01	TCGA.18.3417.01	TCGA.34.8455.01	TCGA.68.7755.01	TCGA.43.6773.01	TCGA.63.6202.01	TCGA.63.A5MV.01	TCGA.22.1005.01	TCGA.43.8116.01	TCGA.22.4596.01	TCGA.22.4604.01	TCGA.NC.A5HD.01	TCGA.22.1016.01	TCGA.77.7337.01	TCGA.22.4595.01	TCGA.34.2608.01	TCGA.77.A5GH.01	TCGA.60.2697.01	TCGA.56.8626.01	TCGA.66.2800.01	TCGA.18.3406.01	TCGA.56.A4ZJ.01	TCGA.60.2710.01	TCGA.85.8350.01	TCGA.22.4605.01	TCGA.66.2789.01	TCGA.85.7843.01	TCGA.56.8309.01	TCGA.60.2721.01	TCGA.34.7107.01	TCGA.94.7557.01	TCGA.85.8582.01	TCGA.43.6143.01	TCGA.63.A5MS.01	TCGA.77.A5G6.01	TCGA.NC.A5HE.01	TCGA.66.2763.01	TCGA.56.7731.01	TCGA.96.7545.01	TCGA.33.4533.01	TCGA.85.7844.01	TCGA.60.2709.01	TCGA.92.8065.01	TCGA.85.8288.01	TCGA.46.3767.01	TCGA.85.8048.01	TCGA.22.4609.01	TCGA.56.8624.01	TCGA.22.4594.01	TCGA.85.8353.01	TCGA.34.2600.01	TCGA.22.4593.01	TCGA.68.A59J.01	TCGA.60.2707.01	TCGA.60.2719.01	TCGA.77.6842.01	TCGA.39.5022.01	TCGA.98.A53C.01	TCGA.77.7142.01	TCGA.22.1000.01	TCGA.22.5478.01	TCGA.77.7463.01	TCGA.56.A62T.01	TCGA.66.2781.01	TCGA.22.5474.01	TCGA.43.6770.01	TCGA.85.8049.01	TCGA.77.8145.01	TCGA.77.A5GF.01	TCGA.60.2704.01	TCGA.77.A5FZ.01	TCGA.34.5927.01	TCGA.58.8388.01	TCGA.NC.A5HH.01	TCGA.39.5034.01	TCGA.77.8139.01	TCGA.22.5489.01	TCGA.39.5035.01	TCGA.63.7022.01	TCGA.85.8352.01	TCGA.22.5480.01	TCGA.98.7454.01	TCGA.43.6647.01	TCGA.O2.A52S.01	TCGA.63.A5MP.01	TCGA.56.6545.01	TCGA.56.8083.01	TCGA.77.8008.01	TCGA.33.A5GW.01	TCGA.37.4133.01	TCGA.90.7767.01	TCGA.98.A53H.01	TCGA.21.5783.01	TCGA.22.4591.01	TCGA.94.8491.01	TCGA.NC.A5HI.01	TCGA.43.8115.01	TCGA.56.8503.01	TCGA.56.8307.01	TCGA.56.5897.01	TCGA.33.AASB.01	TCGA.94.7943.01	TCGA.34.5928.01	TCGA.66.2793.01	TCGA.34.2596.01	TCGA.66.2786.01	TCGA.34.5232.01	TCGA.56.8504.01	TCGA.68.8250.01	TCGA.85.6175.01	TCGA.60.2711.01	TCGA.18.4083.01	TCGA.96.A4JL.01	TCGA.85.8664.01	TCGA.85.A50Z.01	TCGA.63.A5MI.01	TCGA.96.8170.01	TCGA.77.6844.01	TCGA.39.5030.01	TCGA.34.5239.01	TCGA.96.7544.01	TCGA.56.8082.01	TCGA.56.1622.01	TCGA.85.8071.01	TCGA.77.6843.01	TCGA.68.8251.01	TCGA.22.5477.01	TCGA.60.2706.01
Exp	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3806	0.3939	0.4231	0.4257	0.4458	0.5179	0.5227	0.528	0.5669	0.5828	0.589	0.602	0.6321	0.6669	0.6887	0.7056	0.7433	0.7492	0.7628	0.7758	0.785	0.7924	0.803	0.8066	0.8152	0.8271	0.8403	0.8496	0.8969	0.9175	0.9251	0.9366	0.9732	0.9823	1.0254	1.0309	1.0318	1.0795	1.105	1.1056	1.1158	1.1287	1.1521	1.1561	1.1623	1.201	1.2642	1.3181	1.3193	1.3333	1.39	1.3937	1.4144	1.4235	1.48	1.4875	1.4948	1.5007	1.5123	1.5528	1.556	1.5888	1.6565	1.6731	1.6892	1.7067	1.751	1.7723	1.78	1.806	1.8263	1.8391	1.8408	1.859	1.8797	1.9355	1.9863	1.9948	2.1108	2.1331	2.1429	2.1494	2.1631	2.1805	2.1962	2.2046	2.2152	2.2259	2.2504	2.2561	2.2602	2.2912	2.3032	2.3137	2.3552	2.3688	2.3753	2.3938	2.4251	2.4295	2.4399	2.4464	2.4691	2.487	2.5094	2.5484	2.649	2.6549	2.6618	2.7119	2.7222	2.7322	2.7755	2.8329	2.846	2.861	2.9326	2.9772	2.9819	3.0216	3.0269	3.028	3.028	3.0932	3.108	3.1121	3.1252	3.1949	3.2055	3.2073	3.2157	3.251	3.2538	3.2595	3.2692	3.3523	3.3543	3.4248	3.536	3.5533	3.5572	3.6178	3.625	3.6347	3.7272	3.7443	3.7987	3.8244	3.934	3.9951	4.0205	4.0397	4.0589	4.0747	4.1089	4.1524	4.3178	4.3207	4.3341	4.3887	4.3898	4.3965	4.4015	4.4032	4.4886	4.5239	4.5697	4.6612	4.7393	4.8157	4.8662	4.8766	4.9803	4.9906	5.0215	5.0781	5.163	5.168	5.2203	5.2429	5.2674	5.2691	5.3197	5.4256	5.4628	5.4773	5.6	5.6477	5.707	5.7083	5.7088	5.7849	5.8209	5.8831	5.9783	5.9976	6.1408	6.2305	6.2528	6.3151	6.3191	6.3242	6.3897	6.4072	6.4367	6.4809	6.5177	6.5598	6.6041	6.6401	6.6556	6.7343	6.8035	6.8408	6.845	6.9182	7.0776	7.1164	7.3746	7.4419	7.4627	7.5151	7.5188	7.5188	7.5319	7.5436	7.5512	7.5597	7.6723	7.6888	7.7855	7.7916	7.8068	7.9695	7.9757	8.0222	8.0501	8.2274	8.2816	8.2863	8.3049	8.3179	8.4043	8.4138	8.4244	8.5043	8.5379	8.5734	8.7248	8.7249	8.8461	8.8496	8.8738	8.932	9.0944	9.1039	9.122	9.1337	9.2151	9.2987	9.3313	9.4535	9.5913	9.7192	9.9174	9.9929	10.0038	10.0283	10.0935	10.1302	10.3878	10.4801	10.6738	10.8992	10.9349	10.9658	11.0622	11.3601	11.399	11.4959	11.874	11.9364	11.9869	12.2184	12.3575	12.5187	12.6789	12.6823	12.6932	12.952	12.975	13.3162	13.3885	13.4666	13.4831	13.6251	13.809	13.9022	14.1986	14.2427	14.287	14.5349	14.6252	14.637	14.6481	14.7239	14.8233	14.9314	15.3387	15.4311	15.8345	16.1152	16.2235	16.2284	16.2637	16.5354	16.54	16.8468	17.2422	17.5317	17.557	17.5907	17.9795	18.39	18.5007	18.8398	19.0539	19.109	19.1464	19.2108	19.4833	20.2219	20.5426	21.0146	21.329	21.5054	21.8017	22.5733	22.9492	23.3059	23.3087	23.3978	23.4192	24.049	24.2718	24.5198	25.5659	27.5292	28.1742	28.2053	28.7307	29.0001	29.1448	29.8921	30.1051	30.2711	30.3395	30.7809	31.272	31.4379	32.6956	32.7613	32.9114	33.2384	33.4712	34.6269	34.9129	35.0922	35.3682	35.3717	36.6232	36.9118	37.0572	37.1787	37.9581	38.6737	38.8657	39.3148	39.3212	39.4366	40.1885	40.2269	41.0528	41.2671	41.5619	41.6317	42.5093	47.3204	47.5169	47.6245	47.9421	48.0302	48.3871	48.6806	52.5172	57.4355	57.8	57.928	59.0956	60.6226	63.7557	65.0664	69.1237	70.7381	76.1236	76.6522	78.6375	80.234	83.344	98.8093	103.825	109.447	112.427	117.847	148.384	151.973	173.212	182.668	191.229	194.407	211.274	235.508	338.012
Group	135 | 132	NA	NA	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
NRAP	14 | 6	0.102097986116752	0.863031423087234	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Nonsense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Splice_Site	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Splice_Site	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MKI67	7 | 15	0.0771097885186475	0.804890341620606	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation;Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	In_Frame_Del	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA
MYO3A	8 | 8	1	1	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	Frame_Shift_Ins	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation;Missense_Mutation;Missense_Mutation;Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nonsense_Mutation	NA	NA	NA	NA	NA	Missense_Mutation	NA	NA	NA	NA	Missense_Mutation	NA	NA
