IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	56/772	203/6275	1.80151332641026e-09	5.29644917964616e-07	5.00631071760324e-07	2492/2847/10886/2147/5032/5021/3952/2690/5340/1815/623/2550/2642/2916/57105/2902/153/7434/134864/55879/155/1394/5023/8973/1131/5646/5731/116444/706/2560/6751/57053/3274/2891/2906/2562/5028/2862/4157/2890/2897/148/146/2914/4543/2568/10888/1813/339403/9340/56923/9127/2696/3001/553/1139	56
hsa04060	Cytokine-cytokine receptor interaction	58/772	237/6275	1.06565812053923e-07	1.56651743719266e-05	1.4807039148545e-05	2056/6372/653/6354/268/3952/2690/2057/6357/2919/3589/3458/151449/2829/8200/10913/6364/53833/6356/27190/6352/8718/608/1440/146433/6361/6846/3623/3570/6370/2920/338376/8740/3598/1271/939/8771/6363/4050/10563/246778/3575/1524/6375/3572/55504/23495/3595/2921/3569/655/51330/3976/2660/8784/83729/10344/2833	58
hsa04260	Cardiac muscle contraction	19/772	61/6275	7.83372555246967e-05	0.00767705104142028	0.00725650366965611	7139/125965/478/486/27092/480/7134/27091/29796/784/1329/1345/84701/781/27089/7169/1346/1340/782	19
hsa05033	Nicotine addiction	12/772	31/6275	0.000167094485999403	0.0122814447209561	0.0116086695536427	2902/55879/8973/116444/2560/2891/2906/2562/2890/774/2568/1139	12
hsa04970	Salivary secretion	20/772	74/6275	0.000437437955548083	0.0209898138270205	0.0198399958837572	810/5593/492/4842/3783/478/486/480/153/155/1470/1131/55503/4025/5555/148/727897/146/276/362	20
hsa04657	IL-17 signaling pathway	21/772	80/6275	0.000487725773263896	0.0209898138270205	0.0198399958837572	6372/6354/2919/3458/6364/6356/27190/1440/3727/6361/2920/8061/6279/727897/3934/2921/225689/3569/4318/1051/4314	21
hsa00190	Oxidative phosphorylation	27/772	114/6275	0.000499757472071915	0.0209898138270205	0.0198399958837572	50617/4707/125965/4713/29796/1329/1345/51079/374291/4714/10063/84701/4725/27089/514/4728/4701/10312/245973/1346/521/1340/9551/525/4696/513/4695	27
hsa00590	Arachidonic acid metabolism	15/772	52/6275	0.00107732090790393	0.0395915433654695	0.0374227262745576	26279/283748/9536/2876/1559/1571/255189/5322/5320/2877/5740/8398/284541/5730/874	15
