gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
NOV	261913	519	-14	146480	27920	0	0	0	0	50	1	2863760	1	1
NOVA1	15854	883	-41	200320	50720	0	0	0	0	50	0	1882400	1	1
NOVA2	866240	261	42	186240	52640	0	0	0	0	50	0	3155520	1	1
NOX1	352830	NaN	29	236320	42560	0	0	0	0	50	1	2593920	1	1
NOX3	108543	628	13	236400	45200	0	0	0	0	50	1	2374400	1	1
NOX4	30048	1071	-25	245760	43040	0	0	0	0	50	3	3457520	1	1
NOX5	370981	394	26	322400	65760	0	0	0	0	50	1	2581840	1	1
NOXA1	1591716	213	30	193360	47920	0	0	0	0	50	2	2382320	1	1
NOXO1	1747301	183	46	146000	40080	0	0	0	0	50	3	2248640	1	1
NPAS3	24372	929	-23	382560	81920	0	0	0	0	50	1	2444880	1	1
NPAS4	1963418	182	55	318720	71200	0	0	0	0	50	0	2478000	1	1
NPAT	411907	695	26	583600	113040	0	0	0	0	34	1	2004320	1	1
NPB	3798594	211	19	46720	14720	0	0	0	0	50	0	2183680	1	1
NPBWR1	99395	697	-19	123120	34640	0	0	0	0	50	1	2834800	1	1
NPBWR2	1032302	312	51	126240	33920	0	0	0	0	50	2	2444720	1	1
NPC1	347696	164	64	527200	102080	0	0	0	0	50	1	2466080	1	1
NPC1L1	1577451	363	49	540720	124560	0	0	0	0	50	2	2816560	1	1
NPC2	749329	384	31	64160	11360	0	0	0	0	50	2	2497200	1	1
NPDC1	1951939	202	40	127040	34560	0	0	0	0	50	1	2521600	1	1
NPEPPS	1229549	176	18	382720	72960	0	0	0	0	5	0	214560	1	1
NPFF	1469374	191	55	46720	9600	0	0	0	0	50	2	2179680	1	1
NPFFR1	552278	225	44	166480	42480	0	0	0	0	50	1	2207520	1	1
NPFFR2	17885	811	3	214560	39360	0	0	0	0	50	3	2416000	1	1
NPHP1	NaN	NaN	NaN	310000	54800	0	0	0	0	50	4	4550560	1	1
NPHP4	508577	370	13	572880	130640	0	0	0	0	50	2	2745360	1	1
NPHS1	1060028	321	47	494400	119680	0	0	0	0	4	0	297120	1	1
NPHS2	585744	613	-14	153440	35680	0	0	0	0	50	0	1946800	1	1
NPIP	506128	214	23	144400	28880	0	0	0	0	50	0	1944800	1	1
NPIPL3	499242	417	49	431840	117920	0	0	0	0	23	1	1613040	1	1
NPL	651460	626	22	136560	24560	0	0	0	0	50	2	1963520	1	1
NPLOC4	3705166	205	21	255440	47120	0	0	0	0	50	0	2160880	1	1
NPM1	300840	347	30	130560	19200	0	0	0	0	50	3	2227680	1	1
