gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
GNA11	1000335	173	25	149440	27200	0	36	0	0	50	2	2360880	9.992007e-16	9.423462e-12
GNAQ	328481	671	-24	151600	25360	0	41	0	0	50	1	2231840	9.992007e-16	9.423462e-12
SF3B1	736523	276	30	540080	105520	0	18	0	0	50	0	2579360	1.777389e-11	1.117504e-07
EIF1AX	262207	NaN	37	65200	8240	0	10	0	0	50	2	2160080	9.617862e-11	4.535303e-07
BAP1	1078407	229	62	298480	62160	0	13	0	0	50	0	2401040	2.514837e-08	9.486973e-05
CYSLTR2	404943	430	46	138960	27920	0	3	0	0	50	3	2645840	6.638859e-04	1
EIF1B	195546	675	10	48800	7840	0	2	0	0	50	1	2320800	2.111921e-03	1
TMEM39A	270591	599	29	200000	39840	0	2	0	0	50	1	2356720	8.694676e-03	1
MC2R	133238	815	-2	118240	24800	0	2	0	0	50	0	1903120	1.366178e-02	1
TBX6	2171952	164	62	170720	44160	0	2	0	0	50	0	2769920	1.601069e-02	1
LSM1	705837	277	46	56080	10160	0	1	0	0	50	1	2676640	2.817293e-02	1
SELE	269222	597	12	257360	44240	0	2	0	0	50	2	1997680	2.934015e-02	1
SNTN	155962	905	-12	62240	11040	0	1	0	0	50	1	2735040	3.000158e-02	1
HDAC5	923807	171	32	457200	98320	0	3	0	0	50	0	2644000	3.309571e-02	1
CD160	NaN	NaN	NaN	76080	13840	0	1	0	0	50	4	4509600	3.456616e-02	1
RAB38	149319	616	-15	87520	15840	0	1	0	0	50	0	2685520	3.729683e-02	1
GNB1	1492510	229	26	141360	28720	0	2	0	0	50	3	2182960	4.262211e-02	1
E2F7	106320	887	-11	366800	78320	0	2	0	0	50	1	3666640	4.401586e-02	1
KRTAP9-3	996799	468	-7	66400	10720	0	1	0	0	50	1	1925680	4.630121e-02	1
OR51L1	97256	1024	-11	123040	28320	0	1	0	0	50	0	2794720	4.994858e-02	1
WDR16	79661	336	-24	257120	49600	0	2	0	0	50	0	1905360	5.812112e-02	1
LHFPL4	858637	425	36	97680	22640	0	1	0	0	50	1	2528800	6.063137e-02	1
CA7	868790	142	24	109440	21600	0	1	0	0	50	0	2232480	6.078306e-02	1
OR5L2	4183	1091	-36	122640	27120	0	1	0	0	50	0	2330480	6.085529e-02	1
GSTA4	477320	400	17	95280	15600	0	1	0	0	50	1	2195440	6.097182e-02	1
GAP43	43284	622	-2	115200	23200	0	1	0	0	50	0	2188960	6.223578e-02	1
SSX5	590474	NaN	11	99760	15760	0	1	0	0	50	1	2300080	6.411015e-02	1
CCDC89	325720	554	-19	155760	24240	0	1	0	0	50	0	2778800	6.716248e-02	1
OSM	548674	211	43	100160	22880	0	1	0	0	50	1	2274640	6.797723e-02	1
GPR87	NaN	NaN	NaN	147200	26720	0	1	0	0	50	4	4522480	7.091661e-02	1
FCGR2A	741254	448	41	132240	24560	0	1	0	0	50	1	2595760	7.383609e-02	1
OR2B3	155147	738	1	125680	25680	0	1	0	0	50	2	2761280	7.450886e-02	1
RPL36AL	563227	409	-4	45040	7280	0	1	0	0	50	0	2280400	7.568561e-02	1
OGN	537639	574	47	125520	21840	0	1	0	0	50	0	1977520	7.582770e-02	1
ELMO2	543201	612	48	306880	52640	0	2	0	0	50	1	2288560	8.008277e-02	1
COX16	500896	549	32	45440	7840	0	1	0	0	50	0	2288720	8.259838e-02	1
HOXB8	946208	524	29	98960	18800	0	1	0	0	50	1	2051040	8.277215e-02	1
VASH2	315884	412	12	146320	28400	0	1	0	0	50	1	2777760	8.320211e-02	1
RASL12	688371	189	44	107760	22960	0	1	0	0	50	3	2704000	8.626005e-02	1
UPK1A	1162794	390	27	104800	23360	0	1	0	0	50	2	2363360	8.649633e-02	1
HSD17B7	336864	396	12	143040	26560	0	1	0	0	50	2	2797600	8.708928e-02	1
ACD	1065785	147	41	214720	56640	0	1	0	0	50	0	3241520	9.038378e-02	1
LCE3D	285984	752	17	37360	7920	0	1	0	0	50	3	2535200	9.101022e-02	1
HOXB5	946208	524	29	107280	23280	0	1	0	0	50	1	2051040	9.169492e-02	1
ANXA2	431518	299	14	154960	25520	0	1	0	0	50	0	2094720	9.218829e-02	1
GLIS3	170537	983	-1	369280	84000	0	2	0	0	50	1	2712480	9.328439e-02	1
GIP	793101	174	29	65040	12080	0	1	0	0	50	0	2645520	9.547069e-02	1
KCNE3	633655	283	23	41520	9040	0	1	0	0	50	2	2590400	9.625572e-02	1
OR2L2	20939	1015	-27	124320	26560	0	1	0	0	50	4	2497520	9.923376e-02	1
PLA2G7	141205	551	-1	187360	31840	0	1	0	0	50	0	2284240	9.983546e-02	1
NOP10	542657	234	22	26880	5280	0	1	0	0	50	3	2145680	1.002508e-01	1
KCNV1	102383	890	-18	199360	42400	0	1	0	0	50	0	2621920	1.011612e-01	1
ZDHHC23	441946	487	29	166320	33680	0	1	0	0	50	1	2517600	1.019493e-01	1
NFIC	2180542	222	37	206080	46080	0	1	0	0	50	0	2860240	1.047261e-01	1
DR1	699815	223	13	73920	12320	0	1	0	0	50	0	2610800	1.049137e-01	1
NDN	59699	961	-58	126480	28400	0	1	0	0	50	0	1719600	1.058423e-01	1
PPP2R1A	478211	896	-38	239200	52960	0	2	0	0	50	2	1883360	1.079716e-01	1
TRIM68	212267	935	-3	200560	36560	0	1	0	0	50	0	2383120	1.083517e-01	1
TWF2	1114737	181	52	144400	28720	0	1	0	0	50	2	2622960	1.093297e-01	1
VPREB3	610486	266	30	49520	10960	0	1	0	0	50	1	2308720	1.116905e-01	1
LILRA3	730281	458	-8	174640	41040	0	1	0	0	50	0	2060480	1.133737e-01	1
PSG4	310387	125	-33	169840	35280	0	1	0	0	50	1	2327280	1.137553e-01	1
DSTN	568191	347	-5	70640	10960	0	1	0	0	50	0	2222000	1.149646e-01	1
C12orf50	152672	507	-36	180000	26240	0	1	0	0	50	1	2313760	1.173349e-01	1
SLC39A5	2878071	171	46	207440	58960	0	1	0	0	50	1	2825120	1.202710e-01	1
INPP5A	155331	452	12	179600	28880	0	1	0	0	50	1	2509360	1.211908e-01	1
PAX7	520847	598	28	223600	50160	0	1	0	0	50	0	2640640	1.214866e-01	1
TXN2	1199592	195	21	66960	14800	0	1	0	0	50	1	2470720	1.226216e-01	1
ZNF599	932476	607	-52	245360	39280	0	1	0	0	50	2	3510560	1.247682e-01	1
MAOB	66825	NaN	22	215680	43360	0	2	0	0	50	0	2216880	1.255216e-01	1
IL1R1	232947	522	20	239840	40160	0	1	0	0	50	0	2399360	1.257455e-01	1
TMEM35	422603	NaN	29	65040	16240	0	1	0	0	50	0	2107120	1.258521e-01	1
DFNA5	254601	464	21	203520	40800	0	1	0	0	50	1	2530080	1.264066e-01	1
FASTK	622098	373	41	213920	56160	0	1	0	0	50	1	2921200	1.270097e-01	1
IL25	1220624	456	31	73040	14800	0	1	0	0	50	1	2864080	1.276437e-01	1
YPEL1	447011	252	56	51600	7920	0	1	0	0	50	1	2025680	1.279541e-01	1
CNPY2	2869106	184	52	76800	14240	0	1	0	0	50	1	2921040	1.279579e-01	1
RNF43	782135	399	22	308160	73280	0	2	0	0	50	0	3257440	1.287922e-01	1
OR2B2	228884	634	40	143040	29440	0	1	0	0	50	1	1653680	1.289850e-01	1
RNF25	1033606	269	43	186560	40960	0	1	0	0	50	2	2782560	1.290022e-01	1
RPL11	960799	225	28	76480	13280	0	1	0	0	50	0	2378320	1.296237e-01	1
LIPI	95960	991	-18	206080	31360	0	1	0	0	50	1	2334160	1.298855e-01	1
KRTAP4-9	NaN	NaN	NaN	86960	14320	0	1	0	0	50	4	4510080	1.303219e-01	1
DNAJC1	197451	608	2	230960	42480	0	1	0	0	50	0	2377680	1.307416e-01	1
COQ2	344601	218	40	165200	41200	0	1	0	0	50	1	2157200	1.316423e-01	1
H2AFZ	202808	682	36	52320	12160	0	1	0	0	50	2	2328480	1.319860e-01	1
BCAS1	163555	415	2	238320	49520	0	1	0	0	50	0	2353840	1.335273e-01	1
OSBPL2	990360	252	9	205360	33200	0	1	0	0	50	0	2051040	1.339739e-01	1
GOLGA8B	NaN	NaN	NaN	254640	44880	0	1	0	0	50	4	4540640	1.349572e-01	1
PAG1	185952	441	18	178160	33520	0	3	0	0	50	1	2087920	1.351438e-01	1
RAB2B	707390	470	30	92240	17040	0	1	0	0	50	0	2668080	1.364205e-01	1
MED9	915530	220	-3	60000	11520	0	1	0	0	50	0	1958560	1.368982e-01	1
TYRP1	77286	530	-31	220080	42640	0	2	0	0	50	0	2090640	1.377772e-01	1
TRAM1	240060	535	28	157680	28720	0	1	0	0	50	2	2036320	1.407947e-01	1
AGAP7	NaN	NaN	NaN	269280	53280	0	1	0	0	50	4	4549040	1.431593e-01	1
ZNF180	743733	511	-55	292160	43040	0	1	0	0	50	2	3527280	1.442409e-01	1
PIP4K2A	196977	577	25	173040	28080	0	1	0	0	50	2	2274960	1.453308e-01	1
SNRNP25	1005761	238	36	55680	10720	0	1	0	0	50	1	1939440	1.463454e-01	1
LRRTM3	2412	967	-44	234800	45840	0	1	0	0	50	0	2138320	1.470768e-01	1
CBX5	753625	205	59	83360	11360	0	1	0	0	50	1	2304240	1.471187e-01	1
ZNF747	2214934	142	54	71280	21520	0	1	0	0	50	0	2566240	1.476404e-01	1
ALDH2	691258	242	44	211040	45280	0	1	0	0	50	1	2469040	1.484855e-01	1
NACA2	323585	358	-8	86080	18240	0	1	0	0	50	0	2185440	1.499331e-01	1
TPCN1	429315	206	36	372160	72480	0	2	0	0	50	2	2358800	1.499534e-01	1
IVL	59999	804	12	247840	34080	0	1	0	0	50	1	2380400	1.501480e-01	1
AP1G2	1250373	553	35	317200	73520	0	1	0	0	50	0	2928720	1.516864e-01	1
ZNF140	558706	834	17	192960	29440	0	1	0	0	50	1	1945520	1.522669e-01	1
GMEB2	1094905	193	54	209760	50880	0	2	0	0	50	2	2841520	1.530191e-01	1
PPP2R2A	194762	353	13	198000	29360	0	1	0	0	50	2	2319040	1.536318e-01	1
GAPT	125347	446	5	64320	11520	0	1	0	0	50	1	1852880	1.543794e-01	1
NCF2	618153	407	31	224320	38240	0	1	0	0	50	0	1917840	1.546058e-01	1
TNIP1	892080	382	27	266480	50160	0	1	0	0	50	0	2401680	1.556439e-01	1
RPS6KA6	19108	NaN	-22	317120	54720	0	1	0	0	50	1	3175600	1.563561e-01	1
ZMAT5	848649	195	37	72240	13040	0	1	0	0	50	1	2217760	1.566894e-01	1
PRSS16	161388	645	24	203200	51360	0	1	0	0	50	1	2323840	1.568485e-01	1
CYP1A1	746043	199	41	207520	42560	0	1	0	0	50	2	2538480	1.572503e-01	1
SNX4	319722	132	35	194400	30720	0	1	0	0	50	1	1986480	1.573700e-01	1
IL24	467839	385	39	90480	12880	0	1	0	0	50	1	2524080	1.574786e-01	1
NUFIP2	1348501	128	32	283600	52720	0	1	1	0	50	1	2766960	1.577435e-01	1
OR1F1	1493009	253	42	122640	27440	0	1	0	0	50	1	3168000	1.579485e-01	1
DAK	1394229	286	57	226400	60320	0	2	0	0	50	0	2088720	1.585087e-01	1
CAP2	249798	454	-8	199360	37600	0	1	0	0	50	2	2330240	1.590849e-01	1
BIRC5	683401	191	24	85840	12880	0	1	0	0	50	1	2707200	1.592228e-01	1
HHAT	87459	754	1	214320	45200	0	1	0	0	50	2	2656560	1.592288e-01	1
C4orf32	167195	334	20	52400	12080	0	1	0	0	50	2	2322560	1.597379e-01	1
PPM1J	559669	325	27	198800	50160	0	1	0	0	50	2	2628800	1.608881e-01	1
APEX2	245504	NaN	8	208400	44240	0	1	0	0	50	2	2552880	1.614948e-01	1
CLEC3B	479578	326	41	82800	16240	0	1	0	0	50	0	2244720	1.636090e-01	1
TNFSF14	745830	259	29	94400	23840	0	1	0	0	50	0	2602480	1.638537e-01	1
RPL10A	683460	280	36	92800	15680	0	1	0	0	50	1	2716960	1.664530e-01	1
SLC2A10	292810	636	33	204960	58080	0	1	0	0	50	0	1729600	1.667500e-01	1
STAM	488136	364	7	227200	40800	0	1	0	0	50	3	2807200	1.670712e-01	1
SEMA4A	2294665	211	39	306720	68000	0	1	0	0	50	0	2535920	1.682657e-01	1
GSG2	NaN	NaN	NaN	314720	69120	0	1	0	0	50	4	4564880	1.687922e-01	1
SERPIND1	435437	288	41	205040	37520	0	1	0	0	50	2	2349120	1.692882e-01	1
MCEE	355097	470	40	71040	15840	0	1	0	0	50	3	2218240	1.693573e-01	1
C1orf116	451418	155	25	234560	56320	0	1	0	0	50	2	2668640	1.700665e-01	1
RAC3	3814891	211	28	78640	17200	0	1	0	0	50	0	2106880	1.709799e-01	1
ARHGDIA	3798594	211	19	86400	15200	0	1	0	0	50	0	2183680	1.725556e-01	1
NCR3	2517285	220	35	93600	24640	0	1	0	0	50	1	2619840	1.729694e-01	1
ZNF560	557413	642	-52	333120	51680	0	1	0	0	50	2	3458080	1.730173e-01	1
DHRS3	340106	294	27	120080	28560	0	1	0	0	50	0	3046480	1.730809e-01	1
TPPP2	971417	320	12	71360	12960	0	1	0	0	50	2	2073680	1.742874e-01	1
RAC2	845055	230	67	79760	16720	0	1	0	0	50	0	1927360	1.770994e-01	1
F12	1038665	261	59	250560	53760	0	1	0	0	50	1	2714000	1.773890e-01	1
CA2	100997	1460	-18	109600	19520	0	1	0	0	50	0	2254000	1.777739e-01	1
SLC22A5	543074	264	63	222800	50800	0	1	0	0	50	0	1823200	1.795570e-01	1
ZBTB8A	1429703	230	21	182640	31280	0	1	0	0	50	4	2436320	1.804625e-01	1
CASP14	990597	524	16	101120	19040	0	1	0	0	50	0	2275280	1.804640e-01	1
WISP1	235882	481	12	148880	30960	0	2	0	0	50	3	2048080	1.806564e-01	1
HHEX	359162	317	17	109360	22960	0	1	0	0	50	0	2755360	1.810425e-01	1
EDN1	198728	410	27	90320	14480	0	1	0	0	50	1	2256240	1.820069e-01	1
PCDHB7	915569	724	-11	306960	74160	0	2	1	0	50	2	2740960	1.839622e-01	1
WDR41	269224	518	36	194160	34320	0	1	0	0	50	2	1953120	1.840667e-01	1
MRAS	201973	408	19	88720	14800	0	1	0	0	50	0	1905760	1.846837e-01	1
RPS9	717623	458	-6	78880	17600	0	1	0	0	50	0	2082960	1.856793e-01	1
PRDM11	145644	592	14	210720	39520	0	1	0	0	50	2	2215760	1.860532e-01	1
CYC1	2720766	211	27	128560	32080	0	1	0	0	50	0	3155360	1.866807e-01	1
IL12RB2	454381	466	-4	355760	68080	0	1	0	0	50	0	2530160	1.869255e-01	1
FAM57B	NaN	NaN	NaN	108800	25760	0	1	0	0	50	4	4521520	1.891119e-01	1
ADAMTS4	728669	234	37	326720	80640	0	1	0	0	50	0	2559920	1.896937e-01	1
EHD3	102236	884	15	218880	41600	0	1	0	0	50	2	2276640	1.921962e-01	1
KRCC1	169985	543	5	110800	14640	0	1	0	0	50	1	2219920	1.937462e-01	1
PLCB4	77680	715	-57	524560	78480	0	3	0	0	50	1	2583360	1.954234e-01	1
FUBP3	529622	192	35	238800	47760	0	1	0	0	50	1	2141760	1.954947e-01	1
PCDHGB1	662513	568	2	368320	82240	0	1	0	0	50	0	2817600	1.959586e-01	1
ZNF484	599194	463	39	361840	50160	0	1	0	0	50	2	3241840	1.960722e-01	1
NPAS1	1175364	207	35	228720	61360	0	1	0	0	50	1	2312960	1.963575e-01	1
SPAG11B	NaN	NaN	NaN	145760	25440	0	1	0	0	50	4	4521200	1.968559e-01	1
DTNA	116061	552	-20	325200	59920	0	2	0	0	50	1	2734240	1.986994e-01	1
PCDHGA2	662513	568	2	370080	86720	0	1	0	0	50	0	2817600	1.988841e-01	1
DNAJC8	779314	213	33	111760	15600	0	1	0	0	50	0	2110800	1.993497e-01	1
C6orf89	836025	244	43	148720	26160	0	1	0	0	50	0	2684640	1.994041e-01	1
GJA5	NaN	NaN	NaN	142000	30960	0	1	0	0	50	4	4526720	2.018521e-01	1
OR10G4	107524	830	-5	120480	28960	0	1	0	0	50	0	2186720	2.020339e-01	1
VSIG10	637549	608	17	220080	44720	0	1	0	0	50	2	2106800	2.023320e-01	1
C3	740979	259	28	689920	135040	0	2	0	0	50	0	2627680	2.023513e-01	1
ELOVL2	270200	422	22	125360	21680	0	1	0	0	50	0	2264560	2.031773e-01	1
STK33	314196	551	13	219520	34720	0	1	0	0	50	5	2512560	2.038829e-01	1
AMZ1	767440	392	30	196960	45760	0	1	0	0	50	3	2384560	2.041989e-01	1
KATNB1	712945	168	34	268000	58400	0	1	0	0	50	1	2456400	2.043626e-01	1
RASA2	405454	259	28	364400	58640	0	1	0	0	50	1	2872640	2.046872e-01	1
OR5B21	190469	812	-10	121520	26960	0	1	0	0	50	1	2360320	2.060094e-01	1
ARSJ	100364	497	15	241200	47440	0	1	0	0	50	2	2178640	2.061483e-01	1
RGL3	1255985	265	32	288000	68000	0	1	0	0	50	0	2155760	2.074628e-01	1
KIR2DL1	NaN	NaN	NaN	142960	29360	0	1	0	0	50	4	4525120	2.080526e-01	1
LRRC15	344707	269	34	232240	51280	0	1	0	0	50	1	1928160	2.082082e-01	1
SOST	1081050	192	35	83600	20080	0	1	0	0	50	0	2161120	2.096425e-01	1
DRG1	737051	237	38	152320	29440	0	1	0	0	50	0	2568240	2.099263e-01	1
GPATCH3	1025094	188	34	210320	46320	0	1	0	0	50	2	2148960	2.099371e-01	1
RAD23B	255220	467	1	167040	35520	0	1	0	0	50	0	2805120	2.100384e-01	1
ALKBH7	943949	407	31	85360	23440	0	1	0	0	50	0	2080640	2.104125e-01	1
GPR4	1029266	194	44	141200	33040	0	1	0	0	50	0	3037600	2.118259e-01	1
INPP5E	1413299	233	44	253600	61760	0	1	0	0	50	2	2765360	2.122391e-01	1
PTBP2	334207	676	-16	220000	43680	0	1	0	0	50	1	1696800	2.124859e-01	1
OR11H1	69794	916	-70	129520	27120	0	1	0	0	50	0	2055920	2.128396e-01	1
ZNF511	386585	472	13	104480	20800	0	1	0	0	50	0	2174800	2.132790e-01	1
NCAPH	907236	316	46	312400	54960	0	1	0	0	50	3	3176160	2.137935e-01	1
TMOD2	443665	165	27	149680	25040	0	1	0	0	50	1	2705200	2.147056e-01	1
C12orf71	489310	328	23	109600	20960	0	1	0	0	50	2	2261200	2.150691e-01	1
SLC25A6	NaN	NaN	NaN	123600	27760	0	1	0	0	50	4	4523520	2.154001e-01	1
C1QTNF8	1154740	294	20	97360	26000	0	1	0	0	50	1	2936800	2.158870e-01	1
OR51B6	100115	1056	1	123520	26560	0	1	0	0	50	0	1974000	2.162782e-01	1
MAPK8IP2	1073094	203	43	328320	88640	0	1	0	0	50	0	2725280	2.168416e-01	1
HRASLS5	887496	459	31	115920	21680	0	1	0	0	50	1	2549200	2.183887e-01	1
CTDSP1	734742	197	37	106400	23200	0	1	0	0	50	1	2482080	2.186566e-01	1
DPP4	153730	528	9	331200	52960	0	1	0	0	50	2	2790560	2.186853e-01	1
XRCC2	256955	444	6	116400	20080	0	1	0	0	50	1	2153440	2.216790e-01	1
FBXL17	73947	913	4	278320	63760	0	1	0	0	50	0	2008640	2.228467e-01	1
NECAP1	142724	300	23	113680	23600	0	1	0	0	50	1	2305840	2.233931e-01	1
KRR1	513610	524	-10	164480	24960	0	1	0	0	50	0	2552880	2.235488e-01	1
KCNH5	68312	704	-32	410720	75840	0	2	0	0	50	0	2578720	2.239912e-01	1
LRRC30	38085	336	-37	119840	24960	0	1	0	0	50	1	2454720	2.252043e-01	1
DNAJB6	318088	174	22	142160	25840	0	1	0	0	50	1	2970480	2.265740e-01	1
PDXDC1	535071	214	23	330640	62160	0	1	0	0	50	1	2455360	2.276317e-01	1
GTF2E2	489611	228	38	123840	20800	0	1	0	0	50	0	1935600	2.276658e-01	1
OR4E2	658946	624	20	123760	26640	0	1	0	0	50	3	2635440	2.279899e-01	1
OR2A14	221024	812	-11	122400	26720	0	1	0	0	50	1	2243760	2.282292e-01	1
OR6C65	667726	802	-14	125760	24160	0	1	0	0	50	2	2191760	2.289682e-01	1
ST8SIA3	298355	599	9	156720	28080	0	1	0	0	50	0	2496640	2.299978e-01	1
GNB3	2822601	232	32	141200	28240	0	1	0	0	50	0	2464640	2.302367e-01	1
ADD1	669373	264	45	320320	63840	0	1	0	0	50	1	2420000	2.303469e-01	1
POLK	253484	500	54	370720	56320	0	1	0	0	50	1	2512720	2.309459e-01	1
TGM4	466410	380	31	285680	51760	0	1	0	0	50	1	2075600	2.316318e-01	1
OR5C1	433740	487	10	121840	32080	0	1	0	0	50	0	2145600	2.321317e-01	1
FCGRT	2080142	210	41	145120	34400	0	1	0	0	50	0	2571920	2.322224e-01	1
RAB33A	339869	NaN	58	96720	18160	0	1	0	0	50	1	1915680	2.325614e-01	1
B3GAT3	2695768	217	42	129280	34880	0	1	0	0	50	1	2789440	2.330811e-01	1
ILVBL	703673	419	1	250560	62880	0	1	0	0	50	1	2020640	2.336114e-01	1
DCPS	367696	426	30	138240	27200	0	1	0	0	50	1	2781600	2.340585e-01	1
PGAM4	549429	NaN	24	101680	20720	0	1	0	0	50	1	2037760	2.368265e-01	1
MEST	325887	298	31	140160	28160	0	1	0	0	50	0	2277680	2.382678e-01	1
ARPC2	724341	197	30	130000	21200	0	1	0	0	50	0	2098640	2.395524e-01	1
GPA33	287664	611	-1	132000	25440	0	1	0	0	50	0	2147040	2.398258e-01	1
XRCC3	765678	266	43	137520	32880	0	1	0	0	50	0	2408160	2.415369e-01	1
PNLIP	128161	704	-16	195440	35920	0	1	0	0	50	1	3205920	2.426232e-01	1
COL25A1	157338	437	-5	281280	69280	0	1	0	0	50	2	2312960	2.428643e-01	1
PRKG1	75025	995	-15	327600	55920	0	1	0	0	50	1	2312720	2.430549e-01	1
GTSE1	506667	205	35	291360	70880	0	1	0	0	50	1	2162320	2.444986e-01	1
KIR2DL4	987531	620	-23	154560	31520	0	1	0	0	50	1	2763120	2.451317e-01	1
NOC4L	608356	528	26	211520	46240	0	1	0	0	50	5	2617920	2.453811e-01	1
HMGXB4	359646	425	-49	248800	46560	0	1	0	0	50	3	2166160	2.455092e-01	1
PRR19	792230	218	42	136560	36400	0	1	0	0	50	2	2860800	2.462033e-01	1
RHPN2	458398	356	-12	284640	54400	0	1	0	0	50	2	2396800	2.464345e-01	1
OR2D3	403341	827	6	130160	28560	0	1	0	0	50	3	2421680	2.473683e-01	1
MLST8	2179404	224	39	136320	25760	0	1	0	0	50	0	2328080	2.474263e-01	1
ARHGAP17	272834	185	22	360000	75840	0	1	0	0	50	1	2537920	2.475807e-01	1
PTGER2	405022	533	18	136880	36080	0	1	0	0	50	1	2990160	2.477886e-01	1
MPP3	1053443	192	27	245760	47040	0	1	0	0	50	3	2347600	2.478238e-01	1
SMCR8	957114	254	9	379920	70960	0	1	0	0	50	0	2132960	2.480742e-01	1
SAP30BP	1898715	198	32	131600	23440	0	1	0	0	50	2	2609120	2.482421e-01	1
OGFOD2	1093113	196	47	114880	28000	0	1	0	0	50	2	2731520	2.485171e-01	1
C15orf60	294157	472	16	109520	22800	0	1	0	0	50	3	2336320	2.485464e-01	1
SEL1L3	247887	575	54	472000	86560	0	2	0	0	50	1	1738960	2.497080e-01	1
PCSK7	431523	199	41	320640	66240	0	2	0	0	50	0	1928160	2.504234e-01	1
UBE2J2	2050211	196	28	114800	21840	0	1	0	0	50	2	2500640	2.506222e-01	1
TTF1	1431869	429	34	377920	63360	0	1	0	0	50	0	2091200	2.519312e-01	1
HTR2B	NaN	NaN	NaN	190800	41840	0	1	0	0	50	4	4537600	2.521906e-01	1
SPRY2	44501	729	60	125840	26480	0	1	0	0	50	1	2188080	2.524386e-01	1
CHRM1	2342595	181	71	177040	44880	0	1	0	0	50	0	2846960	2.526012e-01	1
C11orf57	389805	179	31	126640	17680	0	1	0	0	50	3	2540800	2.529560e-01	1
BBOX1	178328	527	-18	163680	27040	0	1	0	0	50	2	2918800	2.539025e-01	1
TRPV2	829707	254	8	310240	65280	0	1	0	0	50	2	2506480	2.542930e-01	1
FUT9	76115	1328	-21	149440	24000	0	1	0	0	50	1	2268800	2.546234e-01	1
PPP4R1	454636	202	51	398240	70400	0	1	0	0	50	0	2196560	2.549081e-01	1
CYTH3	NaN	NaN	NaN	173040	26640	0	1	0	0	50	4	4522400	2.553245e-01	1
LY6G6C	2517236	193	20	50960	11120	0	1	0	0	20	1	865520	2.555447e-01	1
UGT2B17	107080	748	-5	221600	37120	0	1	0	0	50	0	2894320	2.556378e-01	1
MRPL4	1729517	200	31	131520	31520	0	1	0	0	50	1	2784480	2.557400e-01	1
TSHZ2	102643	626	-18	422960	75120	0	1	0	0	50	1	2841840	2.564718e-01	1
SAP130	541058	248	36	424000	109120	0	1	0	0	50	0	2459840	2.571155e-01	1
B4GALT4	248430	588	3	144480	24320	0	1	0	0	50	1	2228080	2.572793e-01	1
ESRRG	15599	1132	-28	189920	34240	0	1	0	0	50	1	3111600	2.577995e-01	1
SPHKAP	93607	615	-9	692720	131120	0	2	0	0	50	0	2037680	2.586508e-01	1
HAT1	537965	177	33	181360	26960	0	1	0	0	50	0	2429760	2.587670e-01	1
VAV3	132139	554	-11	370000	58000	0	1	0	0	50	1	2357600	2.588188e-01	1
CSN1S1	9744	991	0	87360	11680	0	1	0	0	50	4	1927360	2.588519e-01	1
LRRC49	252612	404	11	291520	47840	0	1	0	0	50	4	2706160	2.594924e-01	1
TFDP3	76255	NaN	28	164080	31120	0	1	0	0	50	2	3004480	2.595247e-01	1
FMO2	440278	1004	-6	197120	34560	0	1	0	0	50	0	2626000	2.599655e-01	1
ZNF367	355218	400	23	139520	31520	0	1	0	0	50	0	2468800	2.600557e-01	1
UTP14C	385945	461	41	313360	54800	0	1	0	0	50	3	2523440	2.605066e-01	1
OR7D4	398878	582	-50	121920	28320	0	1	0	0	40	1	1833520	2.615158e-01	1
GTDC1	60793	692	12	194160	31920	0	1	0	0	50	0	2408400	2.627303e-01	1
FOXS1	1015946	241	37	125920	33280	0	1	0	0	50	0	2001440	2.653464e-01	1
KAL1	16107	NaN	-30	276880	58320	0	1	0	0	50	3	2454320	2.658100e-01	1
LRP2BP	224125	422	25	148000	23520	0	1	0	0	50	0	1918320	2.661600e-01	1
MUC4	920866	365	49	482640	97040	0	2	0	0	50	0	2786800	2.677526e-01	1
TRIM63	748547	221	31	152640	22400	0	1	0	0	50	0	2004880	2.677828e-01	1
C4orf17	331308	847	9	149040	28880	0	1	0	0	50	1	2081520	2.700722e-01	1
PSMF1	524116	527	14	110800	24240	0	1	0	0	50	2	2241760	2.700828e-01	1
PKP3	1830414	344	53	312720	78320	0	1	0	0	50	1	2433920	2.704541e-01	1
ODC1	732059	270	47	192960	35200	0	1	0	0	50	0	2569920	2.705282e-01	1
PPM1L	585349	509	-5	148880	26640	0	1	0	0	50	0	2061920	2.710092e-01	1
GPR78	96216	471	31	135600	40400	0	1	0	0	50	0	2464800	2.710563e-01	1
METRN	1207790	194	33	111280	32080	0	1	0	0	50	1	2640320	2.711628e-01	1
RPP38	254900	620	21	115040	22240	0	1	0	0	50	2	1884400	2.713579e-01	1
IFIT3	253413	213	22	206160	31280	0	1	0	0	50	0	2388000	2.751052e-01	1
CLEC4M	719851	329	21	171200	28000	0	1	0	0	50	2	2746160	2.760582e-01	1
FANCL	197920	617	9	169280	27200	0	1	0	0	50	1	2378640	2.760942e-01	1
PGBD1	273319	502	35	337680	55600	0	1	0	0	50	1	1968480	2.766167e-01	1
RBM22	1107515	211	54	174400	34080	0	1	0	0	50	2	3039360	2.770318e-01	1
RNF167	1416161	231	30	141200	32400	0	1	0	0	50	1	2206560	2.774953e-01	1
ACTB	1906749	195	34	151600	32080	0	1	0	0	50	1	2697280	2.778234e-01	1
OR4K1	420010	827	-51	125520	24880	0	1	0	0	50	1	1714080	2.778414e-01	1
