SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-B6-A0RL-01	TCGA-B6-A0RL	8.2686	15.1128	2.5664	7.3119
TCGA-CZ-5456-01	TCGA-CZ-5456	9.7532	6.2663	3.2255	5.0012
TCGA-EL-A3D0-01	TCGA-EL-A3D0	2.082	5.1495	2.4092	6.5051
TCGA-EM-A22Q-01	TCGA-EM-A22Q	3.3001	3.066	2.4396	0.0
TCGA-49-6744-01	TCGA-49-6744	4.1947	6.9685	4.4513	6.4353
TCGA-5P-A9KA-01	TCGA-5P-A9KA	8.8392	6.5608	5.7201	5.241
TCGA-IB-7891-01	TCGA-IB-7891	6.6199	7.2597	3.5511	7.9368
TCGA-ZN-A9VU-01	TCGA-ZN-A9VU	5.8648	4.647	3.6822	4.5087
TCGA-Q3-A5QY-01	TCGA-Q3-A5QY	3.1663	6.1963	5.4088	5.9945
TCGA-AJ-A3BI-01	TCGA-AJ-A3BI	3.3157	12.4107	2.4538	9.8621
TCGA-CV-7424-11	TCGA-CV-7424	5.7181	6.6613	3.7283	4.4013
TCGA-BH-A204-11	TCGA-BH-A204	9.0356	11.1831	5.0659	9.3734
TCGA-E3-A3E2-01	TCGA-E3-A3E2	3.8895	10.4464	3.6095	5.3028
TCGA-FB-A545-01	TCGA-FB-A545	4.0126	4.4722	4.4222	6.0954
TCGA-44-2657-11	TCGA-44-2657	4.9353	6.8856	4.605	6.9667
TCGA-G4-6320-01	TCGA-G4-6320	0.0	0.6825	3.1479	2.0088
TCGA-EB-A41A-01	TCGA-EB-A41A	2.3349	4.943	4.3269	1.2897
TCGA-55-6982-01	TCGA-55-6982	5.0954	8.2273	3.9773	7.0231
TCGA-29-1776-01	TCGA-29-1776	10.0621	11.1527	3.5813	7.9356
TCGA-CE-A484-01	TCGA-CE-A484	3.2234	6.3396	3.629	4.6416
TCGA-E2-A153-11	TCGA-E2-A153	9.7403	9.9991	4.1905	11.6626
TCGA-DD-A3A5-11	TCGA-DD-A3A5	8.3346	10.3212	1.986	3.5679
TCGA-RC-A7SB-01	TCGA-RC-A7SB	7.06	8.7241	1.4843	3.7639
TCGA-CM-6164-01	TCGA-CM-6164	1.6892	2.94	2.6302	4.4682
TCGA-ET-A3BW-01	TCGA-ET-A3BW	6.4607	11.449	3.1724	6.6539
TCGA-09-0369-01	TCGA-09-0369	4.3696	5.5931	2.6519	1.1207
TCGA-E2-A2P6-01	TCGA-E2-A2P6	6.9322	14.5165	2.9357	6.3675
TCGA-VD-A8KF-01	TCGA-VD-A8KF	0.8986	9.7243	7.2462	2.1561
TCGA-EL-A4JZ-01	TCGA-EL-A4JZ	3.9552	5.9359	3.383	5.8478
TCGA-M7-A722-01	TCGA-M7-A722	6.3402	7.3374	2.3715	3.2249
TCGA-CV-A6K0-01	TCGA-CV-A6K0	3.4656	5.9015	4.2918	4.9373
TCGA-24-1419-01	TCGA-24-1419	9.8027	11.815	5.3967	6.5145
TCGA-S6-A8JY-01	TCGA-S6-A8JY	1.1271	3.6147	6.2849	3.3473
TCGA-5P-A9JZ-01	TCGA-5P-A9JZ	6.6618	6.6861	3.3157	2.0358
TCGA-D3-A3CE-06	TCGA-D3-A3CE	2.8044	5.4965	4.4061	3.2637
TCGA-12-5299-01	TCGA-12-5299	6.6472	2.7138	4.7597	1.8344
TCGA-29-1761-01	TCGA-29-1761	8.4982	12.726	4.3204	11.2587
TCGA-33-4587-11	TCGA-33-4587	4.3891	7.2896	2.9062	7.218
TCGA-BJ-A0ZJ-01	TCGA-BJ-A0ZJ	4.5807	8.4928	3.6398	5.7633
TCGA-P5-A5EX-01	TCGA-P5-A5EX	5.0422	5.0212	2.1171	3.1093
TCGA-J8-A3O2-06	TCGA-J8-A3O2	3.8716	11.4517	3.5009	5.8019
TCGA-AB-2909-03	TCGA-AB-2909	9.1276	3.4587	3.3685	0.0
TCGA-DJ-A4V2-01	TCGA-DJ-A4V2	3.1965	8.6107	3.1965	8.001
TCGA-HT-8563-01	TCGA-HT-8563	7.4793	5.3441	2.2403	1.4293
TCGA-J8-A3O2-01	TCGA-J8-A3O2	5.5431	10.9388	3.9233	6.6499
TCGA-AT-A5NU-01	TCGA-AT-A5NU	6.8034	4.55	4.7678	3.5818
TCGA-E9-A3HO-01	TCGA-E9-A3HO	6.9401	12.9925	4.1193	11.0342
TCGA-KK-A8IC-01	TCGA-KK-A8IC	9.1908	8.5236	5.3775	7.6846
TCGA-A6-A567-01	TCGA-A6-A567	1.0246	2.0367	2.3611	3.8527
TCGA-58-A46N-01	TCGA-58-A46N	1.2592	1.5152	5.306	0.948
TCGA-BH-A18V-06	TCGA-BH-A18V	7.9067	5.6206	4.0849	2.421
TCGA-B9-A8YH-01	TCGA-B9-A8YH	8.437	4.2341	4.159	2.3608
TCGA-IS-A3K8-01	TCGA-IS-A3K8	4.8858	11.4499	2.2849	13.445
TCGA-CG-4466-01	TCGA-CG-4466	2.4785	3.2688	5.6078	4.4145
TCGA-A3-3383-01	TCGA-A3-3383	3.092	5.0321	3.092	4.8558
TCGA-NJ-A4YI-01	TCGA-NJ-A4YI	4.097	4.964	3.4686	5.0248
TCGA-D8-A1XJ-01	TCGA-D8-A1XJ	10.151	13.2313	2.6167	6.2336
