SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-06-0745-01	TCGA-06-0745	3.54	3.54	2.7	0.89
TCGA-06-0747-01	TCGA-06-0747	5.11	2.88	6.97	1.24
TCGA-06-0749-01	TCGA-06-0749	3.49	3.25	2.61	3.56
TCGA-06-0750-01	TCGA-06-0750	1.06	3.51	3.28	3.51
TCGA-06-0878-01	TCGA-06-0878	5.51	4.54	1.64	1.04
TCGA-06-0882-01	TCGA-06-0882	6.09	3.38	2.83	3.24
TCGA-06-1804-01	TCGA-06-1804	9.08	3.7	6.59	3.8
TCGA-06-2557-01	TCGA-06-2557	6.49	5.52	2.77	3.71
TCGA-06-2558-01	TCGA-06-2558	5.73	4.14	4.14	3.26
TCGA-06-2559-01	TCGA-06-2559	6.39	4.68	5.3	1.63
TCGA-06-2561-01	TCGA-06-2561	6.21	4.92	5.21	4.29
TCGA-06-2562-01	TCGA-06-2562	5.99	4.49	5.95	3.03
TCGA-06-2563-01	TCGA-06-2563	7.13	4.73	4.38	3.1
TCGA-06-2564-01	TCGA-06-2564	7.14	3.91	4.94	3.04
TCGA-06-2565-01	TCGA-06-2565	7.43	4.14	3.59	1.43
TCGA-06-2567-01	TCGA-06-2567	7.21	3.54	7.39	2.5
TCGA-06-2569-01	TCGA-06-2569	3.51	2.11	3.32	1.27
TCGA-06-2570-01	TCGA-06-2570	7.48	3.21	3.77	3.13
TCGA-06-5408-01	TCGA-06-5408	5.85	3.79	2.31	1.22
TCGA-06-5410-01	TCGA-06-5410	5.35	5.86	3.2	3.89
TCGA-06-5411-01	TCGA-06-5411	2.49	3.22	2.23	4.17
TCGA-06-5412-01	TCGA-06-5412	5.64	5.15	8.62	2.39
TCGA-06-5413-01	TCGA-06-5413	6.13	4.38	2.92	3.09
TCGA-06-5414-01	TCGA-06-5414	7.05	4.37	6.32	2.3
TCGA-06-5415-01	TCGA-06-5415	6.01	3.34	4.35	3.73
TCGA-06-5416-01	TCGA-06-5416	5.01	1.69	5.01	2.64
TCGA-06-5417-01	TCGA-06-5417	5.86	3.84	4.02	0
TCGA-06-5418-01	TCGA-06-5418	6.74	2.58	3.08	0.99
TCGA-06-5856-01	TCGA-06-5856	5.6	4.62	3.99	2.13
TCGA-06-5858-01	TCGA-06-5858	7.99	4.63	4.43	3.05
TCGA-06-5859-01	TCGA-06-5859	6.17	4.46	3.17	0.92
TCGA-06-AABW-11	TCGA-06-AABW	2.71	1.81	2.81	4.43
TCGA-08-0386-01	TCGA-08-0386	7.84	2.7	5.5	1.25
TCGA-09-0364-01	TCGA-09-0364	4.79	3.8	5.65	4.83
TCGA-09-0366-01	TCGA-09-0366	5.32	11.39	4.53	5.81
TCGA-09-0367-01	TCGA-09-0367	7.49	11.21	3.69	7.97
TCGA-09-0369-01	TCGA-09-0369	3.07	5.53	2.61	0.79
TCGA-09-1659-01	TCGA-09-1659	2.79	10.52	4.6	6.1
TCGA-09-1662-01	TCGA-09-1662	7.62	11.53	5.04	5.31
TCGA-09-1666-01	TCGA-09-1666	7.88	11.64	2.92	3.5
TCGA-09-1667-01	TCGA-09-1667	6.73	12.2	3.55	4.4
TCGA-09-1668-01	TCGA-09-1668	5.9	11.23	3.58	6.27
TCGA-09-1669-01	TCGA-09-1669	5.39	9.73	5.55	7.21
TCGA-09-1670-01	TCGA-09-1670	8.95	12.93	4.56	4.23
TCGA-09-1673-01	TCGA-09-1673	7.52	12.74	4.87	10.09
TCGA-09-1674-01	TCGA-09-1674	5.05	6.97	4.04	9.77
TCGA-09-2044-01	TCGA-09-2044	1.87	11.4	3.08	1.42
TCGA-09-2045-01	TCGA-09-2045	7.22	10.81	5.3	4.05
TCGA-09-2048-01	TCGA-09-2048	5.08	9.63	3.59	4.49
TCGA-09-2051-01	TCGA-09-2051	7.62	11.64	4.81	9.57
TCGA-09-2054-01	TCGA-09-2054	2.31	7.51	3.19	8.26
TCGA-09-2056-01	TCGA-09-2056	3.68	11.29	4.49	4.01
TCGA-10-0928-01	TCGA-10-0928	6.66	10.92	3.4	9.3
TCGA-10-0936-01	TCGA-10-0936	5.41	11.5	4.4	5.61
TCGA-12-0616-01	TCGA-12-0616	4.17	3.59	3.11	1.43
TCGA-12-0618-01	TCGA-12-0618	6.93	2.05	4.28	1.91
TCGA-12-0619-01	TCGA-12-0619	6.22	4.63	6.22	0.94
TCGA-12-0821-01	TCGA-12-0821	4.83	3.97	1.75	1.94
TCGA-12-1597-01	TCGA-12-1597	3.48	2.34	3.08	2.13
TCGA-12-3650-01	TCGA-12-3650	4.91	2.15	4.31	2.97
TCGA-12-3652-01	TCGA-12-3652	3.79	3.12	6.29	0
TCGA-12-3653-01	TCGA-12-3653	6.86	2.6	2.42	0
TCGA-12-5295-01	TCGA-12-5295	4.2	3.58	2.62	1.84
TCGA-12-5299-01	TCGA-12-5299	6.65	2.71	4.76	1.83
TCGA-13-0730-01	TCGA-13-0730	5.14	4.19	3.28	1.77
TCGA-13-0799-01	TCGA-13-0799	7.77	10.61	4.21	8.71
TCGA-13-0800-01	TCGA-13-0800	6.17	11.1	4.53	9.71
TCGA-13-0801-01	TCGA-13-0801	7.17	10.91	2.66	10.38
TCGA-13-0890-01	TCGA-13-0890	6.11	8.04	2.43	3.69
TCGA-13-0893-01	TCGA-13-0893	6.02	10.11	2.51	4.13
TCGA-13-0897-01	TCGA-13-0897	2.61	10.71	2.96	2.67
TCGA-13-0899-01	TCGA-13-0899	2.2	9.74	3.41	4.82
TCGA-13-0913-01	TCGA-13-0913	4.95	10.74	4.09	8.57
TCGA-13-0916-01	TCGA-13-0916	7.63	12.03	4.95	9.09
TCGA-13-0920-01	TCGA-13-0920	5.07	10.96	4.72	9.79
TCGA-13-0924-01	TCGA-13-0924	6.27	9.51	4.58	6.93
TCGA-13-1403-01	TCGA-13-1403	1.64	10.99	4.18	2.2
TCGA-13-1405-01	TCGA-13-1405	7.59	10.64	3.52	3.77
TCGA-13-1410-01	TCGA-13-1410	6.9	9.25	1.97	8
TCGA-13-1411-01	TCGA-13-1411	4.08	8.74	2.93	6.01
TCGA-13-1481-01	TCGA-13-1481	3.65	9.24	2.5	6.88
TCGA-13-1489-02	TCGA-13-1489	0.05	9.19	2.24	2.07
TCGA-13-1497-01	TCGA-13-1497	6.33	10.32	4.22	5.68
TCGA-13-1498-01	TCGA-13-1498	6.35	12.76	1.86	1.72
TCGA-13-1505-01	TCGA-13-1505	7.13	11.48	2.91	7.64
TCGA-13-1506-01	TCGA-13-1506	6.53	10.46	2.92	7.28
TCGA-13-1507-01	TCGA-13-1507	3.96	10.84	2.61	4.1
TCGA-13-1511-01	TCGA-13-1511	7.94	10.97	4.44	2.73
TCGA-13-1512-01	TCGA-13-1512	2.01	7.49	1.48	6.58
TCGA-13-2060-01	TCGA-13-2060	6.94	10.05	2.19	2.3
TCGA-13-A5FT-01	TCGA-13-A5FT	4.52	10.71	4.99	4.91
TCGA-14-0736-02	TCGA-14-0736	3.32	4.41	2.96	2.73
TCGA-14-0781-01	TCGA-14-0781	4.51	4.31	6.41	1.58
TCGA-14-0787-01	TCGA-14-0787	3.96	4.36	5.01	2.6
TCGA-14-0789-01	TCGA-14-0789	7.35	4.45	7.43	1.53
TCGA-14-0790-01	TCGA-14-0790	7.04	3.49	2.97	3.87
TCGA-14-0817-01	TCGA-14-0817	5.39	4.08	2.14	1.43
TCGA-14-0871-01	TCGA-14-0871	0	2.07	3.4	0
TCGA-14-1034-01	TCGA-14-1034	6.83	4.51	6.05	0
TCGA-14-1034-02	TCGA-14-1034	6.18	2.32	5.59	1.22
TCGA-14-1402-02	TCGA-14-1402	5.7	2.89	1.94	2.89
TCGA-14-1823-01	TCGA-14-1823	2	4.69	2	2
TCGA-14-1825-01	TCGA-14-1825	6.59	3.23	2.12	2.12
TCGA-14-1829-01	TCGA-14-1829	3.96	3.82	3.39	2.22
TCGA-14-2554-01	TCGA-14-2554	7.09	3.27	4.38	0.97
TCGA-15-0742-01	TCGA-15-0742	1.63	3.31	3.39	1.63
TCGA-15-1444-01	TCGA-15-1444	7.53	3.62	3.81	4.92
TCGA-16-0846-01	TCGA-16-0846	5.32	4.55	3.7	4.94
TCGA-16-1045-01	TCGA-16-1045	6.88	5.8	3.37	2.42
TCGA-18-3406-01	TCGA-18-3406	4.13	8.99	4.75	5.34
TCGA-18-3407-01	TCGA-18-3407	2.75	6.13	4.32	5.8
TCGA-18-3408-01	TCGA-18-3408	3.22	4.66	4.23	4.82
TCGA-18-3409-01	TCGA-18-3409	5.25	5.82	2.03	6.43
TCGA-18-3410-01	TCGA-18-3410	0.48	5.72	3.44	6.58
TCGA-18-3411-01	TCGA-18-3411	2.89	4.6	5.49	3.18
TCGA-18-3412-01	TCGA-18-3412	2.7	5.28	4.31	3.88
TCGA-18-3414-01	TCGA-18-3414	1.68	5.83	3.64	4.43
TCGA-18-3415-01	TCGA-18-3415	1.11	3.72	4.05	4.72
TCGA-18-3416-01	TCGA-18-3416	1.08	4.82	4.88	3.79
TCGA-18-3417-01	TCGA-18-3417	3.89	7.13	3.35	4.84
TCGA-18-3419-01	TCGA-18-3419	0.59	4.31	3.97	2.72
TCGA-18-3421-01	TCGA-18-3421	0.65	4.03	2.96	4.76
TCGA-18-4083-01	TCGA-18-4083	6.32	5.06	5.1	5.26
TCGA-18-4086-01	TCGA-18-4086	2.19	5.62	4.51	4.86
TCGA-18-4721-01	TCGA-18-4721	1.53	5.04	3.72	6.78
TCGA-18-5592-01	TCGA-18-5592	1.5	4.4	4.18	3.78
